,ARE,ARG,ARM,AUS,AUT,BEL,BFA,BGR,BHR,BIH,BRA,BRN,BWA,CAN,CHE,CHL,CHN,CIV,COL,CYP,CZE,DEU,DNK,ECU,ESP,EST,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GRC,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JPN,KAZ,KOR,LTU,LUX,MAR,MEX,MLT,MNG,MUS,MYS,NAM,NGA,NLD,NOR,NPL,NZL,PAK,PAN,PER,PHL,PNG,POL,PRT,ROU,RUS,SDN,SEN,SGP,SLB,SRB,SVK,SVN,SWE,TGO,THA,TJK,TUR,TWN,TZA,UKR,USA,VEN,VNM,VUT,ZAF,ZWE
ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
AUS,0,0,0,0,0,2,0,0,0,0,0,0,2,30,0,0,10,0,0,2,0,10,4,0,4,0,0,10,4,0,220,0,0,0,0,0,2,2,2,8,0,0,0,2,4,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,8,0,0,0,0,2,0,4,0,16,0,0,28,2,0,0,0,22,0,2,0,0,0,0,0,216,0,0,0,4,0
AUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,0,0,2,0,2,0,6,0,8,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,6,0
BEL,0,2,0,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,28,2,2,0,0,4,0,22,0,26,0,0,0,4,2,4,0,0,0,0,0,0,26,4,2,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,18,0,4,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,20,0,0,34,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
