,AFG,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHS,BIH,BLR,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CUB,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LIE,LKA,LTU,LUX,LVA,MAR,MDA,MEX,MKD,MLT,MMR,MNE,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PER,PHL,PNG,POL,PRT,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLE,SLV,SOM,SRB,SVK,SVN,SWE,SYR,TCD,THA,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZMB,ZWE
CZE,0,0,0,0,0,0,10,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,8,0,0,0,4,0,0,2,10,4,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
DEU,0,0,0,6,0,28,106,2,34,0,0,0,6,2,0,0,0,10,0,0,0,36,98,4,28,0,0,0,0,0,2,8,0,32,0,0,2,46,0,0,4,92,272,0,0,4,4,0,16,4,14,6,2,0,0,24,68,0,4,20,2,0,0,0,6,0,0,0,0,2,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,86,4,0,4,0,0,2,4,0,8,10,0,2,4,2,0,0,0,4,2,0,0,0,0,6,36,0,0,6,0,16,2,0,0,0,0,280,0,2,48,0,0
DNK,0,0,0,0,0,14,6,0,6,0,0,0,0,0,0,0,0,2,0,0,0,12,14,2,8,0,0,0,0,0,2,8,32,0,0,0,0,6,4,0,6,8,50,0,0,4,2,0,4,0,8,8,0,0,2,6,12,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,6,0,2,0,0,0,0,0,6,2,0,0,2,0,0,2,0,0,0,0,0,0,0,2,22,0,0,2,0,2,0,0,0,0,0,34,0,0,6,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
ESP,0,0,0,16,0,4,14,0,10,0,0,0,0,0,0,0,0,10,0,0,0,20,12,18,2,0,0,0,8,0,0,4,46,6,0,6,2,0,2,0,2,42,122,0,0,2,0,0,2,0,0,6,0,0,0,8,36,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,4,0,0,0,24,0,0,6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,70,0,0,2,0,0
EST,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,4,0,12,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIN,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,0,2,0,0,0,0,4,4,0,4,0,0,0,0,0,0,2,4,6,0,0,0,2,4,0,0,4,24,0,0,0,0,0,6,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,2,0,0,0,0,0,2,6,0,0,2,6,0,0,0,2,0,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0
FRA,0,0,0,4,0,10,12,0,60,2,0,0,2,0,0,0,0,16,0,0,0,60,64,0,6,0,2,0,0,2,0,10,92,8,0,0,20,42,0,0,4,0,202,0,0,6,0,0,4,6,10,2,2,0,0,8,94,0,0,38,0,0,0,0,2,0,2,2,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,38,4,0,4,0,0,0,0,0,4,22,0,0,8,4,0,0,0,0,0,0,0,0,0,2,8,4,0,4,0,8,0,0,0,0,0,228,0,2,4,0,0
GBR,4,0,4,0,0,284,36,0,122,0,0,0,2,0,0,0,0,10,0,0,0,218,54,6,42,0,2,0,4,0,8,4,272,50,0,0,0,122,12,0,24,202,1040,0,4,32,6,0,38,0,38,128,6,6,0,48,114,0,0,44,2,6,0,0,38,2,2,0,0,2,8,0,2,0,8,0,2,0,0,0,8,0,2,20,0,126,58,0,48,2,4,4,0,0,26,34,0,14,10,20,2,6,0,4,0,0,0,6,0,6,38,2,0,2,2,22,4,0,2,0,16,1222,0,0,42,0,4
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
GRC,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,4,4,0,0,0,2,0,0,0,6,32,0,0,0,0,0,2,0,0,2,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0
