,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ATG,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,3,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,0,0
AUS,5,13,5,5,15,1,0,668,765,134,0,0,1645,96,9,2507,40,0,23,1254,307,31,10,28,0,173,7,9,26,2745,18,50,48,58,2,7059,3480,1053,18503,26,80,21,18,1,591,2,5,76,26,7,4,220,1011,7476,4,1,2525,13,90,190,752,3,4346,300,320,1288,155,15,5370,3,11,19,17445,206,334,2,15,52,4,0,964,22,16,26,7,15,6,323,7,649,731,3858,1422,2036,325,142,1085,4741,18,221,3599,92,345,25,64,4,10,2164,179,47,123,5,47,0,9,486,1,206,116,137,0,213,52,16,36,6,804,3,55,24,55,72,56,38,55,4,1,25,63,1890,42,55,11,386,5,4740,1588,275,3230,143,1125,87,219,393,12,132,1562,2,1144,20,91,0,453,438,1408,35,1776,65,29,2118,3,0,51,8,5,0,1,387,3,1,1,211,359,3107,8,2,29,23,0,1,6,1005,11,1,21,15,20,116,961,1,1333,135,165,268,119,19628,51,0,3,2,42,1,1079,29,40,14,35,1958,41,51
AUT,0,3,3,0,47,1,0,185,325,188,0,1645,0,126,4,1681,8,0,17,41,347,2,1,69,0,201,3,0,9,922,8,11,1,11,2,1715,3163,346,1824,10,30,13,5,0,297,0,4,36,59,2,1,193,1559,8482,0,0,1282,10,40,121,272,0,2629,265,60,871,3,1,3060,0,0,22,5069,221,44,0,2,4,0,0,956,6,3,14,7,3,4,553,2,920,125,745,604,500,24,88,641,3882,10,168,1255,43,76,19,0,0,4,541,67,2,48,2,20,0,79,82,0,276,109,186,0,133,6,22,11,0,352,1,90,2,50,8,92,20,18,1,0,10,10,199,25,1,4,77,2,2571,983,31,337,34,262,28,88,80,0,5,1413,1,889,15,59,0,133,549,1297,10,300,28,15,337,1,1,2,4,1,7,0,497,2,0,2,459,714,1724,5,1,2,7,0,1,3,277,10,8,0,1,5,65,733,0,414,16,39,275,46,5702,50,0,2,1,20,0,78,1,2,19,6,481,10,17
AZE,0,1,0,2,7,0,0,44,84,74,0,96,126,0,0,17,1,0,0,12,74,2,0,2,0,92,0,0,0,132,3,2,0,3,0,173,136,83,205,0,2,0,0,0,87,0,0,1,34,0,0,7,139,178,0,0,134,1,2,1,29,0,114,10,14,45,0,0,139,0,2,0,252,97,7,0,0,3,0,0,127,0,0,2,0,5,0,54,0,133,48,90,14,109,28,2,84,216,0,14,129,22,4,11,0,0,0,59,7,0,4,0,3,0,0,8,0,6,0,4,0,83,0,9,2,0,46,0,6,1,2,0,2,5,1,0,0,0,0,20,0,0,5,12,0,137,130,6,8,8,78,7,44,30,0,0,158,0,110,0,50,0,10,130,245,1,54,4,0,10,0,0,0,0,0,1,0,99,0,0,0,122,83,129,0,0,0,1,0,0,0,40,6,2,0,0,0,9,291,0,183,3,5,70,2,188,12,0,0,0,3,0,25,0,1,1,9,136,1,0
BDI,0,1,3,0,1,0,0,2,2,1,0,9,4,0,0,25,9,0,10,1,1,0,0,1,0,2,0,0,1,4,0,1,0,3,5,5,9,1,20,3,16,6,5,0,1,0,0,0,0,0,0,0,4,11,1,0,4,1,3,2,5,0,4,1,9,3,0,0,17,0,0,6,29,1,8,0,2,3,0,0,0,0,0,0,0,0,0,1,0,3,2,3,1,1,2,0,2,6,0,1,3,0,22,0,1,0,0,2,0,0,0,3,4,0,0,3,0,2,0,1,0,5,0,0,5,0,6,0,2,5,0,0,0,0,3,2,0,2,5,3,2,0,4,8,0,10,2,0,3,0,2,0,2,2,0,1,2,0,1,0,1,0,1,3,2,11,1,6,4,2,0,0,0,6,0,0,2,2,1,0,0,1,1,5,2,0,1,1,0,3,2,11,0,0,0,0,0,3,4,0,0,21,20,1,1,29,1,0,0,0,0,0,0,0,0,0,0,11,6,6
BEL,2,3,6,1,34,0,1,141,413,109,0,2507,1681,17,25,0,105,0,77,91,345,8,1,44,0,110,1,1,26,1223,6,11,2,13,12,2445,3168,428,2762,43,143,194,36,0,318,2,2,38,76,1,0,225,1073,6427,0,0,1738,15,110,181,382,1,4195,332,217,943,13,5,6580,0,2,24,8265,143,75,0,35,26,1,3,1248,4,5,14,13,5,5,410,5,697,111,915,958,527,40,92,716,5387,3,52,1385,67,191,19,16,0,15,779,101,7,126,6,21,0,3,95,2,293,310,180,0,199,41,24,31,0,451,0,78,22,71,13,75,13,53,2,0,10,30,258,18,3,20,173,7,6128,1131,40,441,41,251,42,136,79,0,10,1534,4,1255,26,24,0,172,523,1035,48,411,21,40,348,0,1,6,15,3,2,1,388,8,0,7,231,411,2180,4,0,6,6,0,4,8,250,9,3,0,2,9,126,811,0,388,106,177,227,51,7571,48,0,1,0,27,1,263,0,1,10,13,736,23,21
BEN,0,0,4,1,4,0,0,6,4,1,0,40,8,1,9,105,0,0,54,9,4,2,3,2,0,1,0,0,0,21,2,2,4,6,5,49,33,4,38,50,71,23,18,0,6,0,2,6,3,0,0,3,10,78,0,0,21,3,10,4,16,0,17,7,35,10,1,0,138,0,0,19,118,4,71,0,7,10,4,0,8,0,0,6,1,1,0,6,2,6,10,28,8,9,1,6,6,19,7,4,15,4,40,4,1,0,0,12,2,1,4,7,4,0,0,3,0,4,2,4,0,12,0,1,9,0,7,0,3,32,2,2,1,5,21,3,0,6,21,14,9,0,29,78,0,41,18,6,9,1,28,4,7,8,0,0,9,1,15,1,3,0,8,8,12,25,18,8,39,4,0,0,2,9,1,0,1,9,1,0,0,3,3,23,3,0,7,0,0,4,31,9,1,1,4,1,7,23,25,0,26,30,34,3,3,118,0,0,0,0,3,0,11,1,0,0,2,89,8,11
BES,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BFA,0,0,2,0,1,0,0,5,2,1,0,23,17,0,10,77,54,0,0,5,2,0,0,0,0,1,0,0,0,11,0,0,2,6,5,38,64,2,10,63,34,24,20,0,5,0,2,2,0,0,0,0,2,64,1,0,20,1,4,1,11,0,17,2,24,6,0,0,184,0,0,14,158,2,52,0,14,16,5,1,3,0,0,0,1,0,0,1,0,2,4,21,5,3,0,1,3,25,0,1,16,0,61,0,9,0,0,8,0,0,2,7,3,0,1,2,1,2,4,2,0,14,0,1,17,0,2,0,1,64,0,0,0,2,24,4,0,3,13,4,6,0,34,58,0,42,8,2,5,0,3,0,4,6,0,1,3,0,6,1,0,0,1,3,6,13,4,7,52,1,0,0,0,11,1,0,1,1,1,0,0,2,1,25,3,0,2,0,0,10,32,7,0,0,2,0,2,7,0,0,7,22,39,1,2,188,2,0,0,0,0,0,8,0,0,0,1,67,16,13
BGD,0,27,2,5,11,0,0,103,50,9,0,1254,41,12,1,91,9,0,5,0,33,19,1,8,0,6,0,1,10,137,5,20,6,10,0,373,124,78,855,5,21,11,4,0,70,0,2,9,8,0,0,21,101,280,1,0,101,7,32,30,321,0,158,18,89,82,14,0,158,0,7,3,877,15,83,0,2,19,16,0,49,0,0,12,0,9,0,37,9,40,163,816,69,155,61,14,37,209,3,54,762,29,98,14,16,0,0,480,33,11,15,1,14,0,0,69,1,25,10,8,0,39,0,4,9,6,81,0,16,22,8,29,1,16,24,0,0,5,24,624,6,1,2,132,1,156,80,132,78,46,414,18,44,98,0,5,91,1,82,8,25,0,58,69,91,11,782,18,5,110,0,0,2,12,1,0,1,37,0,0,0,41,19,198,2,0,2,8,0,0,1,176,2,1,0,1,1,25,183,0,103,53,50,24,12,1403,10,0,0,0,5,0,149,0,2,5,25,161,15,23
