,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLM,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BGR,0,8,3,0,70,0,0,40,127,109,0,307,347,74,1,345,4,0,2,33,0,10,2,59,0,153,0,0,4,285,6,5,0,5,1,222,371,106,335,6,12,3,2,0,175,0,2,11,8,0,0,119,366,698,0,0,217,7,23,85,156,0,528,149,18,216,2,0,526,0,1,4,763,174,10,0,1,2,0,0,363,3,0,8,0,1,0,249,2,327,24,215,206,139,33,22,162,673,2,18,216,30,17,14,1,0,1,164,61,1,46,0,13,0,0,66,0,178,17,148,0,84,0,15,4,0,156,0,85,3,37,3,85,6,4,1,0,11,5,120,7,0,8,42,0,271,169,10,113,18,135,11,27,50,0,1,484,1,319,8,52,0,87,313,447,2,91,11,5,42,1,0,2,0,2,7,0,346,0,0,1,188,189,239,3,0,2,4,0,1,2,145,10,8,0,1,0,21,343,0,162,6,13,202,12,613,39,0,0,0,6,0,30,0,1,17,6,124,3,6
BHR,0,1,0,3,3,0,0,79,6,0,0,31,2,2,0,8,2,0,0,19,10,0,0,3,0,0,0,0,1,17,0,1,0,3,0,40,16,5,60,0,5,1,0,0,10,0,0,3,3,0,0,7,11,27,0,0,7,2,12,3,88,0,18,7,9,8,0,0,25,0,4,0,102,3,6,0,0,1,0,0,12,0,0,3,0,3,0,8,0,5,12,75,30,28,19,3,6,50,0,24,21,10,4,6,0,0,0,18,37,0,17,0,7,0,0,8,0,2,1,1,0,11,0,0,0,1,10,0,3,1,2,0,0,2,3,0,0,0,1,38,1,0,1,13,0,18,11,9,13,35,94,8,9,12,0,1,17,0,11,0,6,0,50,18,18,1,167,9,0,12,0,0,0,0,1,0,0,10,0,0,0,3,4,13,0,0,0,0,0,0,0,9,0,0,0,0,0,22,22,0,11,3,4,8,1,63,2,0,0,0,3,0,16,0,0,1,8,16,0,2
BHS,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,4,4,0,0,0,0,13,8,4,16,0,0,0,0,0,5,0,0,5,1,0,2,0,1,18,0,0,4,0,0,3,1,0,17,0,1,1,0,2,9,0,0,0,33,0,2,0,0,0,0,0,4,2,0,0,0,0,0,1,2,0,0,17,4,0,0,2,9,17,8,0,5,0,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,6,3,0,5,0,6,2,1,2,0,0,0,0,5,0,0,0,0,1,10,0,5,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,81,0,0,0,0,1,0,1,0,0,0,0,6,0,0
BIH,0,1,2,0,44,0,0,15,9,5,0,28,69,2,1,44,2,0,0,8,59,3,0,2,0,14,0,0,1,24,2,4,0,3,0,22,42,14,33,3,5,0,1,0,10,0,2,3,2,0,0,21,65,106,0,0,38,4,8,4,21,0,82,36,4,32,1,0,59,0,0,1,132,13,8,0,0,1,0,0,70,0,0,2,0,0,0,245,2,43,7,46,39,22,8,11,28,107,2,6,26,10,10,7,0,0,0,16,8,0,10,0,7,0,0,5,0,37,13,25,0,9,0,7,0,0,11,0,49,0,18,4,53,0,4,0,0,2,3,18,4,0,1,17,0,41,42,4,3,5,34,5,8,3,0,1,66,1,44,3,5,0,23,71,59,1,46,5,3,10,0,0,2,1,1,4,0,363,0,0,0,39,106,40,2,0,2,1,0,0,0,17,5,5,0,1,1,13,65,0,6,4,5,24,5,96,4,0,0,0,4,0,9,0,0,15,3,31,5,1
BLM,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BLR,0,1,2,0,21,0,0,42,86,126,0,173,201,92,2,110,1,0,1,6,153,0,0,14,0,0,0,0,1,183,0,1,0,1,1,124,198,82,317,1,3,1,0,0,163,0,0,0,0,0,0,84,212,334,0,0,129,1,7,73,107,0,232,107,3,129,0,0,265,0,0,2,344,178,2,0,1,1,0,0,192,0,0,2,0,0,0,98,2,186,13,139,99,117,19,4,115,230,0,13,113,47,4,11,1,0,0,100,43,0,8,0,9,0,0,56,1,142,4,97,0,81,0,18,1,0,83,0,15,1,1,2,60,3,1,1,0,0,1,87,0,0,2,14,0,127,119,3,76,1,87,2,5,27,0,1,311,0,206,3,45,0,73,127,717,2,82,5,3,12,0,0,0,1,0,0,0,196,0,0,0,122,96,143,2,0,0,1,0,1,1,95,5,1,0,0,0,18,217,0,155,4,5,188,4,277,45,0,0,0,0,0,18,0,0,0,0,105,3,2
BLZ,0,0,0,0,0,0,0,0,2,0,1,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,3,1,0,0,1,10,2,3,3,2,1,1,1,0,4,0,1,2,1,0,1,0,1,4,0,0,2,0,0,4,0,0,6,0,1,2,0,0,3,0,0,1,17,0,1,0,0,0,0,0,1,2,0,2,1,2,0,0,0,0,2,5,0,1,0,0,0,8,3,0,2,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,2,1,4,3,0,1,0,2,3,1,1,0,2,1,0,3,0,0,0,0,1,4,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,2,1,1,0,0,40,0,0,0,2,1,0,2,0,0,0,0,4,0,0
BMU,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,7,3,1,3,0,0,0,0,0,1,0,0,0,0,0,2,1,0,9,0,0,1,0,0,0,0,0,5,0,0,2,1,0,5,0,0,0,17,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,0,1,6,9,0,0,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,3,3,0,2,0,0,0,2,1,0,0,1,0,3,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34,0,0,0,0,1,0,1,0,0,0,0,3,0,0
BOL,1,1,1,0,0,0,0,1,70,0,0,26,9,0,1,26,0,0,0,10,4,1,0,1,0,1,1,1,0,85,0,2,0,1,1,33,26,64,20,2,1,1,1,0,77,0,0,16,12,0,0,0,8,38,0,0,4,14,1,36,9,0,63,4,6,9,1,0,39,0,0,3,52,1,5,0,0,1,0,0,5,0,0,19,2,2,12,2,1,5,3,26,2,4,1,0,4,26,0,3,13,0,6,0,1,0,0,4,0,1,0,1,1,0,0,3,0,2,2,1,0,0,0,2,1,0,64,0,2,0,0,0,0,0,2,0,0,1,1,8,2,0,0,3,9,23,8,8,5,2,7,10,74,2,0,1,10,0,9,25,2,0,1,3,9,1,5,2,1,4,0,0,0,2,12,0,0,2,0,0,0,2,3,44,0,0,0,1,0,0,0,5,0,0,0,0,0,2,5,0,7,3,3,2,31,149,1,0,0,0,27,0,3,0,0,0,1,10,1,2
BRA,2,23,32,5,23,1,0,276,1594,177,0,2745,922,132,4,1223,21,0,11,137,285,17,4,24,0,183,8,3,85,0,11,12,4,28,2,3306,1715,1642,2235,25,64,14,20,0,1563,0,13,197,193,1,2,126,736,4145,1,0,1003,72,104,449,414,0,3978,191,92,651,16,2,3627,0,6,15,6138,198,95,8,11,10,0,1,640,5,0,89,19,15,44,280,15,532,187,1523,592,637,75,39,588,3447,21,81,1464,43,203,22,12,0,19,778,82,6,100,5,21,1,4,132,1,163,56,126,0,203,33,12,26,2,1441,0,40,14,36,7,59,14,135,2,0,10,35,365,21,4,7,250,22,1914,739,67,524,71,517,149,814,212,0,11,1039,1,3017,143,71,0,190,425,1091,24,510,36,31,329,2,0,4,7,24,0,1,339,1,2,7,210,209,1485,4,2,6,10,1,1,4,409,4,1,1,1,5,117,722,0,517,48,80,277,456,11966,45,0,20,0,204,0,175,1,2,10,29,884,15,33
BRB,0,0,1,1,2,0,0,5,7,3,1,18,8,3,0,6,2,0,0,5,6,0,4,2,1,0,3,0,0,11,0,2,0,1,0,24,8,6,8,2,2,0,0,0,10,0,2,3,3,2,3,7,7,11,0,1,7,3,2,3,9,0,9,2,6,8,5,0,18,0,0,0,55,1,8,0,0,0,0,0,8,2,0,3,2,1,0,6,4,5,5,11,5,4,1,2,2,8,20,5,5,3,4,2,0,0,3,3,3,0,2,0,2,1,0,3,0,4,2,2,0,4,0,1,2,0,9,0,1,0,2,2,1,0,2,0,0,2,2,8,1,0,2,12,0,12,4,3,4,2,5,3,5,6,0,0,9,1,7,2,3,0,4,4,4,0,4,2,1,4,0,0,2,0,0,0,1,5,0,0,0,4,3,8,0,1,2,1,0,0,0,2,1,1,0,1,23,3,6,0,2,3,5,1,5,74,0,0,0,3,3,0,2,0,1,0,3,10,0,0
BRN,0,1,2,0,1,0,0,17,4,0,0,50,11,2,1,11,2,0,0,20,5,1,0,4,0,1,1,0,2,12,2,0,0,1,1,20,12,8,115,3,5,1,2,0,7,0,2,3,2,0,0,2,8,28,0,0,6,3,4,7,16,0,17,7,7,5,1,0,19,0,1,3,105,2,6,0,0,2,0,0,6,0,0,3,1,3,0,6,2,5,70,48,7,20,5,2,3,19,2,6,17,7,6,2,0,0,0,38,6,3,2,1,3,0,0,19,0,3,2,2,0,5,0,1,0,0,9,0,3,0,2,7,1,1,3,0,0,2,2,166,0,0,1,16,1,17,12,9,10,7,70,6,6,18,0,2,23,1,7,1,3,0,11,11,8,1,40,1,1,36,0,0,2,2,0,0,0,5,0,0,0,4,4,8,0,0,2,1,0,0,0,27,1,1,0,1,0,5,11,0,30,7,4,3,3,68,2,0,0,0,3,0,18,0,0,0,5,7,1,1
BTN,0,3,0,0,0,0,0,1,0,0,0,48,1,0,0,2,4,0,2,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,8,3,8,1,1,1,0,0,0,0,0,3,0,0,0,0,2,13,0,0,2,0,0,3,0,0,2,0,0,1,0,0,5,0,0,0,26,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,29,0,5,0,1,0,1,0,1,9,2,3,2,2,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,7,3,0,0,0,1,1,1,0,0,2,0,8,0,17,5,1,2,0,0,4,0,0,1,0,5,1,0,0,0,3,2,1,5,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,3,24,0,0,4,0,4,0,1,0,0,4,4,0,0,27,0,0,0,0,0,0,5,0,0,0,0,9,0,0
BWA,0,0,3,3,5,0,0,14,11,3,0,58,11,3,3,13,6,0,6,10,5,3,0,3,0,1,0,0,1,28,1,1,0,0,3,55,44,11,25,6,49,7,3,0,10,0,0,2,1,0,0,1,17,40,2,0,14,1,6,3,14,0,19,9,63,15,3,0,37,0,3,2,166,2,33,0,1,4,0,1,9,0,0,2,0,4,1,8,3,9,12,75,15,11,12,5,7,25,1,5,20,5,65,2,1,0,0,12,5,1,1,0,6,0,0,9,6,4,1,3,0,12,0,0,4,0,18,0,2,3,1,1,0,4,13,1,0,1,28,24,29,1,4,56,0,32,21,6,8,6,18,8,10,9,0,1,14,0,10,0,2,0,8,11,18,17,22,9,6,10,0,0,0,0,0,0,1,8,3,0,0,3,5,30,12,0,0,1,0,2,1,18,0,0,0,0,1,9,9,0,6,32,45,6,3,252,2,0,0,1,0,0,12,0,1,2,6,231,32,41
CAF,0,0,1,0,1,0,0,1,2,1,0,2,2,0,5,12,5,0,5,0,1,0,0,0,0,1,1,0,1,2,0,1,0,3,0,6,11,1,5,6,18,7,14,0,2,0,0,0,0,0,0,0,4,11,1,0,4,0,1,1,2,0,2,2,4,2,0,0,30,0,0,8,19,1,5,0,2,1,0,2,0,0,0,0,2,1,0,1,0,1,1,6,1,3,1,0,1,6,0,0,3,0,2,0,1,0,0,1,0,0,0,2,1,0,0,0,0,2,1,1,0,1,0,0,3,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1,0,3,3,1,7,3,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0,1,1,2,3,1,1,3,1,0,0,0,4,0,0,0,1,0,0,0,1,1,6,1,0,0,0,0,3,3,2,0,0,0,0,0,3,0,0,1,4,2,1,0,11,0,0,0,0,1,0,1,0,0,0,0,3,1,1
CAN,2,7,5,7,20,3,0,693,883,64,1,7059,1715,173,5,2445,49,0,38,373,222,40,13,22,0,124,10,7,33,3306,24,20,4,55,6,0,3963,1062,13153,38,119,51,25,0,640,3,3,112,74,6,7,132,1075,7939,2,2,2274,30,198,153,932,2,4384,186,188,1207,33,8,7083,8,6,16,13412,139,245,11,12,28,3,1,890,17,59,39,9,18,10,242,20,609,206,2597,1207,2646,140,151,1518,5195,38,265,3093,69,336,29,32,1,18,1942,177,12,265,12,36,1,8,118,4,112,145,58,0,377,35,18,35,3,1214,1,45,28,56,18,9,31,47,2,0,15,80,606,19,16,15,379,3,4504,1597,113,1114,134,836,102,269,220,1,17,1536,3,1095,34,103,0,369,463,1500,67,1533,63,45,1086,2,2,4,12,9,1,5,277,3,0,1,228,293,2618,3,2,12,14,1,1,8,468,7,2,1,3,40,248,1121,0,1129,114,197,186,124,31260,25,0,4,2,56,0,350,4,2,6,35,1394,39,50
CHE,0,10,7,4,43,4,0,227,594,189,1,3480,3163,136,9,3168,33,0,64,124,371,16,8,42,1,198,2,3,26,1715,8,12,8,44,11,3963,0,596,3611,85,120,92,77,0,474,0,5,56,63,2,2,299,1294,12892,2,2,2237,17,78,159,400,4,4728,294,151,1237,21,2,7415,2,5,29,11303,243,167,4,34,34,8,8,1483,8,7,31,11,7,8,454,8,828,201,1467,1054,623,37,122,1101,7509,35,111,2119,49,327,39,29,1,2,999,96,24,143,14,26,0,48,119,13,288,176,186,0,182,40,26,43,3,568,1,71,42,86,30,81,36,62,2,0,11,93,284,27,9,26,200,5,5065,1473,102,576,59,318,66,208,218,0,19,1693,2,1391,20,68,0,179,658,1502,46,421,43,60,714,1,2,8,21,7,2,3,510,8,2,2,370,523,2786,14,3,16,9,0,18,20,389,7,3,4,1,9,91,974,0,546,203,172,353,92,13601,47,0,2,2,34,0,169,8,3,8,17,1054,62,77
CHL,2,1,8,2,10,1,0,120,1063,63,1,1053,346,83,1,428,4,0,2,78,106,5,4,14,0,82,3,1,64,1642,6,8,3,11,1,1062,596,0,992,10,16,8,3,1,815,0,4,141,89,1,0,32,290,1753,0,0,427,58,33,325,162,0,2840,60,28,271,10,9,1492,0,2,7,2380,96,27,0,5,6,0,0,282,4,3,64,5,5,33,86,7,224,53,572,213,250,17,35,321,1263,5,35,644,50,43,9,3,0,11,327,16,2,33,2,12,0,1,23,0,33,23,38,0,159,3,4,6,1,878,0,21,0,13,2,2,7,14,0,0,11,13,163,12,3,5,82,20,736,302,20,213,44,177,72,405,88,0,4,422,1,548,118,59,0,31,213,419,3,218,12,8,108,1,0,3,2,22,0,0,195,1,0,0,118,134,486,1,0,6,7,0,6,1,118,5,1,0,1,4,53,303,0,280,16,30,68,199,3451,8,0,34,0,149,0,79,0,1,5,18,418,6,19
CHN,0,43,7,5,32,0,1,1092,587,198,0,18503,1824,205,20,2762,38,0,10,855,335,60,16,33,0,317,3,3,20,2235,8,115,8,25,5,13153,3611,992,6,36,144,47,17,0,555,1,2,42,123,0,0,224,1572,13061,0,1,3237,16,254,234,2814,13,4470,363,369,2085,28,2,7617,3,8,13,23876,239,481,1,11,21,0,1,1246,10,7,17,2,12,7,434,7,903,592,5380,1478,3027,387,133,1491,5722,9,262,10878,341,361,39,36,0,11,7124,174,36,159,9,32,1,4,303,5,284,146,153,1,327,27,19,33,3,1144,1,61,13,47,136,69,189,28,2,0,49,42,2609,18,5,21,806,4,4974,1898,327,1901,197,7484,64,202,524,0,17,2371,67,1428,19,125,0,573,782,3829,94,4983,258,33,8005,1,2,3,29,1,1,5,506,8,1,2,408,421,4487,7,0,8,38,0,4,14,1820,32,1,0,3,12,296,2033,0,5690,158,107,599,98,62083,203,0,4,2,46,0,1271,2,3,6,129,1622,40,50
CIV,0,0,2,0,2,0,0,5,9,3,0,26,10,0,3,43,50,0,63,5,6,0,0,3,0,1,2,0,2,25,2,3,1,6,6,38,85,10,36,0,47,22,16,0,13,0,4,7,2,0,0,2,9,69,2,0,13,2,9,8,18,0,19,8,20,9,1,0,244,0,0,12,134,2,38,0,9,6,3,1,7,0,0,2,8,1,0,6,2,8,13,21,6,8,0,4,5,29,2,4,20,3,63,3,4,0,0,8,2,4,5,4,3,0,0,2,3,4,3,5,0,28,0,1,17,0,12,0,4,37,2,2,1,1,25,3,0,21,13,6,10,0,24,54,1,32,9,4,5,4,12,5,9,11,0,0,8,1,11,2,2,0,4,7,11,16,12,2,54,9,0,0,3,9,0,0,1,7,0,0,0,6,4,14,4,0,5,0,0,3,34,9,2,1,0,1,1,10,19,0,4,33,36,4,3,137,0,0,0,0,6,0,17,0,0,0,2,62,10,16
CMR,0,1,2,5,5,0,0,21,17,1,0,80,30,2,16,143,71,0,34,21,12,5,0,5,0,3,1,0,1,64,2,5,1,49,18,119,120,16,144,47,0,64,39,0,31,0,3,12,3,0,0,6,39,253,1,1,17,2,26,11,50,0,48,10,46,24,3,0,316,0,2,36,329,10,84,0,12,13,3,3,21,0,0,6,1,6,1,14,5,13,23,132,13,44,15,8,17,112,8,10,60,8,116,8,4,0,0,21,6,0,9,10,6,0,0,13,3,5,6,4,0,43,0,1,24,0,38,0,2,26,3,2,1,0,20,3,0,3,28,29,11,0,21,131,1,77,27,20,20,3,65,10,17,19,0,1,24,2,23,2,7,0,11,29,36,38,63,23,52,18,0,0,2,15,1,0,3,16,3,0,0,3,10,40,9,0,3,2,0,11,16,16,1,1,0,1,3,34,97,0,53,73,69,10,8,363,5,0,0,0,5,1,36,1,0,0,6,234,27,42
COD,0,1,6,1,1,0,0,2,5,1,0,21,13,0,6,194,23,0,24,11,3,1,0,0,0,1,1,0,1,14,0,1,1,7,7,51,92,8,47,22,64,0,38,0,7,0,1,3,2,0,0,2,15,51,1,1,8,0,5,4,16,0,24,2,25,6,2,0,95,0,0,22,147,3,25,0,6,5,1,3,1,0,0,6,2,2,1,3,4,2,25,32,5,3,3,1,2,29,0,3,29,2,66,2,4,0,0,16,1,2,1,9,6,0,0,4,1,4,3,2,0,14,0,0,14,0,6,0,2,26,0,3,1,1,19,3,0,2,25,6,5,0,11,61,3,31,21,8,6,3,13,2,10,11,0,1,7,0,6,1,1,0,2,6,8,23,6,6,27,14,0,0,0,10,1,0,3,3,5,0,0,1,1,20,5,0,0,0,0,3,12,13,0,0,0,0,0,9,4,0,4,37,49,2,0,245,2,0,0,0,1,0,14,0,0,0,2,70,21,12
COG,0,0,2,0,0,0,0,2,6,0,0,18,5,0,5,36,18,0,20,4,2,0,0,1,0,0,1,0,1,20,0,2,0,3,14,25,77,3,17,16,39,38,0,0,5,0,0,3,0,0,0,0,9,49,1,0,22,0,2,3,19,1,12,0,14,8,2,0,74,0,1,32,102,0,19,0,7,8,1,2,2,0,0,0,2,2,0,1,0,1,10,28,3,1,1,2,4,13,0,3,15,1,41,1,2,0,0,5,1,1,0,6,2,0,0,4,3,0,0,2,0,8,0,0,8,0,4,0,0,7,0,0,0,2,14,1,0,1,5,4,4,1,8,30,1,25,9,2,6,1,6,2,4,15,0,1,2,0,4,1,0,0,1,1,3,16,4,1,18,8,0,0,1,8,0,0,0,2,1,1,0,1,1,10,3,0,0,1,0,3,6,7,0,0,0,0,0,3,1,0,3,14,23,0,0,108,0,0,0,0,1,1,12,1,0,0,1,46,11,21
COK,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,6,3,4,4,11,2,0,120,699,111,0,591,297,87,1,318,6,0,5,70,175,10,5,10,0,163,4,1,77,1563,10,7,0,10,2,640,474,815,555,13,31,7,5,0,0,0,3,158,74,2,0,94,306,881,1,0,245,67,29,364,191,0,1700,116,46,213,6,2,786,0,5,5,1297,176,30,1,4,6,0,0,257,2,0,83,5,10,35,122,7,243,65,361,237,243,39,16,193,730,7,21,292,27,85,10,4,0,6,211,71,3,41,1,13,0,0,85,0,96,19,89,0,152,5,1,9,1,1017,0,19,4,9,5,58,4,16,0,0,5,10,159,5,0,4,99,25,494,212,32,189,23,172,135,430,152,0,6,383,1,378,62,63,0,98,218,384,13,182,13,9,105,1,0,2,6,24,0,2,207,0,0,3,108,117,374,0,0,4,5,0,0,2,148,2,1,1,1,9,42,330,0,232,18,36,168,148,2413,33,0,4,0,243,0,90,1,1,6,13,261,3,21
COM,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,0
CPV,0,0,2,0,1,0,0,2,3,0,0,5,4,0,0,2,2,0,2,2,2,0,0,2,0,0,1,0,0,13,2,2,0,0,0,3,5,4,2,4,3,1,0,0,3,0,0,2,2,0,0,3,3,7,0,0,5,2,2,2,2,0,21,3,3,2,1,0,7,0,0,0,22,2,2,0,0,0,2,0,2,0,0,2,0,0,0,2,2,2,2,2,3,2,0,3,4,6,2,2,6,2,2,2,0,0,0,2,2,0,2,0,0,0,0,0,0,2,2,2,0,2,0,1,0,0,2,0,1,0,3,2,1,0,5,1,0,3,2,2,1,0,1,4,0,5,3,2,3,0,2,3,2,2,0,0,3,1,34,1,2,0,2,2,2,0,2,0,3,2,0,0,2,2,0,0,0,2,0,0,0,2,3,4,0,0,3,0,0,0,0,2,1,1,0,1,0,3,2,0,3,3,3,2,2,8,0,0,0,0,2,0,3,0,0,0,2,3,1,0
CRI,2,0,1,2,1,0,0,14,122,0,0,76,36,1,0,38,6,0,2,9,11,3,5,3,0,0,2,0,16,197,3,3,3,2,0,112,56,141,42,7,12,3,3,0,158,0,2,0,23,1,0,8,25,137,0,0,33,28,4,86,11,0,224,14,11,20,4,2,111,0,1,0,172,8,10,0,0,2,0,0,15,0,0,35,1,2,15,10,4,21,10,23,20,24,3,9,25,84,2,5,39,5,17,6,1,0,0,18,5,0,7,1,1,0,0,6,0,5,4,9,0,6,1,1,4,0,181,0,4,0,4,3,1,4,3,0,0,3,4,14,1,0,3,13,19,84,28,7,27,7,13,70,98,14,1,0,21,1,38,36,4,0,6,13,29,2,12,1,4,18,1,0,2,0,15,0,0,12,0,0,1,8,12,57,0,0,7,0,1,0,3,16,1,1,3,1,6,5,16,0,14,8,8,7,42,432,1,0,0,0,51,0,9,0,0,0,5,37,0,1
CUB,1,0,2,0,2,0,0,6,62,34,0,26,59,34,0,76,3,0,0,8,8,3,1,2,0,0,1,0,12,193,3,2,0,1,0,74,63,89,123,2,3,2,0,0,74,0,2,23,0,0,0,3,48,138,0,0,48,43,4,73,11,0,202,6,6,48,1,0,126,0,1,0,111,3,4,0,0,0,0,0,46,0,0,20,1,0,16,43,7,41,42,59,10,9,0,3,8,121,6,6,60,6,6,3,0,0,1,51,6,0,3,0,1,0,0,3,0,6,2,2,0,5,2,1,0,0,263,0,3,0,2,2,1,2,3,0,0,3,2,12,1,0,3,6,12,72,50,5,12,1,45,19,71,7,0,2,51,1,28,16,4,0,5,42,71,0,11,0,2,8,1,0,2,0,10,0,0,9,0,0,0,44,6,59,0,0,2,0,0,0,0,40,2,1,0,1,3,4,54,0,10,2,4,39,29,209,0,0,0,0,29,0,12,0,0,2,3,52,0,0
