,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BGR,0,6,1,0,32,0,0,52,72,81,0,226,237,44,3,248,4,0,2,21,2,4,1,39,101,0,0,4,207,1,2,1,7,1,148,271,68,244,2,6,2,0,0,113,0,0,4,2,0,0,97,252,512,0,0,132,5,14,66,138,0,388,106,18,169,1,0,369,0,0,3,532,115,0,7,1,0,3,0,0,292,4,0,6,0,0,0,0,4,196,1,235,30,0,191,0,139,102,28,13,104,477,4,0,9,163,33,12,11,2,0,0,135,63,2,41,0,7,0,0,65,0,120,13,102,0,44,1,13,2,0,128,0,55,2,16,0,76,6,3,1,0,6,3,93,2,0,4,36,2,208,102,9,0,90,9,101,8,18,40,0,2,401,0,0,226,3,22,0,57,0,212,301,2,66,3,11,40,0,0,0,0,1,1,0,242,0,0,1,138,111,178,0,0,0,3,0,1,1,115,1,0,1,0,1,10,254,0,113,6,9,135,4,480,64,0,0,0,2,0,0,19,0,0,11,5,80,2,0
BHR,0,0,0,0,0,0,0,71,5,1,0,48,4,3,1,7,2,0,1,34,4,0,0,2,0,0,0,0,17,0,5,1,5,0,55,17,2,57,1,4,2,0,0,11,0,0,0,0,0,0,2,6,34,0,0,5,1,12,1,103,0,19,5,12,14,0,0,24,0,2,0,114,1,0,13,0,0,6,0,0,11,0,0,2,0,0,2,0,0,10,0,8,15,0,79,0,21,44,27,3,6,60,1,0,52,14,9,8,7,1,0,0,28,36,0,18,0,10,0,0,7,0,1,1,1,0,10,0,0,0,0,15,0,1,0,2,0,0,4,3,0,0,1,0,56,0,0,0,15,0,18,13,9,0,10,35,145,3,6,9,0,1,19,0,0,11,0,11,0,41,0,12,13,4,183,11,0,18,0,0,0,2,0,0,0,11,0,0,0,4,2,11,0,0,0,4,0,0,0,10,0,0,0,0,1,44,46,0,10,2,1,3,1,76,5,0,0,0,2,0,0,11,0,0,1,7,20,3,4
BHS,0,0,0,0,0,0,0,0,3,1,0,7,2,0,0,3,0,0,0,2,1,0,0,1,0,0,0,1,4,1,0,0,3,0,10,4,3,4,0,0,0,0,1,1,0,0,2,1,0,0,1,1,12,0,0,3,0,0,1,1,0,5,1,0,1,1,0,4,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,2,1,1,1,0,6,0,5,1,0,0,6,7,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,0,0,3,0,0,1,1,1,0,0,1,0,0,5,0,0,0,1,0,1,4,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,1,44,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1
BIH,0,0,0,0,22,1,0,9,8,8,0,23,54,4,1,30,2,0,0,7,39,2,1,4,12,0,0,0,22,1,1,1,1,0,20,43,3,32,0,3,1,0,0,6,0,0,1,0,0,0,15,53,87,0,0,36,1,6,3,18,0,55,20,4,23,0,0,52,1,0,0,96,12,0,1,0,0,0,0,0,44,0,0,2,0,0,1,0,0,177,0,35,5,0,39,0,31,19,2,5,19,84,2,0,10,27,4,2,3,1,0,0,8,3,0,11,0,3,0,0,2,0,30,6,13,0,9,1,4,0,0,10,0,40,1,11,2,42,3,2,1,0,0,0,7,0,0,1,8,0,42,36,3,0,5,5,28,3,2,1,0,1,41,0,0,42,1,2,0,12,0,62,33,0,24,2,2,8,0,0,0,1,0,1,1,311,0,0,0,32,100,28,0,0,0,3,0,1,0,7,1,0,0,0,0,9,57,0,4,2,1,18,1,73,4,0,0,0,1,0,0,2,0,0,23,2,19,2,1
BLR,0,0,1,0,5,1,0,38,42,80,0,123,118,50,1,78,1,0,1,12,101,0,0,12,0,0,0,1,117,0,1,1,1,1,64,124,51,299,1,1,1,1,0,103,0,0,0,1,0,0,64,134,211,0,0,59,1,2,64,92,0,132,73,8,94,0,0,173,0,0,2,218,115,0,4,0,0,1,0,0,120,0,0,1,0,0,0,0,2,75,4,114,14,0,109,0,69,91,28,1,62,145,2,0,16,57,32,6,6,0,0,0,74,54,1,4,0,2,0,0,58,3,109,4,75,0,45,0,8,1,0,63,0,6,1,1,3,54,2,3,1,0,0,2,76,0,0,2,7,1,77,59,3,0,62,3,73,3,6,36,0,2,199,0,0,126,2,30,0,53,0,79,544,2,64,2,5,16,1,0,0,1,1,0,0,118,0,0,0,59,52,66,0,0,1,1,0,1,1,77,3,0,1,0,0,6,138,0,100,3,3,110,1,200,66,0,0,0,1,0,0,12,0,0,3,1,59,1,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,1,0,0,0,1,1,0,0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,3,0,0,0,0,1,0,0,0,0,0,0,2,1,0,7,0,0,1,1,0,2,0,0,2,0,0,1,0,1,1,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,3,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0
BOL,0,2,1,0,2,0,0,3,67,2,0,28,11,1,2,34,4,0,3,11,4,0,1,0,1,0,0,2,82,0,3,0,4,1,35,30,61,22,5,8,4,1,0,69,0,0,19,9,0,0,1,10,40,0,0,10,8,1,42,8,0,44,3,6,6,2,0,44,1,1,2,71,4,0,9,0,1,2,0,0,2,0,0,15,4,0,2,0,13,4,7,6,10,0,20,0,8,4,3,2,7,30,2,0,3,20,2,14,2,2,0,0,10,1,1,4,1,2,0,0,6,1,2,2,2,0,2,1,0,1,0,45,0,1,3,0,1,0,3,2,1,0,4,3,5,0,1,0,10,6,22,9,9,0,11,2,9,13,70,9,0,1,5,0,0,11,20,2,0,1,0,8,10,5,7,1,6,7,0,0,0,3,9,0,0,5,1,0,2,5,3,33,1,0,0,0,0,1,1,10,0,0,1,0,1,3,10,0,3,7,6,5,21,125,1,0,0,0,22,0,0,6,0,0,0,1,17,3,2
BRA,0,8,15,0,12,3,1,234,1207,125,0,2119,710,92,5,963,26,0,13,130,207,17,4,22,117,0,1,82,4,8,13,4,27,3,2647,1344,1264,1810,22,62,27,14,0,1259,0,7,159,119,0,1,109,523,3243,0,0,764,27,55,351,351,0,2995,160,84,498,5,0,2609,3,3,15,4567,140,1,85,4,5,16,0,0,504,2,1,57,19,0,11,0,27,225,13,393,165,0,1247,0,473,551,78,40,403,2732,22,0,72,1204,39,148,16,15,0,4,618,99,4,103,3,19,2,9,110,2,122,41,102,1,105,13,8,20,0,1062,0,27,11,26,8,60,18,105,2,0,12,28,277,9,8,8,233,11,1448,565,86,0,394,54,400,95,629,182,1,11,841,1,0,2371,92,58,0,132,0,351,786,24,426,28,31,290,2,0,1,7,15,1,2,226,2,1,9,157,166,1181,5,1,5,14,0,2,6,332,3,0,3,0,11,94,621,0,355,49,82,231,314,8815,67,0,13,0,138,0,0,134,1,0,9,18,679,24,35
BRB,0,0,0,0,1,0,0,1,5,1,0,6,6,2,0,3,0,0,0,5,1,0,1,1,0,1,0,0,8,0,0,0,0,0,13,6,4,9,0,3,1,0,0,6,0,0,1,3,0,0,3,2,9,0,1,5,1,1,1,5,0,5,0,2,3,7,0,9,0,0,0,50,0,0,8,0,0,0,0,0,5,2,0,1,0,0,1,0,0,3,0,1,2,0,9,0,2,4,0,0,2,6,14,0,1,3,0,4,0,0,1,0,1,0,0,1,0,1,1,0,2,0,1,0,0,0,1,0,0,1,0,9,0,0,1,1,1,1,2,0,1,0,1,0,5,1,0,0,9,0,7,2,1,0,1,0,5,5,1,4,0,0,3,1,0,2,0,1,0,0,0,3,2,0,2,1,1,3,0,0,0,1,0,0,0,2,0,0,0,1,1,3,1,0,2,2,0,1,0,2,0,0,0,1,16,1,5,0,1,0,2,2,2,63,1,0,0,1,1,0,0,1,0,0,0,2,11,0,1
BRN,0,4,0,0,1,0,0,28,5,0,0,72,7,2,1,7,1,0,0,40,2,5,0,1,1,0,0,3,13,0,2,0,2,0,22,17,6,97,3,4,2,0,0,8,0,0,1,1,0,0,3,14,22,0,0,7,0,4,2,23,0,17,4,6,7,0,0,20,0,1,2,88,1,0,6,0,0,3,0,0,10,0,0,1,2,0,1,0,0,5,0,7,93,0,72,0,5,33,12,0,5,23,1,0,16,22,4,7,1,2,0,0,28,3,7,2,1,6,0,0,13,0,3,0,0,0,16,0,0,0,2,6,0,0,0,2,3,0,3,0,0,0,1,0,181,0,1,1,15,0,19,28,6,0,6,17,87,5,9,7,0,0,19,0,0,11,1,1,0,15,0,8,16,0,103,3,1,32,0,0,0,2,0,0,0,8,0,0,1,4,5,7,1,0,0,2,0,0,0,23,0,0,0,0,0,6,16,0,38,8,7,2,0,65,1,0,0,0,1,0,0,13,0,0,0,15,12,2,0
BTN,0,1,0,0,0,0,0,3,3,2,0,28,2,0,1,1,4,0,1,3,1,1,0,1,1,0,0,0,4,0,0,0,1,0,4,5,1,7,1,1,1,0,0,2,0,0,1,0,0,0,0,2,8,0,0,4,1,0,0,2,0,2,2,1,1,0,0,4,0,0,1,17,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,2,3,0,40,0,1,3,0,2,3,5,1,0,1,9,2,1,1,1,0,0,5,0,0,2,0,0,0,0,3,0,1,1,1,0,1,0,0,1,1,1,0,2,0,0,0,2,3,2,0,0,0,0,3,0,0,0,2,0,10,2,12,0,3,2,9,1,0,1,0,1,2,0,0,4,0,0,0,1,0,3,3,1,8,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,0,2,0,0,0,2,9,0,0,2,0,2,0,1,0,4,3,2,0,0,23,1,0,0,0,1,0,0,1,0,0,0,0,6,0,0
BWA,0,0,2,0,3,0,0,13,12,2,0,44,8,3,5,26,12,0,6,12,7,5,3,1,1,0,0,4,27,0,2,1,0,1,37,33,12,36,5,39,11,3,0,12,0,0,0,1,0,0,1,15,49,0,0,18,2,6,2,25,0,21,7,67,19,0,0,30,1,2,2,155,3,1,30,0,0,6,1,0,9,0,0,4,0,0,1,0,1,13,6,8,14,0,76,0,13,18,10,3,7,32,2,0,9,22,5,62,5,2,0,0,22,3,1,6,2,7,0,0,6,10,5,3,4,0,16,0,0,3,0,22,0,4,5,1,0,1,4,14,1,0,4,37,21,12,2,2,54,1,25,38,12,0,12,7,15,4,8,15,0,2,18,0,0,18,2,2,0,11,0,14,12,22,18,8,5,15,0,0,0,3,1,0,0,9,4,0,0,3,9,29,14,0,0,0,0,1,2,23,0,0,2,0,0,6,13,0,13,27,41,6,5,195,3,0,0,0,2,0,0,8,0,0,2,4,189,28,47
CAF,0,1,2,0,1,0,0,1,1,1,0,4,2,1,2,3,3,0,5,2,1,0,0,0,1,0,0,1,3,0,0,0,1,0,2,4,1,7,4,13,2,3,0,2,0,0,0,1,0,0,0,5,3,0,0,2,1,1,1,3,1,3,1,3,1,0,0,23,0,0,6,6,1,0,2,0,2,2,2,1,0,0,0,1,0,0,0,0,1,1,1,1,3,0,5,0,2,1,1,0,1,5,1,0,1,1,1,3,1,1,1,0,2,0,2,1,1,1,0,0,1,0,1,2,1,0,3,0,0,3,0,1,0,1,4,0,1,0,2,3,3,0,1,2,1,0,0,4,5,1,4,1,2,0,1,0,2,1,1,1,0,2,2,0,0,2,1,0,0,0,0,1,1,1,0,4,5,1,0,0,1,0,1,0,0,1,1,0,0,1,1,2,0,0,0,0,0,5,8,3,0,0,2,0,0,3,2,0,1,3,5,1,1,10,1,0,0,0,1,0,0,3,1,0,0,2,4,3,2
CAN,2,8,4,1,16,1,2,594,741,39,2,5606,1378,121,5,1985,32,0,47,361,148,55,10,20,64,2,10,35,2647,13,22,4,37,2,2,3049,870,10862,37,97,41,14,2,500,1,4,87,60,5,1,139,816,6161,1,2,1686,22,178,119,824,0,3406,191,188,992,10,6,5538,8,5,53,10520,94,1,183,26,10,22,2,0,728,13,36,38,12,1,14,0,15,255,17,448,179,0,2426,0,937,2133,155,114,1221,4349,24,0,256,2472,68,280,19,16,0,20,1536,160,7,244,13,34,1,7,94,3,103,112,51,1,305,21,10,32,0,941,0,39,15,55,18,8,23,35,5,1,15,41,518,18,11,6,352,8,3500,1296,102,0,913,131,690,74,202,213,3,11,1262,1,3,932,26,94,0,264,0,395,1034,61,1484,40,55,954,2,0,1,16,7,1,5,229,4,1,4,154,226,2170,5,2,12,21,0,3,4,414,2,0,1,1,25,246,987,0,950,107,158,134,92,24771,14,0,5,0,41,0,0,222,5,2,9,37,1265,52,48
CHE,1,13,4,0,24,5,1,213,463,140,0,2652,2501,86,9,2524,34,0,56,110,271,17,4,43,124,0,1,30,1344,6,17,5,33,4,3049,4,502,3045,63,79,69,61,0,358,0,3,43,55,1,0,197,980,10181,0,1,1716,15,42,118,339,0,3636,250,115,991,6,0,5889,2,4,16,8866,168,0,137,5,18,30,3,6,1158,0,5,22,8,0,5,0,6,403,11,620,189,0,1197,0,738,554,32,107,808,6001,20,0,85,1633,47,232,25,30,0,2,816,101,22,134,11,25,0,30,121,19,220,151,146,0,124,24,19,37,0,456,0,57,25,64,27,71,28,53,3,0,8,68,235,23,8,12,181,2,4005,1184,76,1,462,40,249,59,152,178,2,11,1370,0,0,1161,21,50,0,150,1,543,1007,57,321,42,52,597,1,0,0,23,5,2,2,369,6,1,3,235,382,2097,9,0,7,8,0,7,7,317,5,0,6,0,5,68,815,1,438,132,137,286,65,10861,68,0,2,0,28,0,0,131,1,1,18,8,860,63,62
CHL,0,1,7,1,4,4,0,108,800,25,0,835,245,48,3,338,6,0,7,54,68,2,3,3,51,0,0,61,1264,4,6,1,12,1,870,502,0,840,11,16,9,3,1,606,0,0,98,51,0,0,28,242,1419,0,0,368,33,21,277,115,0,2103,40,31,224,0,3,1093,0,0,6,1876,55,1,22,0,1,6,1,0,201,3,2,54,5,0,1,0,31,62,10,128,46,0,575,0,185,169,15,20,244,1050,6,0,25,507,36,37,4,3,0,2,307,10,2,27,2,6,1,1,15,2,28,19,23,0,83,5,5,6,0,669,0,13,2,8,0,2,5,10,1,0,4,4,129,4,5,1,58,10,646,207,19,0,170,15,132,55,351,85,1,2,321,0,0,372,74,38,0,29,0,164,273,6,167,7,11,72,2,0,0,3,22,0,0,119,2,0,2,75,74,391,0,0,2,2,0,2,3,92,0,0,1,0,5,30,234,0,220,10,24,49,151,2776,7,0,28,0,101,0,0,45,1,0,5,13,357,7,15
CHN,0,58,8,0,25,1,0,987,468,155,0,15328,1494,143,31,2470,36,0,13,853,244,57,4,32,299,0,3,22,1810,9,97,7,36,7,10862,3045,840,104,36,119,43,13,0,407,1,2,38,87,1,2,214,1246,10916,0,0,2633,14,226,218,2989,22,3980,297,384,1916,21,0,6155,8,3,20,20309,194,1,477,4,9,23,0,1,1021,8,5,15,4,0,9,1,8,367,6,712,509,0,5041,0,1211,2499,544,118,1243,5064,15,1,212,9093,247,320,71,45,1,10,6478,200,36,152,9,39,0,3,266,7,203,141,124,0,252,15,15,27,2,901,0,54,16,37,161,71,169,24,7,0,26,43,2717,25,7,11,779,2,4239,1653,273,0,1595,213,7283,46,168,621,1,12,2215,0,72,1215,17,91,1,472,0,790,3257,79,5145,216,36,6913,1,0,0,36,2,0,7,415,4,1,5,347,318,3694,6,0,5,48,0,7,24,1814,38,1,2,0,14,283,1856,0,4553,147,79,523,64,47523,319,0,5,1,28,0,0,887,0,7,9,188,1411,53,47
CIV,0,2,6,0,2,0,0,1,10,2,0,30,10,1,5,27,33,0,41,6,2,1,0,0,1,0,0,5,22,0,3,1,5,4,37,63,11,36,0,36,24,13,0,11,0,2,3,1,0,0,1,8,49,0,0,9,2,6,2,9,1,28,4,25,6,1,0,197,0,0,12,93,2,0,34,0,10,8,3,1,2,0,0,3,6,0,0,0,1,2,5,2,10,0,28,0,2,7,1,1,7,29,1,0,2,10,3,41,1,4,1,0,6,1,4,3,6,2,0,1,4,6,2,0,1,0,22,1,0,7,0,10,0,1,25,0,4,0,2,20,8,0,6,14,9,7,2,15,37,1,33,5,6,0,6,1,9,4,8,6,0,3,8,0,0,15,1,1,0,0,0,8,11,12,6,8,47,8,0,0,1,11,1,0,0,4,6,0,1,3,2,14,5,0,2,0,0,6,17,15,0,0,1,0,0,3,14,0,7,27,25,3,3,107,1,0,0,0,4,0,0,9,1,0,0,2,38,14,14
CMR,0,1,7,0,4,0,0,17,22,4,0,75,26,5,14,91,53,0,37,15,6,4,0,3,1,0,0,8,62,3,4,1,39,13,97,79,16,119,36,2,59,32,0,22,0,1,3,2,0,0,2,32,180,0,0,25,4,12,11,55,1,42,8,40,14,0,0,251,1,1,29,257,7,0,70,0,10,13,3,1,15,0,0,5,5,0,2,0,2,10,4,10,22,0,138,0,8,28,20,4,11,84,6,0,11,53,7,94,6,9,1,0,26,5,3,5,4,7,0,1,12,7,3,3,3,0,44,1,0,7,0,24,0,3,10,1,3,2,6,25,6,0,4,25,25,10,2,10,105,1,47,26,13,0,16,6,48,10,12,22,0,5,26,0,0,16,2,2,0,11,0,26,22,28,58,15,40,14,0,0,1,9,2,0,2,14,8,2,2,8,6,32,8,0,3,5,0,17,11,24,1,0,2,0,1,13,51,0,35,54,51,8,3,280,6,0,0,0,5,0,0,28,2,0,0,5,205,29,37
COD,0,1,5,0,3,0,0,7,14,3,0,34,7,3,11,136,16,0,18,18,2,2,0,1,1,0,0,4,27,1,2,1,11,2,41,69,9,43,24,59,4,29,0,15,0,1,1,2,0,0,4,13,50,0,0,10,2,12,5,20,1,20,4,34,9,0,0,90,0,0,11,119,2,0,38,0,12,5,2,1,6,0,0,7,4,0,2,0,1,7,6,4,17,0,29,0,7,9,4,2,4,26,1,0,4,28,3,64,2,3,1,0,9,2,5,1,11,5,0,0,9,6,3,5,2,0,11,1,0,4,0,11,0,2,29,0,3,1,6,18,6,0,3,19,14,5,0,7,64,1,35,24,14,0,8,5,25,10,8,10,1,2,9,0,0,10,1,1,0,4,0,8,9,23,7,9,16,10,0,0,1,15,1,0,2,6,8,1,1,4,2,27,4,0,1,1,0,3,7,23,1,0,1,0,1,13,5,0,12,29,55,5,2,180,3,0,0,0,2,1,0,12,1,0,0,5,82,25,20
COG,0,2,4,0,1,0,0,1,5,1,0,17,4,0,3,25,16,0,18,4,0,0,0,0,1,0,0,1,14,0,0,0,3,3,14,61,3,13,13,32,29,2,0,3,0,0,1,0,0,0,1,4,62,0,0,23,1,0,3,16,0,11,0,13,4,0,0,65,0,0,22,104,1,0,29,0,4,5,2,1,2,0,0,1,1,0,0,0,0,1,2,3,7,0,26,0,2,3,1,1,1,22,1,0,1,6,2,46,0,1,0,0,3,0,3,1,7,0,0,0,3,3,1,1,0,0,7,1,0,4,0,9,0,0,7,0,2,0,0,16,2,0,1,7,3,2,0,3,33,0,18,7,3,0,1,3,10,5,3,11,0,1,1,0,0,13,2,1,0,1,0,1,4,12,7,4,18,4,0,0,0,9,0,0,0,0,3,0,0,1,2,15,1,0,2,3,0,2,3,9,1,0,1,0,0,1,1,0,1,18,26,2,1,92,0,0,0,0,0,0,1,4,0,0,0,2,49,19,15
COK,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
COL,0,3,13,0,5,3,0,93,515,77,0,471,206,49,4,244,13,0,8,51,113,11,1,6,103,1,0,69,1259,6,8,2,12,2,500,358,606,407,11,22,15,3,0,0,0,1,119,33,2,1,80,201,646,0,0,189,34,16,289,166,0,1305,89,51,155,2,0,597,3,3,7,1060,119,1,43,0,2,12,1,0,172,0,0,51,9,0,7,0,25,104,9,165,71,0,309,0,182,154,46,12,118,545,12,0,23,202,21,68,12,9,0,2,173,80,6,38,4,11,0,0,81,1,75,16,69,0,89,2,0,9,1,768,0,12,8,5,6,55,6,15,1,0,6,10,133,4,4,3,90,15,380,149,36,0,140,15,154,92,338,119,1,9,255,0,0,300,56,39,0,79,0,147,263,9,144,11,22,94,1,0,0,4,20,0,0,138,2,1,4,69,68,275,1,0,2,1,0,1,2,129,1,0,2,0,6,26,226,0,167,17,28,120,95,1833,55,0,0,2,147,0,0,61,1,0,1,7,194,14,17
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,3,0,2,2,1,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,2,0,0,0,1,0,19,0,0,0,0,0,5,1,0,0,18,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,30,0,0,0,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
CRI,0,0,1,0,1,1,0,5,101,3,0,53,27,1,0,30,3,0,2,4,4,0,2,1,0,2,0,19,159,1,1,1,0,0,87,43,98,38,3,3,1,1,0,119,0,0,0,9,0,0,6,13,96,0,0,19,19,0,74,0,0,157,7,6,18,0,0,76,0,0,1,122,3,0,5,0,0,1,0,0,11,0,0,30,2,0,0,0,20,5,6,8,9,0,20,0,11,12,0,1,19,70,3,0,1,21,2,16,0,0,0,1,18,1,0,4,1,0,0,0,6,1,2,4,7,0,4,2,0,1,0,120,0,3,2,1,1,0,3,2,0,0,0,0,10,1,1,0,7,14,51,14,3,0,21,0,5,58,84,10,0,0,13,0,0,38,23,1,0,1,0,8,11,2,7,3,2,12,0,0,0,1,19,0,0,4,1,0,0,4,6,33,1,0,1,0,0,0,1,6,0,0,1,0,2,2,10,0,15,4,11,5,35,327,0,0,0,0,30,0,0,4,0,0,0,0,23,2,3
CUB,0,0,4,0,1,0,0,2,37,32,0,15,46,31,1,49,1,0,1,5,2,0,1,0,1,0,0,9,119,3,1,0,1,1,60,55,51,87,1,2,2,0,0,33,0,0,9,0,0,1,0,36,94,0,0,41,17,0,45,5,0,102,2,2,39,0,0,73,0,0,1,76,1,0,1,0,0,0,0,0,34,0,0,9,0,0,0,0,10,33,3,35,44,0,52,0,4,7,2,0,14,79,3,0,3,44,1,2,1,3,0,0,35,0,3,1,0,1,1,0,3,0,2,1,1,0,2,1,0,2,0,145,0,3,1,0,0,0,2,1,1,0,0,1,9,0,1,0,3,5,63,41,1,0,6,0,34,9,52,7,0,1,38,0,0,15,8,0,0,0,0,34,47,1,6,1,3,7,0,0,0,0,6,0,0,3,0,0,0,35,1,42,0,0,0,1,0,1,2,38,0,0,1,0,1,2,38,0,8,1,1,32,15,147,1,0,0,0,13,0,0,6,0,0,0,1,50,1,0
