,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GGY,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IMN,IND,IOT,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JEY,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRI,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VIR,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ATG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,2,15,7,0,14,2,1,597,583,87,1,12,1293,61,6,1935,36,0,22,1006,226,48,7,23,123,2,4,28,2119,6,72,28,44,4,5606,2652,835,15328,30,75,34,17,4,471,0,3,53,15,6,2,193,795,5751,0,1,1939,17,74,153,744,1,3339,264,318,1014,100,9,3969,6,8,14,13281,140,2,278,5,10,44,6,0,745,27,6,30,11,1,7,0,14,264,4,488,716,0,3309,0,1091,1848,393,114,775,3792,16,0,190,2819,75,261,16,68,4,7,1765,178,37,114,10,35,1,5,356,2,178,93,102,0,150,39,7,29,2,652,2,48,30,39,57,59,34,37,2,1,16,53,1612,28,40,4,382,2,3661,1202,210,2,2599,125,1039,71,146,351,6,101,1289,0,0,926,15,69,2,343,0,351,1016,27,1769,48,39,1766,2,0,19,15,7,0,2,271,4,1,4,147,246,2397,6,2,13,21,1,1,7,808,2,0,17,14,17,117,843,2,1101,92,123,210,72,15111,77,0,2,0,43,0,0,734,14,23,19,35,1505,47,52
AUT,0,9,5,0,23,3,1,148,256,127,0,1293,2,82,3,1311,12,0,11,53,237,4,2,54,118,1,3,11,710,6,7,2,8,2,1378,2501,245,1494,10,26,7,4,0,206,0,2,27,46,3,1,158,1175,6904,0,0,919,7,21,94,257,0,1990,225,50,662,3,1,2398,2,0,14,3852,137,0,30,1,3,8,3,0,671,9,7,12,5,0,2,0,6,435,1,651,115,0,602,1,395,379,46,78,429,3120,8,0,137,896,44,53,9,5,0,1,380,79,4,45,3,10,0,55,80,2,183,104,147,0,76,11,16,5,0,268,0,47,5,27,12,73,17,6,2,0,4,7,171,18,3,2,66,1,1935,733,34,0,259,19,215,23,82,84,0,7,1099,0,0,666,10,44,0,89,0,398,832,9,271,11,18,207,3,0,1,4,4,2,0,342,1,0,2,331,462,1256,2,0,3,10,1,3,2,215,4,0,1,0,1,35,567,0,308,17,36,240,43,4435,69,0,1,0,21,0,0,73,3,1,11,4,360,14,5
AZE,0,2,1,0,6,1,0,35,44,42,0,61,82,0,1,16,2,0,2,13,44,3,0,4,50,0,0,1,92,2,2,0,3,1,121,86,48,143,1,5,3,0,0,49,0,0,1,31,0,0,9,87,121,0,0,85,2,2,4,22,0,68,8,10,44,0,0,98,0,1,1,159,52,0,6,0,0,5,0,0,84,0,0,2,0,0,2,0,2,47,1,78,42,0,87,0,7,76,38,2,50,181,2,0,13,84,22,5,6,2,0,0,42,4,1,13,0,7,0,0,11,0,7,0,5,0,45,2,7,3,0,44,0,4,4,0,1,3,3,2,2,0,1,1,20,1,0,1,16,1,87,80,9,0,5,4,75,6,38,38,0,1,108,0,0,66,1,32,0,8,0,99,186,1,59,3,1,9,0,0,0,1,2,0,0,52,0,1,0,72,45,80,0,0,0,4,0,2,1,44,3,0,1,0,0,8,229,0,114,1,5,59,2,134,14,0,0,0,1,0,0,14,0,0,2,9,87,1,1
BDI,0,0,3,0,1,0,0,2,5,2,0,6,3,1,0,10,7,0,5,2,3,1,0,1,1,0,0,2,5,0,1,1,5,2,5,9,3,31,5,14,11,3,0,4,0,0,0,1,0,0,0,5,8,0,0,4,2,1,2,4,1,5,4,8,5,0,0,15,0,0,5,12,2,0,7,0,1,1,1,0,1,0,0,2,1,0,0,0,1,2,2,3,5,0,4,0,1,3,1,2,3,5,2,0,2,4,2,18,2,1,1,0,5,0,1,2,1,2,0,0,1,2,3,1,3,0,5,0,0,1,0,5,0,2,5,0,0,0,2,7,2,0,2,5,3,3,0,2,11,1,7,5,3,0,3,1,5,1,1,2,0,2,3,0,0,4,1,0,0,2,0,3,4,6,2,3,5,2,0,0,1,0,1,0,0,2,3,0,1,3,2,4,3,0,0,0,0,2,1,4,0,0,1,0,0,1,2,0,2,12,12,2,1,20,2,0,0,0,2,0,0,3,1,0,0,2,9,5,6
BEL,1,4,7,0,15,2,1,114,340,87,0,1935,1311,16,10,0,72,1,62,55,248,7,3,30,78,1,3,34,963,3,7,1,26,3,1985,2524,338,2470,27,91,136,25,0,244,0,0,30,49,0,1,176,859,4945,0,0,1328,13,95,146,333,0,3276,237,151,896,8,3,5148,2,2,17,6357,111,0,59,3,19,19,5,0,891,3,4,16,11,0,3,0,8,351,8,528,110,0,771,1,745,420,27,83,586,4223,3,0,46,1075,66,183,8,22,1,5,560,122,7,113,4,21,0,1,102,2,223,248,132,0,154,15,14,26,0,336,0,53,15,72,9,67,10,30,3,0,7,27,206,5,5,11,141,3,4771,818,35,0,342,29,214,38,93,55,0,5,1209,0,1,1057,12,13,0,116,0,404,693,41,360,13,36,275,2,0,0,8,3,1,3,278,3,2,2,149,324,1632,3,0,3,15,1,4,4,206,1,0,1,0,5,107,585,0,326,72,116,175,43,6001,69,0,2,0,21,0,0,211,1,1,10,6,597,20,22
BEN,0,1,1,0,2,0,0,6,13,3,0,36,12,2,7,72,0,0,45,8,4,2,0,2,1,0,0,4,26,0,1,4,12,3,32,34,6,36,33,53,16,16,0,13,0,0,3,1,0,0,5,10,60,0,0,18,2,6,2,11,1,25,5,18,10,0,0,114,1,1,23,95,6,0,64,0,7,10,2,0,3,0,0,7,2,0,0,0,2,6,3,5,10,0,29,0,3,13,2,3,5,23,3,0,4,14,4,46,3,3,1,0,12,1,2,4,6,3,0,0,6,2,3,1,3,0,18,1,0,1,0,10,0,2,23,0,3,0,6,16,4,0,2,20,11,4,0,13,61,1,35,13,12,0,9,2,17,4,6,8,0,4,6,0,0,11,1,1,0,4,0,15,14,12,7,5,28,5,0,0,1,6,1,0,1,9,2,0,1,4,3,21,3,0,2,0,0,2,20,13,0,0,4,0,2,4,16,0,16,26,39,6,2,98,2,0,0,0,2,0,0,11,1,0,0,3,55,13,11
BES,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,2,2,0,2,0,0,2,7,2,0,22,11,2,5,62,45,0,0,11,2,1,0,0,1,0,0,3,13,0,0,1,6,5,47,56,7,13,41,37,18,18,0,8,0,1,2,1,0,0,3,7,51,0,0,11,1,4,4,10,1,25,1,16,8,0,0,145,0,0,17,125,5,0,57,0,14,11,7,1,2,0,0,2,1,0,0,0,2,2,2,1,9,0,16,0,3,6,1,2,2,27,1,0,2,27,3,60,1,17,1,0,8,0,5,2,6,3,0,0,5,2,1,2,1,0,15,1,0,5,0,4,0,1,46,1,3,0,3,14,5,0,3,17,3,3,0,26,52,1,48,6,6,0,4,0,8,3,6,5,0,3,2,0,0,6,1,1,0,0,0,6,3,8,3,11,56,4,0,0,1,4,1,0,0,1,2,0,0,4,2,20,2,0,1,0,0,6,19,13,0,0,3,0,1,4,2,0,24,26,25,5,2,146,4,0,0,0,1,0,0,7,1,0,0,2,50,14,11
BGD,0,21,3,0,7,0,0,122,44,11,0,1006,53,13,2,55,8,0,11,0,21,34,2,7,12,0,0,11,130,5,40,3,12,2,361,110,54,853,6,15,18,4,0,51,0,0,4,5,0,0,15,45,219,0,0,71,4,30,27,323,0,154,15,61,78,5,0,113,3,3,3,696,15,0,56,0,3,19,3,0,62,0,0,12,0,0,4,0,3,32,7,40,146,0,1044,0,45,139,103,8,29,166,3,0,84,569,26,68,15,16,0,1,451,24,8,21,2,20,0,0,51,6,9,9,4,0,45,1,1,5,2,77,0,10,18,5,23,1,11,16,3,0,2,20,694,4,2,2,119,1,120,63,83,0,50,46,514,12,45,71,0,8,78,0,0,77,5,15,0,81,0,91,96,12,1072,28,8,89,0,0,0,9,1,0,1,28,2,1,0,32,18,123,1,0,1,19,0,2,1,183,0,0,1,0,2,19,196,0,96,32,42,25,7,1187,20,0,0,0,4,0,0,107,0,6,6,18,128,19,17
