,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
OMN,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,6,0,2,0,0,4,0,14,0,0,62,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,26,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,34,0,0,0,0,0,0,0,0,0,10,0,0
PAK,0,0,0,0,0,2,8,0,0,22,6,0,0,6,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,56,10,2,16,2,6,0,0,0,2,0,0,2,0,0,4,80,0,0,2,0,0,0,2,0,6,0,0,0,0,24,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,16,4,6,0,2,0,36,0,0,42,4,0,0,0,0,16,0,0,0,0,0,0,0,6,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,10,0,2,2,0,0,0,2,4,0,0,6,0,0,0,0,10,4,0,18,0,0,4,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,10,0,0,0,2,0,16,2,0,0,2,0,166,0,0,0,0,0,0,0,0,2,10,0,0
PAN,0,0,0,0,0,0,4,0,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0,0,14,12,6,0,0,2,0,0,0,10,0,10,0,0,4,6,18,0,0,4,2,0,4,0,0,12,0,0,0,0,12,0,0,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,142,0,0,0,4,0,0,0,0,0,0,0,0
PER,0,0,0,0,0,0,26,0,0,8,8,0,0,18,0,0,2,0,0,0,0,0,0,0,22,56,0,0,0,0,0,14,14,22,2,0,2,0,0,0,16,0,10,2,0,0,0,36,0,0,8,2,0,18,2,0,36,0,0,2,0,42,0,0,48,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,6,4,0,0,0,0,4,16,0,0,6,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,8,0,0,4,0,2,8,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,6,6,240,0,0,0,14,0,0,0,0,0,0,0,0
PHL,0,0,0,0,0,0,2,0,0,50,4,0,0,8,0,4,10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,34,16,6,54,2,0,0,0,0,8,0,6,0,0,2,0,36,0,0,16,0,0,0,0,0,18,0,4,2,0,32,0,0,50,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,14,42,4,6,0,6,6,18,0,2,148,0,10,0,0,0,4,0,8,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,2,22,2,0,0,2,0,26,4,8,6,0,4,0,0,0,0,2,4,0,0,0,0,0,6,0,2,2,2,16,0,0,0,0,0,0,0,0,2,14,0,0,2,0,0,38,0,0,0,0,2,8,12,0,2,0,0,204,0,0,0,0,16,0,0,0,0,4,0,4
PLW,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PNG,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
POL,0,0,2,0,0,4,56,50,0,256,368,0,0,398,0,0,0,72,0,0,2,118,0,0,0,140,0,0,0,0,0,494,530,52,204,0,0,0,0,0,28,0,0,0,0,2,346,2276,0,0,278,0,12,20,20,0,432,34,0,180,0,1522,0,0,1188,18,2,0,0,0,0,150,0,0,2,0,0,0,38,0,198,6,170,48,8,0,6,198,864,0,2,558,30,0,0,0,0,198,0,0,6,0,0,0,0,0,0,60,0,22,18,2,30,0,0,100,0,4,0,0,0,2,0,0,0,0,0,4,0,2,0,6,0,434,138,0,28,0,6,0,0,4,0,0,0,70,0,0,0,100,996,0,8,2,0,20,0,0,0,0,0,0,0,214,124,504,0,0,2,0,0,4,0,2,0,0,2,40,128,2,0,474,0,2548,6,2,0,4,4,0,0,0,12,64,0,0
PRT,0,10,0,0,0,0,34,12,0,38,90,0,0,184,0,0,2,28,0,0,0,32,0,2,0,258,0,0,0,0,0,124,194,22,92,0,0,0,0,0,4,0,0,6,0,2,72,574,0,0,92,0,4,0,6,0,630,6,0,106,0,768,0,2,1014,10,0,0,0,2,2,92,0,0,0,0,0,0,12,0,88,0,22,56,0,0,12,40,410,0,4,66,0,0,2,2,0,10,0,0,4,0,0,0,0,0,0,2,6,8,30,4,2,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,278,62,0,12,0,0,0,2,0,0,0,70,0,0,0,0,56,210,0,0,0,0,4,0,0,0,0,0,6,0,16,22,202,0,2,4,0,0,20,0,0,0,0,12,26,8,0,0,24,2,890,2,0,0,6,6,0,0,0,8,14,2,0
PRY,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0
PSE,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
ROU,0,0,0,0,0,0,6,20,0,38,34,2,0,146,0,0,0,74,0,0,0,2,0,0,0,32,0,0,0,0,0,90,106,2,66,2,0,0,0,0,0,0,0,0,0,34,54,518,0,0,36,0,4,0,4,0,174,2,0,50,0,578,0,0,234,2,0,2,0,0,0,68,0,0,0,0,0,0,18,0,136,0,46,34,2,0,0,24,302,0,0,144,2,0,0,0,0,48,6,0,0,0,0,0,0,0,0,6,2,4,14,0,32,0,0,20,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,126,24,0,6,0,10,0,0,0,0,0,100,56,0,0,0,0,134,0,6,0,0,6,0,0,0,0,0,0,0,24,8,50,0,0,0,0,0,0,0,0,0,0,2,40,48,0,0,16,0,448,2,0,0,4,2,0,0,0,4,10,0,0
RUS,0,0,0,0,0,2,52,156,0,368,362,20,0,496,0,0,0,136,0,0,0,312,0,0,0,314,0,0,0,0,2,676,870,60,522,0,0,0,0,0,40,0,0,2,0,38,458,5186,0,0,340,0,6,22,22,0,652,66,0,540,0,2332,0,0,2048,74,0,0,0,0,0,292,0,0,0,0,0,0,44,2,216,0,224,78,22,0,10,406,1512,0,8,1510,106,0,20,0,0,530,0,0,6,0,0,0,0,2,0,50,4,54,16,0,54,2,0,294,0,4,4,0,0,18,0,0,0,0,2,0,0,0,0,0,0,722,268,2,58,2,4,0,6,6,0,0,996,210,0,0,0,134,0,2,2,0,2,8,0,0,0,0,2,0,0,184,126,1062,0,0,0,0,0,6,20,12,0,0,4,94,266,0,2,632,4,4682,78,0,0,6,16,0,0,0,20,62,0,0
RWA,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,2,0
SAU,0,0,0,0,0,22,4,2,0,18,10,0,0,22,0,0,2,0,6,0,0,0,0,0,0,2,0,0,0,0,0,72,6,2,12,0,0,0,0,0,2,0,0,0,0,0,2,20,0,0,4,0,8,0,142,0,16,0,0,0,2,34,0,0,114,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,24,6,2,0,0,8,18,0,26,30,0,0,0,0,0,2,22,0,8,0,2,0,0,0,0,0,0,0,8,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18,6,0,6,16,18,0,0,2,0,0,8,0,0,0,6,6,2,0,0,12,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,8,28,4,0,0,0,0,248,0,0,0,2,0,0,0,0,0,14,0,2
SDN,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,20,0,0,10,0,0,0,4,0,0,0,2,2,0,14,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,8,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,4,0,0
SEN,0,0,0,0,0,0,0,0,0,2,0,0,2,28,2,6,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,14,0,0,18,18,0,0,0,0,0,0,0,0,2,0,10,0,0,10,0,2,0,0,0,8,0,0,0,0,144,0,6,22,0,4,6,12,4,0,0,0,0,0,2,0,0,0,0,2,0,6,0,0,0,0,0,10,0,2,2,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,8,0,6,0,0,2,0,0,0,0,6,0,0,2,0,0,2,6,4,0,12,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,4,0,0,2,2,0,0,40,0,0,0,0,4,0,0,0,0,6,0,0
SGP,0,0,0,0,0,0,8,0,0,374,24,0,0,38,0,0,2,0,0,0,0,0,0,0,0,30,0,2,0,0,0,200,36,6,758,0,0,0,0,0,8,0,4,0,0,2,4,92,0,0,12,0,0,0,6,0,14,0,0,6,0,104,0,0,452,0,0,0,0,2,0,18,0,0,0,0,0,0,8,0,6,30,106,36,2,0,4,24,22,0,0,184,0,2,0,0,0,62,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,32,0,0,0,0,0,34,8,0,62,2,4,2,0,16,0,0,20,4,0,0,0,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0,0,32,0,0,0,0,2,2,102,0,0,8,0,1016,0,0,0,0,8,0,0,0,2,2,2,0
SLB,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SLV,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0
STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SVK,0,0,2,0,0,0,2,32,0,24,248,0,0,84,0,0,0,12,0,0,2,4,0,0,0,10,0,0,0,0,0,42,90,0,10,0,0,0,0,0,0,0,0,2,0,0,412,498,0,0,38,0,0,0,4,0,86,2,0,70,0,200,0,0,272,2,0,0,0,0,0,62,0,0,0,0,0,0,30,0,62,2,10,16,2,2,2,30,174,0,0,94,0,0,0,0,0,10,6,0,0,0,4,0,0,0,0,8,0,8,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,30,0,6,0,0,0,0,0,0,0,214,16,0,0,0,24,184,0,0,0,0,0,0,0,0,0,0,0,0,0,36,98,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,46,0,348,2,0,0,2,0,0,0,0,12,10,0,0
SVN,0,0,0,0,0,0,0,0,0,80,162,0,0,40,0,0,0,16,0,0,8,10,0,0,0,10,0,0,0,0,0,26,138,2,68,0,0,0,0,0,2,0,2,0,0,4,52,294,0,0,38,0,0,0,0,0,54,4,0,40,0,126,0,0,158,6,0,0,0,0,0,56,0,0,0,0,0,0,150,0,40,0,70,4,0,0,2,28,148,0,0,116,0,2,0,0,0,60,4,0,0,0,0,0,2,0,0,10,0,10,0,0,0,0,0,12,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,40,0,6,0,0,0,0,2,0,0,124,22,0,0,0,8,126,0,0,0,0,2,2,0,0,0,2,0,0,36,0,68,0,0,0,0,0,2,4,0,0,0,0,6,68,0,0,8,0,380,0,0,0,0,0,0,0,0,18,4,0,0
SWE,0,0,4,0,0,16,58,38,0,588,342,0,0,588,0,2,32,72,0,0,4,42,0,2,4,206,0,0,0,4,2,734,666,72,452,0,10,4,0,0,10,0,38,10,0,2,212,2470,0,0,1390,0,4,8,14,2,754,184,62,1410,0,1572,0,0,2886,18,6,0,6,14,0,242,0,4,2,0,0,4,26,2,238,14,154,156,16,0,114,206,1194,0,8,768,2,24,2,0,0,132,8,2,10,0,2,0,0,4,0,102,10,70,6,2,10,2,0,66,0,4,0,4,0,2,16,0,0,0,2,14,0,0,0,16,6,1118,1156,2,102,0,14,4,10,14,0,0,504,202,0,0,0,50,1062,0,12,10,6,30,0,0,2,2,0,0,0,98,68,0,0,0,2,0,0,38,2,0,0,0,8,64,52,50,4,136,22,4718,0,0,0,14,44,0,0,0,30,86,6,20
SWZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2
SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,2,0,0,10,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,12,0,0,0,0,0,0,22,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,8,0,4,0,0,0,4,0,0,8,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,26,0,0,0,0,2,0,0,0,0,0,0,0
TCD,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
