,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AUS,8,12,0,2,0,2,146,670,250,2,0,1530,154,0,2054,10,14,196,166,14,6,2,248,4,6,36,1922,16,16,16,22,0,6670,3026,758,11266,14,58,20,6,4,420,0,2,48,22,0,0,90,834,7392,0,2,1860,0,18,44,244,2,3286,214,44,1050,122,5318,2,20,16172,234,60,0,0,22,4,0,736,2,12,18,12,0,4,234,0,588,594,1916,884,1014,68,130,858,4010,24,74,3234,30,192,8,54,6,4,1522,56,46,60,0,12,0,6,226,10,150,64,28,188,14,12,18,2,678,2,18,22,14,20,8,20,26,6,0,10,26,1484,44,86,12,68,4,4192,1270,114,3608,62,408,56,78,232,8,152,1158,0,902,12,0,182,378,1200,8,606,36,18,2048,20,0,0,0,2,332,0,0,2,236,372,2636,6,16,44,0,0,928,0,0,4,12,48,580,0,1160,88,84,182,58,20788,14,2,0,38,0,362,14,2,0,2,1686,38,28
AUT,0,2,0,14,2,2,36,358,404,0,1530,0,154,0,1680,2,8,8,366,4,0,26,362,0,6,12,806,4,0,0,4,0,1614,3036,350,1214,4,24,2,2,0,418,0,2,12,46,0,0,228,1432,9942,0,0,1150,2,8,14,310,2,2814,310,22,890,0,3392,0,10,5004,354,12,0,2,6,0,0,1016,2,0,16,4,0,2,510,0,1108,44,682,436,378,10,92,612,3684,10,12,1166,18,64,2,6,0,0,506,8,6,32,0,2,0,90,46,0,300,64,60,172,8,10,10,0,504,0,10,6,20,0,22,10,0,0,0,6,2,62,24,2,2,32,4,2446,906,22,444,44,398,10,46,32,0,2,1342,0,872,4,0,60,774,1068,0,188,16,10,188,0,0,2,0,0,572,0,0,2,542,630,1780,0,4,6,0,2,320,0,0,0,8,52,732,0,532,28,32,340,26,6564,8,0,0,18,0,40,2,0,2,2,422,0,6
AZE,0,0,0,0,0,0,0,152,152,0,154,154,0,0,2,0,0,0,0,0,0,0,160,0,0,0,158,0,0,0,0,0,160,156,152,156,0,4,0,0,0,150,0,0,0,0,0,0,0,154,188,0,0,156,0,0,0,6,0,158,0,0,4,0,166,0,0,316,158,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0,152,0,52,0,26,0,0,154,162,0,0,162,6,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,158,154,0,0,0,8,0,0,2,0,0,158,0,184,0,0,0,158,218,0,0,0,0,0,0,0,0,0,0,152,0,0,0,152,152,160,0,0,4,0,0,0,4,4,0,0,6,314,0,154,0,0,10,0,184,2,0,0,0,0,0,0,0,0,0,152,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,0,14,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,0,0,12,0,0,0,0,0,0,0,0,0,0,6,2,2
BEL,4,0,0,14,0,0,48,342,200,0,2054,1680,2,24,0,66,92,54,438,2,0,30,234,0,2,24,1216,18,4,2,8,14,2464,2934,328,1612,32,136,196,10,0,360,0,0,36,110,0,0,292,1036,7102,0,0,1530,8,96,64,316,0,4052,382,140,950,2,8056,0,40,8108,198,30,0,4,62,0,0,1212,0,4,20,4,0,6,380,2,954,58,752,548,458,22,76,576,5178,2,22,1364,32,144,4,46,0,4,648,16,6,56,0,8,0,4,68,4,344,236,58,86,10,22,28,0,526,0,14,32,36,4,8,10,28,4,0,2,12,180,4,4,14,40,6,6932,862,60,624,10,246,30,72,60,0,4,1452,0,1096,0,0,98,654,1032,40,182,6,78,194,0,0,0,0,2,336,0,0,2,184,284,2014,0,4,18,2,8,314,0,0,0,0,142,654,0,366,76,134,348,36,8838,12,4,0,46,0,212,4,0,0,2,680,34,28
BEN,0,0,0,0,0,0,0,6,0,0,10,2,0,2,66,0,46,0,0,0,0,0,0,0,0,2,20,0,0,0,2,2,54,26,0,8,32,28,12,2,0,4,0,0,0,0,0,0,0,2,42,0,0,20,0,4,0,0,0,14,2,2,2,0,236,0,2,64,0,20,0,8,4,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,12,0,2,8,4,20,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,8,0,4,0,0,24,0,0,0,0,2,0,0,0,0,0,2,4,12,28,0,44,6,0,0,0,0,0,4,12,0,0,0,0,2,0,0,0,2,0,2,0,0,36,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,2,2,24,12,0,0,0,0,4,0,0,2,14,6,0,0,78,0,0,0,0,0,0,0,0,0,0,20,2,4
BFA,2,0,0,0,0,0,0,4,0,0,14,8,0,0,92,46,0,0,4,2,0,0,2,0,0,2,8,0,2,0,0,4,34,42,0,4,26,36,8,2,0,6,0,0,0,2,0,0,0,2,66,0,0,16,2,2,0,12,0,14,0,2,6,0,260,0,10,102,0,40,0,8,16,0,0,0,0,0,0,0,0,0,2,0,0,8,16,2,0,0,0,2,22,0,0,10,0,26,0,8,0,0,4,0,4,4,0,0,0,0,4,0,0,6,0,8,0,0,6,0,4,0,0,32,0,2,0,0,4,0,0,0,4,2,0,2,14,24,0,26,14,2,0,0,0,0,0,2,0,2,2,0,2,2,0,0,0,0,6,2,4,62,0,0,2,0,0,0,0,0,0,0,2,0,12,0,0,0,2,16,12,0,0,0,0,6,8,0,10,20,18,4,0,134,0,0,0,0,0,8,2,0,0,0,42,8,2
BGD,0,0,0,2,0,0,20,22,0,0,196,8,0,0,54,0,0,0,0,0,0,0,0,0,0,0,24,0,8,0,2,0,154,46,8,134,0,0,6,0,0,8,0,0,4,8,0,0,4,2,126,0,0,22,2,2,2,52,0,30,2,14,12,2,28,0,0,264,0,6,0,2,12,0,0,10,0,0,6,0,0,2,0,0,4,34,170,8,26,6,4,4,48,0,2,484,0,30,2,4,0,0,178,10,0,8,0,0,0,0,14,0,0,4,0,2,0,0,0,0,8,0,0,10,0,2,0,0,6,0,0,0,6,330,0,0,2,6,0,74,36,30,10,2,88,0,2,24,0,4,16,0,8,0,0,0,2,8,0,46,0,0,22,0,0,0,0,0,0,0,0,0,0,12,98,0,0,0,0,0,56,0,0,0,0,0,26,0,6,8,10,2,2,724,0,0,0,0,0,34,0,0,0,2,34,4,8
BGR,0,0,0,8,2,0,10,34,206,0,166,366,0,0,438,0,4,0,0,6,0,6,204,0,0,2,264,2,6,0,0,0,128,414,30,312,0,4,0,0,0,222,0,0,4,0,0,0,200,438,978,0,0,128,0,14,2,226,0,560,244,0,304,0,602,0,0,704,206,0,0,0,2,0,0,378,0,0,2,0,0,0,252,0,340,6,284,114,196,8,14,66,678,2,4,186,6,2,2,0,0,0,248,0,0,18,0,0,0,0,40,0,242,10,40,4,0,18,2,0,262,0,66,0,8,0,12,16,0,0,0,2,0,8,2,0,2,20,0,220,82,0,210,8,204,0,4,8,0,0,544,0,318,6,0,34,348,444,0,72,4,0,14,0,0,0,0,0,312,0,0,0,110,86,140,0,0,2,0,0,174,0,0,0,0,10,326,0,210,4,0,278,4,716,8,0,0,6,0,16,0,0,2,0,58,0,2
BHR,0,0,0,0,0,0,28,2,0,0,14,4,0,0,2,0,2,0,6,0,0,0,2,0,0,0,10,0,2,0,0,0,24,4,0,6,0,2,0,0,0,4,0,0,0,0,0,0,0,2,12,0,0,4,0,16,0,60,0,6,0,0,4,0,26,0,0,56,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,34,18,6,14,0,10,14,0,18,8,0,0,0,0,0,0,6,24,0,18,0,6,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,28,0,0,0,8,4,0,0,0,0,0,8,0,2,2,0,14,0,4,0,46,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,6,0,0,6,0,0,0,0,26,14,0,8,0,0,2,0,54,0,0,0,0,0,0,0,0,0,8,6,0,0
