,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BHS,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,2,0,0,0,2,0,0,0,0,4,0,0,0,0,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,6,0,0,4,0,4,0,2,26,0,0,30,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,26,22,4,6,0,0,0,0,0,2,0,0,0,0,0,0,0,14,80,0,0,8,0,2,0,2,0,32,6,0,4,0,32,0,0,56,2,0,0,0,0,0,0,10,0,0,0,0,0,0,194,0,12,0,0,8,2,0,2,8,54,0,0,6,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,2,8,2,0,6,0,0,6,0,30,0,0,0,18,0,0,0,0,0,0,6,0,0,0,0,0,32,20,0,0,0,4,0,2,4,0,0,22,0,10,0,0,0,26,16,0,0,0,0,0,0,0,0,0,0,266,0,0,0,8,64,20,0,0,0,0,0,0,0,0,0,0,2,42,0,6,0,0,20,0,58,0,0,0,0,0,0,0,0,4,0,2,0,0
BLR,0,0,0,0,0,0,0,164,354,0,248,362,160,0,234,0,2,0,204,2,0,2,0,0,0,0,372,0,2,0,0,0,190,380,154,390,2,2,0,0,0,334,0,0,0,4,0,0,182,382,584,0,0,200,0,0,2,184,0,410,192,0,234,0,456,0,0,636,340,0,0,0,0,0,0,356,0,0,2,0,0,2,192,0,340,0,248,78,194,0,0,172,454,0,6,212,28,0,0,0,0,0,222,0,0,2,0,0,0,0,40,0,250,2,20,148,0,12,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,190,182,0,184,0,180,0,0,4,0,0,542,0,370,4,0,32,292,850,0,48,0,0,22,0,0,0,0,0,348,0,0,0,158,158,222,0,0,0,0,0,166,0,0,0,0,0,358,0,354,0,0,282,2,454,2,0,0,0,0,4,0,0,0,0,160,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,2,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,2,0,0
BOL,0,0,0,0,0,0,2,64,4,0,36,12,0,0,24,2,2,0,2,0,0,0,0,0,0,0,72,2,0,0,0,0,34,22,44,12,0,4,0,2,0,42,0,0,6,12,0,0,0,8,60,0,0,20,2,0,44,2,0,90,2,2,6,0,52,0,0,78,0,4,0,0,2,0,0,4,0,0,8,2,0,0,0,0,0,4,8,4,4,0,4,2,26,4,0,22,0,6,0,0,0,0,4,0,0,2,0,0,0,0,2,0,4,6,0,6,0,0,4,0,38,0,0,0,0,0,0,2,0,0,0,4,0,4,0,0,2,2,6,26,8,2,4,0,0,14,66,2,0,0,6,0,6,8,0,14,2,4,0,4,0,0,0,0,0,2,0,0,4,0,0,2,0,2,42,0,0,0,0,0,0,0,0,0,0,2,4,0,2,4,6,0,24,168,0,0,0,34,0,6,0,0,0,0,4,0,2
BRA,4,16,0,8,0,0,34,1726,430,2,1922,806,158,0,1216,20,8,24,264,10,4,0,372,4,0,72,0,6,8,0,6,0,2526,1600,1018,1480,10,46,8,10,0,1102,0,4,96,328,0,0,196,810,3700,0,0,734,18,20,192,322,0,3490,218,10,580,22,3972,0,6,4744,348,24,0,0,8,0,2,654,0,4,44,22,8,22,326,2,596,50,1046,472,292,6,18,468,2940,20,4,1048,16,72,0,12,0,0,676,24,4,62,0,10,0,0,60,0,204,28,8,190,2,0,12,0,1306,0,8,8,6,2,0,4,40,0,0,6,8,128,8,18,4,80,12,1590,442,6,458,28,404,84,386,66,0,2,1056,0,2322,60,0,66,662,1136,4,186,6,10,150,0,0,8,0,0,446,0,2,8,278,250,1006,0,0,6,0,0,332,0,0,0,4,38,660,0,506,22,30,486,328,11450,6,10,0,212,0,166,0,0,0,0,658,8,30
BRB,0,0,0,0,0,0,0,4,2,0,16,4,0,0,18,0,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,0,34,18,4,4,0,2,0,0,0,4,0,0,4,4,0,0,0,2,18,0,0,2,2,0,2,2,0,6,0,0,4,0,12,2,0,50,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,6,2,2,0,0,2,14,18,0,18,0,4,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,10,0,6,2,0,16,0,0,0,0,0,0,0,2,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,16,0,0,2,0,0,0,0,0,0,4,2,6,0,6,6,0,0,4,76,0,0,0,2,0,0,0,0,0,0,4,0,0
BRN,0,0,0,0,0,0,0,4,0,0,16,0,0,0,4,0,2,8,6,2,0,0,2,0,0,0,8,0,0,0,0,0,8,4,2,20,0,4,0,0,0,6,0,0,0,0,0,0,0,2,18,0,0,2,0,0,0,6,0,6,0,0,6,0,6,0,0,28,2,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,22,4,2,4,0,6,10,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,6,0,4,2,0,0,2,6,0,0,2,0,0,4,0,0,6,0,2,4,2,0,10,0,0,26,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,4,0,4,0,0,8,0,22,0,0,0,0,0,2,0,0,0,6,6,0,0
BTN,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,22,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,4,2,0,0,0,0,0,0
BWA,0,2,0,0,0,0,0,0,0,0,22,4,0,0,8,2,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,28,16,2,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,6,0,0,0,0,2,4,0,12,0,0,10,0,0,74,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,24,0,0,0,0,0,22,4,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,12,0,10,0,0,12,0,4,10,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,14,2,2,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,2,0,0,0,14,10,0,0,176,0,0,0,0,0,6,0,0,0,0,98,8,12
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,2,16,2,4,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,10,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,2,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,2,0,0,0,0,4,0,0
CAN,10,4,0,14,0,2,336,924,182,0,6670,1614,160,2,2464,54,34,154,128,24,12,26,190,6,8,34,2526,34,8,0,28,8,0,3732,938,9392,6,68,20,4,0,486,0,0,70,64,0,0,74,892,8824,4,4,1976,10,128,56,562,0,3786,140,32,1126,32,8514,0,20,13252,168,74,8,2,12,0,0,868,10,76,30,4,10,10,164,10,640,84,1912,904,1572,20,164,1474,5020,36,112,3462,36,276,2,10,0,14,1870,104,8,176,6,22,0,10,66,0,60,90,48,292,6,14,22,2,1002,0,18,22,38,0,30,22,6,2,0,22,28,444,22,6,6,70,6,4316,1580,60,1194,42,364,52,96,78,0,4,1520,0,788,4,2,204,524,1304,20,1114,12,28,788,2,4,4,0,4,342,0,0,4,346,334,2722,6,4,26,10,8,472,0,0,0,34,182,824,0,1090,58,142,184,92,38342,6,2,0,90,0,118,8,0,0,2,1194,20,22
CHE,10,4,0,10,2,0,70,544,434,2,3026,3036,156,0,2934,26,42,46,414,4,2,22,380,2,4,22,1600,18,4,4,16,2,3732,0,440,2404,74,62,42,30,0,456,0,0,30,82,0,0,224,1386,14922,0,0,1930,10,38,40,368,0,4524,358,60,1414,26,8830,0,4,11210,390,76,0,10,16,2,0,1380,4,12,12,2,0,2,488,8,1134,108,1272,814,520,16,130,984,7384,16,34,2066,18,166,26,42,0,0,1040,18,18,80,4,10,0,42,80,2,268,106,46,216,14,18,24,0,642,0,20,40,28,10,12,22,32,2,0,10,36,128,2,8,24,68,6,4676,1216,108,674,14,408,38,156,100,0,26,1904,0,1200,6,0,94,900,1778,10,272,30,34,484,2,2,2,0,2,570,0,0,0,468,516,2606,6,30,18,8,12,434,8,0,0,4,100,856,0,728,160,94,566,36,15906,16,2,0,52,0,232,2,0,0,6,1008,64,26
CHL,2,4,0,0,0,0,18,912,180,0,758,350,152,0,328,0,0,8,30,0,0,4,154,0,0,44,1018,4,2,0,2,0,938,440,0,446,6,4,4,0,0,466,0,0,40,52,0,0,0,216,1578,0,2,402,16,10,80,34,0,1832,18,2,122,0,1444,0,2,1912,160,8,0,0,2,0,0,250,0,0,12,2,0,22,26,2,216,12,270,88,88,2,12,288,880,4,0,510,4,18,0,0,2,4,246,2,0,18,0,0,0,0,6,0,10,0,10,164,0,4,8,0,578,0,6,0,0,0,0,2,0,0,0,2,0,28,0,0,2,20,10,564,282,4,186,6,26,26,148,28,0,0,416,0,322,24,0,38,220,328,2,42,8,2,40,0,0,4,0,0,178,0,0,4,174,176,400,0,0,2,0,0,36,0,0,0,2,6,248,0,278,8,6,66,152,3288,2,34,0,142,0,18,0,2,0,0,384,2,12
CHN,6,2,0,2,0,0,146,424,420,2,11266,1214,156,8,1612,8,4,134,312,6,0,6,390,2,2,12,1480,4,20,6,10,0,9392,2404,446,0,14,34,16,2,0,524,2,0,18,116,0,0,214,1058,9244,0,2,1984,2,30,84,552,4,2566,282,32,1226,26,5898,0,2,13946,364,78,2,16,2,0,0,884,0,28,8,0,2,4,386,2,798,188,2062,892,592,88,74,850,3300,6,24,10850,44,118,6,24,0,6,4954,44,6,60,4,0,0,0,130,0,254,76,24,202,4,10,12,0,810,0,24,10,4,16,2,34,2,0,0,12,8,692,6,6,14,152,2,3122,1318,82,1172,36,1252,28,100,230,2,8,1442,42,1008,8,2,274,742,1976,14,1236,84,6,5924,2,4,2,0,0,578,0,0,0,330,426,2878,0,2,8,2,0,980,0,2,0,14,48,950,0,4268,38,14,558,42,59442,30,2,0,38,0,464,2,0,0,6,880,14,22
CIV,2,0,0,0,0,0,0,4,0,0,14,4,0,2,32,32,26,0,0,0,0,0,2,0,0,0,10,0,0,0,0,2,6,74,6,14,0,40,6,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,0,0,8,0,10,0,2,4,0,216,0,8,46,0,20,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,0,0,2,8,0,0,2,2,16,2,6,0,0,0,0,2,0,2,0,0,0,2,0,0,4,0,12,0,0,8,0,2,0,0,24,0,2,0,0,4,2,0,0,4,0,2,0,0,14,0,12,4,2,2,2,0,0,2,0,0,2,0,0,0,0,0,2,6,6,6,0,2,32,2,0,0,0,0,0,0,0,0,0,0,2,8,2,0,0,0,24,10,0,0,0,2,4,0,0,2,6,10,0,0,68,0,0,0,0,0,8,0,0,0,0,18,6,2
CMR,2,0,0,0,0,0,0,6,0,0,58,24,4,0,136,28,36,0,4,2,0,0,2,0,0,4,46,2,4,0,10,16,68,62,4,34,40,0,20,4,0,6,0,0,0,0,0,0,0,14,200,0,0,20,4,6,8,24,0,32,2,12,10,0,428,0,40,162,4,34,0,4,2,0,0,6,0,0,2,4,0,0,4,0,14,8,62,6,0,0,0,10,104,6,0,32,0,62,0,8,0,0,10,0,2,4,0,0,0,0,8,2,0,2,0,16,0,2,14,0,8,0,0,14,0,2,0,0,6,2,0,0,8,8,0,2,10,62,0,82,4,0,6,4,12,10,4,2,0,2,2,0,8,4,0,0,30,10,4,16,12,54,2,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,10,10,24,0,0,0,2,10,6,0,8,42,26,4,0,276,0,0,0,2,0,8,0,0,0,2,140,6,6
COD,2,2,0,0,0,0,2,8,0,0,20,2,0,14,196,12,8,6,0,0,0,0,0,0,0,0,8,0,0,0,0,2,20,42,4,16,6,20,0,2,0,0,0,0,0,0,0,0,0,2,40,0,0,2,0,0,2,0,0,4,2,0,0,0,64,0,10,42,0,8,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,6,12,0,0,0,0,2,10,0,0,16,0,34,0,4,0,0,2,0,0,2,2,0,0,0,2,0,0,4,0,4,0,0,4,0,8,0,0,8,0,0,0,2,4,0,0,0,0,0,2,0,2,16,2,22,6,6,2,0,4,2,2,4,0,0,2,0,0,2,0,0,0,0,14,0,0,12,2,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,6,0,0,0,0,0,0,0,0,10,40,0,0,102,0,0,0,0,0,2,0,0,0,0,40,4,0
COG,0,0,0,0,0,0,0,0,0,0,6,2,0,0,10,2,2,0,0,0,0,0,0,0,0,2,10,0,0,0,0,4,4,30,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,8,0,0,0,6,0,0,0,0,0,0,56,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,2,0,2,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,4,0,0,0,0,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,46,0,0,0,4,0,0,0,0,0,0,14,0,0
COK,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,10,0,0,14,494,344,0,420,418,150,0,360,4,6,8,222,4,0,2,334,0,0,42,1102,4,6,0,0,0,486,456,466,524,0,6,0,0,0,0,0,0,66,42,0,0,180,410,744,0,0,222,12,2,168,204,0,1540,188,4,216,0,858,0,0,1046,338,2,0,0,2,0,0,370,0,0,26,8,2,22,188,0,344,6,390,128,220,8,0,256,592,8,2,278,0,24,0,8,0,0,304,2,0,32,0,2,0,0,52,0,196,8,2,158,0,16,6,0,878,0,4,0,0,0,0,2,0,0,0,4,2,28,2,0,4,24,16,418,182,0,234,0,204,66,134,26,0,0,402,0,430,22,0,32,300,440,0,68,12,0,12,0,0,8,0,0,352,0,0,4,168,156,296,0,0,2,0,0,196,0,0,0,6,6,390,0,370,6,8,206,64,2220,0,0,0,178,0,12,0,0,0,0,214,0,10
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,10,0,0,4,0,2,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,64,4,0,48,12,0,0,36,0,0,4,4,0,0,0,0,4,0,6,96,4,0,0,0,0,70,30,40,18,0,0,0,0,0,66,0,0,0,16,0,0,0,6,74,0,2,16,14,0,26,6,0,144,8,2,6,0,96,0,0,106,0,0,0,0,4,0,0,12,2,0,28,0,0,18,0,2,0,2,8,2,8,0,0,10,58,6,0,30,0,10,0,0,0,0,8,0,0,6,0,0,0,0,6,0,2,0,6,2,0,0,4,0,106,0,2,2,0,0,0,2,2,0,0,2,0,6,0,2,2,2,16,48,8,0,10,0,8,52,22,6,0,4,6,0,8,6,0,0,2,16,0,10,0,0,2,0,0,16,0,0,4,0,0,0,0,0,30,2,0,0,0,0,2,0,0,0,0,0,8,0,8,10,0,0,22,430,0,0,0,34,0,0,0,0,0,0,18,0,0
CUB,0,2,0,0,0,0,2,80,56,0,22,46,0,0,110,0,2,8,0,0,2,0,4,0,0,12,328,4,0,0,0,0,64,82,52,116,0,0,0,0,0,42,0,0,16,0,0,0,0,70,166,0,0,70,14,0,34,18,0,540,2,0,62,0,134,0,0,164,0,2,0,0,2,0,0,68,0,0,8,0,0,0,54,0,62,4,70,0,6,0,0,10,164,4,2,86,2,2,0,0,0,0,56,2,0,6,0,0,0,0,2,0,4,2,0,4,2,0,2,0,300,0,8,0,2,0,0,0,2,0,0,0,0,26,0,0,0,2,6,84,66,0,2,0,50,12,68,6,0,0,68,0,50,8,0,0,60,72,0,2,2,0,2,0,0,6,0,0,36,0,0,2,64,4,72,0,0,0,0,0,22,0,0,0,2,0,64,0,4,0,0,56,28,170,0,0,0,46,0,10,0,0,0,2,64,0,2
CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,4,0,0,18,2,182,0,90,228,0,0,292,0,0,4,200,0,0,0,182,0,0,0,196,0,0,0,0,0,74,224,0,214,0,0,0,0,0,180,0,0,0,0,0,0,0,218,408,0,0,58,0,10,0,204,0,366,224,0,204,0,320,0,0,654,182,2,0,0,0,0,0,724,0,0,0,0,0,0,198,0,246,0,210,100,194,2,4,46,404,0,10,38,2,2,0,0,0,0,188,2,0,12,0,4,0,0,42,0,188,26,8,4,0,2,0,0,184,0,0,0,12,0,2,0,0,0,0,0,0,16,0,0,0,2,0,80,28,0,188,4,190,0,0,2,0,0,218,0,230,0,0,34,192,208,0,42,0,0,24,0,0,0,0,0,192,0,0,0,10,30,102,0,0,2,0,0,160,0,0,0,0,6,296,0,198,0,0,184,2,542,0,0,0,0,0,0,0,0,0,0,16,0,0
CZE,0,0,0,10,2,0,20,302,434,0,834,1432,154,0,1036,2,2,2,438,2,4,14,382,0,0,8,810,2,2,0,0,10,892,1386,216,1058,0,14,2,0,0,410,0,2,6,70,0,0,218,0,3522,0,0,716,4,34,60,294,0,1878,312,18,706,0,2520,0,4,2980,364,4,0,2,2,0,0,778,0,2,10,0,0,2,474,0,892,28,792,346,306,4,34,452,2132,2,22,966,22,8,4,4,0,0,574,10,0,16,0,6,0,0,46,0,308,40,90,170,2,12,2,0,562,0,6,2,6,0,8,16,0,0,0,0,0,164,22,0,0,10,0,1232,648,4,328,8,268,16,66,16,0,8,1830,0,718,4,2,44,614,1322,0,108,6,2,146,0,0,0,0,0,526,0,0,0,1584,494,1140,0,0,12,0,0,254,0,0,0,4,32,718,0,504,6,2,478,22,3776,10,0,0,12,0,22,0,0,0,8,392,0,6
DEU,4,2,0,26,2,0,152,1266,542,2,7392,9942,188,6,7102,42,66,126,978,12,2,80,584,4,6,60,3700,18,18,2,14,2,8824,14922,1578,9244,30,200,40,14,0,744,0,8,74,166,0,0,408,3522,0,0,0,5200,6,110,130,1248,0,11982,720,134,3450,4,18468,0,86,26806,434,110,0,6,16,0,2,3228,2,22,36,6,0,4,960,0,2648,276,3200,1982,1234,64,272,3120,15500,12,174,6506,138,258,42,14,2,4,2820,50,14,126,0,32,0,36,88,0,540,424,230,318,20,112,78,2,1378,0,84,18,52,12,28,42,14,0,0,10,34,322,58,4,8,164,8,13962,3094,72,1394,68,834,96,184,146,0,10,5524,14,2734,10,8,208,2000,6446,30,968,64,36,988,0,14,0,0,4,1098,0,0,4,926,996,7668,2,6,70,4,14,760,14,0,0,14,114,2142,0,1438,138,100,1576,106,41702,72,14,0,98,0,418,2,0,4,24,1878,26,26
