,AGO,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIS,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
BOL,0,0,0,0,4,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,8,4,4,0,0,0,4,0,0,0,2,0,0,0,2,0,0,6,0,0,0,0,2,0,0,0,10,0,0,0,0,24,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
BRA,0,0,0,0,100,4,44,64,0,0,138,4,0,0,14,0,0,2,0,0,6,0,0,0,0,0,0,198,110,48,32,0,0,2,0,0,0,46,0,0,2,14,0,74,288,0,0,68,0,4,2,0,0,150,0,0,66,0,398,0,0,362,8,2,0,2,2,0,66,0,0,0,0,4,2,4,0,16,8,62,2,0,0,0,40,300,2,0,124,0,2,0,0,34,4,0,0,0,0,0,0,2,0,4,0,2,4,0,0,0,78,0,0,2,0,0,0,2,0,0,0,2,0,0,0,6,0,124,70,0,10,0,4,2,18,8,0,2,92,0,86,4,0,16,132,0,0,0,2,6,0,0,0,0,0,44,58,92,0,0,0,0,0,10,0,0,0,0,0,2,10,2,2,12,18,1268,4,0,0,34,0,0,0,0,4,22,2,4
BRB,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0
CAF,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
CAN,0,0,0,6,42,4,450,92,0,0,214,2,4,4,8,0,0,6,0,0,8,198,12,0,0,0,0,0,384,48,240,0,0,2,6,0,0,4,0,0,12,14,4,84,972,0,0,170,2,2,0,14,0,236,16,2,172,2,1246,0,0,1520,0,2,0,2,2,0,70,0,0,2,4,84,0,18,0,86,8,144,48,6,0,18,290,618,18,2,832,2,56,2,0,88,6,0,2,0,0,0,0,0,0,2,0,8,20,0,0,0,76,0,0,2,0,0,0,0,0,0,4,14,0,0,0,10,0,480,102,8,104,2,6,2,2,10,0,2,162,0,42,2,0,18,246,2,28,0,2,26,0,0,0,0,0,36,14,382,4,0,2,0,0,24,0,0,0,12,12,38,84,8,4,26,4,7868,4,0,2,12,4,2,0,0,14,70,2,4
CHE,0,0,2,2,24,6,152,338,0,0,380,2,10,6,50,0,2,12,0,0,4,110,0,0,0,0,2,384,0,18,116,0,2,6,10,4,0,8,0,0,0,12,30,136,2150,0,0,274,0,4,2,16,0,396,2,2,210,0,1510,0,4,1362,4,4,2,20,0,0,182,0,0,0,0,12,0,34,0,152,10,64,62,4,0,6,194,1210,4,0,414,2,22,2,0,78,0,0,0,0,0,0,8,2,0,2,8,0,12,0,0,0,34,0,0,0,2,0,4,0,0,4,2,4,0,0,4,12,2,550,182,4,24,2,6,4,8,12,0,8,278,0,80,0,0,36,402,12,2,2,6,16,0,2,0,0,0,84,86,348,0,2,0,0,0,26,0,0,0,0,8,34,24,18,8,22,4,2758,2,0,0,8,0,0,0,0,16,38,6,6
CHL,0,0,0,0,50,2,24,4,0,0,22,2,0,0,0,0,0,0,0,0,4,48,0,0,0,0,0,48,18,0,8,0,0,0,2,0,0,20,0,0,0,6,0,0,102,0,0,6,0,2,0,0,0,92,0,0,8,0,82,0,0,94,0,0,0,0,2,0,4,0,2,0,0,4,0,0,0,14,8,2,2,0,0,0,12,54,4,0,12,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,30,6,0,4,0,0,2,8,4,0,0,12,0,4,2,0,0,12,2,0,0,0,2,0,0,0,0,0,0,6,22,0,0,0,0,0,10,0,0,0,0,0,0,0,2,4,0,12,360,2,0,0,6,0,0,0,0,4,16,4,4
