,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,6,8,0,0,26,10,4,2,22,8,0,18,8,8,0,0,0,6,0,0,10,2,0,0,4,0,30,12,6,14,8,4,16,0,0,8,0,0,0,0,0,0,8,2,14,0,0,10,0,0,0,12,0,10,8,10,8,8,0,18,0,0,0,64,8,6,0,0,6,0,0,8,0,0,0,0,0,0,0,4,0,16,28,2,16,8,8,12,18,0,8,20,0,8,0,4,0,0,16,0,0,8,0,6,2,0,10,0,0,2,0,10,0,0,0,0,8,0,0,2,0,6,0,4,0,0,0,0,0,14,0,6,4,8,0,14,8,8,0,14,8,28,2,4,14,0,10,0,0,8,0,2,10,6,8,10,8,4,0,12,0,0,0,0,0,8,0,0,0,10,0,8,0,0,8,0,0,0,16,0,0,0,0,0,10,10,0,12,10,8,8,8,76,0,0,0,0,14,0,0,0,2,10,6,0
AGO,0,0,0,0,0,0,2,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,4,8,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,6,0,0,0,0,0,26,0,0,16,0,0,14,0,0,0,16,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,0,0,2,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,6,0,0,42,0,0,0,0,0,0,0,0,0,16,4,0
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,2,2,8,0,8,26,4,0,26,0,2,2,36,2,0,16,12,0,0,0,18,0,2,0,0,0,36,24,2,4,0,2,0,0,0,18,0,0,0,0,0,0,8,22,52,0,0,30,0,4,0,12,0,68,14,0,14,0,0,60,0,0,0,60,10,0,0,0,0,0,0,36,0,0,0,0,0,0,40,0,30,2,20,8,6,2,10,14,120,4,2,66,4,2,4,0,0,0,6,0,0,0,0,0,0,0,0,0,10,8,12,2,0,12,0,0,2,0,30,0,16,0,22,2,0,0,0,0,0,2,2,0,0,6,0,38,26,2,0,6,0,4,0,0,0,0,2,20,0,18,0,0,2,38,20,0,4,0,0,4,0,0,0,0,0,42,0,0,0,14,30,20,0,0,2,0,0,0,4,0,0,0,0,0,2,46,0,2,0,2,22,0,66,2,0,0,0,0,0,0,28,0,2,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
ARE,6,2,0,2,0,0,0,30,4,0,318,66,4,0,58,6,4,28,22,48,0,4,6,4,0,0,118,2,4,0,6,0,650,106,30,306,10,4,4,0,0,32,0,0,2,4,0,0,40,46,286,0,0,108,0,86,6,346,2,170,20,18,68,8,0,362,0,4,0,792,28,4,0,2,4,0,0,184,2,6,2,0,0,0,14,0,44,22,330,30,92,36,18,74,336,6,164,142,10,16,2,0,0,0,156,80,0,90,0,16,2,0,14,0,18,4,16,52,0,2,0,0,82,0,4,4,2,2,0,0,4,0,0,0,2,206,2,4,4,20,0,184,56,2,0,44,146,180,0,6,14,0,6,48,0,76,8,6,166,36,46,6,318,18,2,116,0,0,0,0,0,46,0,2,0,18,24,138,0,0,16,2,0,0,38,0,0,0,0,0,108,126,0,58,8,6,20,8,1404,0,2,0,8,12,0,0,2,24,72,6,8
ARG,8,0,0,2,0,0,30,0,228,0,860,482,230,0,478,8,2,32,64,10,0,2,234,6,0,110,2076,4,2,4,6,0,1070,664,1184,622,14,16,16,0,0,724,0,18,94,118,0,2,18,432,1606,0,2,512,22,8,140,72,0,2326,26,22,146,14,0,1562,0,0,2,1764,252,12,0,0,8,0,0,370,2,2,78,6,0,40,58,16,342,46,436,108,92,14,22,424,1318,6,10,538,4,74,4,4,0,0,156,16,4,24,0,6,2,0,20,0,12,18,26,260,4,2,6,0,802,0,4,4,8,0,0,12,4,0,0,2,6,276,2,8,2,32,10,686,384,10,0,146,12,78,56,212,38,0,8,468,0,548,84,6,24,316,448,8,96,6,4,68,0,0,32,0,0,258,0,0,0,282,300,580,0,2,8,0,0,0,84,0,0,0,0,8,24,380,0,314,8,16,48,454,3836,4,0,2,134,24,0,0,0,2,448,32,12
ARM,0,0,0,8,0,0,4,228,0,0,264,426,242,0,194,0,0,2,192,0,0,6,402,0,0,0,456,0,4,0,0,0,264,502,250,470,0,0,0,0,0,382,0,0,4,50,0,0,162,472,576,0,0,306,0,2,0,170,0,466,180,0,220,2,0,562,0,0,0,808,418,0,0,0,0,0,0,454,0,0,0,0,0,0,224,0,442,4,310,188,196,0,10,260,570,0,0,300,26,6,8,0,0,0,248,4,0,4,0,0,0,0,158,0,168,2,10,222,0,12,0,0,228,0,4,0,4,2,14,14,0,0,0,0,0,380,20,0,0,0,0,314,284,0,0,166,38,220,0,50,0,0,0,492,0,392,0,0,156,298,646,0,102,2,0,14,0,0,0,0,0,436,0,0,0,292,248,308,4,0,2,0,0,0,214,4,2,0,0,0,0,438,0,400,2,0,238,2,638,12,0,0,0,2,0,0,2,0,296,0,0
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
