,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BGR,0,1,1,5,19,1,0,18,115,225,0,197,405,98,1,384,8,0,3,9,0,10,0,25,238,0,0,5,366,1,4,4,1,0,190,445,125,368,3,17,4,1,0,239,0,0,8,2,0,1,142,419,735,0,0,216,4,18,121,159,0,544,217,9,280,1,0,559,1,5,0,863,232,11,0,0,1,0,0,426,0,1,4,1,1,0,210,0,392,16,268,256,143,11,15,157,616,7,18,270,26,8,7,0,0,1,218,1,0,20,0,1,0,1,121,0,228,13,210,0,104,1,7,0,0,179,0,46,0,12,4,12,7,6,0,0,2,0,231,5,3,0,32,0,0,334,172,8,142,11,134,12,23,12,0,2,537,0,380,7,88,126,334,515,4,45,6,1,27,0,0,1,2,1,0,1,333,0,1,2,236,220,262,0,0,1,1,0,0,0,151,1,0,0,1,4,13,334,0,241,7,9,201,6,628,6,0,0,0,6,0,17,0,0,6,3,144,7,0
BHR,0,1,0,7,0,0,0,36,3,0,0,19,8,0,4,12,8,0,0,10,10,0,0,0,0,0,0,1,14,0,0,7,1,0,20,12,9,28,0,12,6,0,0,11,0,0,6,0,0,0,0,2,19,0,0,18,3,21,6,39,0,15,9,14,11,0,0,19,0,8,0,88,2,11,0,0,2,0,0,8,0,0,0,0,0,0,7,0,2,10,37,14,13,12,8,12,17,1,19,17,9,9,7,2,0,0,11,14,0,17,0,2,0,0,7,0,1,9,1,0,7,0,0,0,0,12,0,0,0,0,5,0,1,7,0,0,0,1,31,1,6,0,13,0,0,20,14,9,14,23,21,7,9,8,0,2,12,0,10,0,7,63,9,14,7,53,0,0,11,0,0,0,0,0,0,0,10,0,0,0,9,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,16,22,0,16,6,6,10,1,87,0,0,0,0,0,0,9,0,0,0,14,54,7,0
BHS,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,4,3,0,0,0,0,22,5,2,1,0,0,0,0,0,1,0,0,2,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,48,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BIH,0,0,2,0,14,1,0,6,9,3,0,10,41,2,0,30,3,0,1,2,25,0,0,0,7,0,0,1,13,2,3,0,1,0,13,36,6,13,3,4,0,0,0,4,0,0,2,4,0,0,9,46,71,0,0,20,1,2,3,8,0,37,17,1,17,1,0,34,1,0,0,77,6,4,0,0,0,0,0,20,0,1,0,0,0,0,179,0,19,4,9,20,7,1,8,17,56,4,5,9,4,5,2,0,0,0,15,5,0,6,1,0,0,0,0,0,28,5,16,0,6,0,5,0,0,9,0,19,0,5,2,31,2,2,0,0,2,0,4,0,0,0,6,0,0,45,25,3,4,1,4,3,5,3,0,0,42,0,23,2,2,4,35,29,0,11,2,1,6,0,0,1,2,1,1,0,222,0,0,1,14,66,28,0,0,2,1,0,0,0,4,0,0,0,1,2,7,38,0,4,3,5,19,3,50,0,0,0,0,4,0,4,0,0,9,1,4,1,0
BLR,0,0,0,0,10,1,0,9,99,225,0,122,240,107,0,157,2,0,1,1,238,0,0,7,0,0,0,2,229,0,3,0,1,0,129,258,100,277,1,6,0,0,0,218,0,0,0,0,0,1,125,253,374,0,0,123,1,3,113,128,0,309,142,0,165,0,0,297,1,0,0,410,234,2,0,0,0,0,0,237,0,0,0,0,0,0,136,0,225,3,153,131,130,1,8,120,275,5,10,127,32,0,1,0,0,0,155,1,0,4,0,0,0,0,115,0,171,2,133,0,97,0,11,0,0,128,0,10,1,6,0,5,4,0,0,0,1,0,215,3,0,0,8,0,0,134,122,2,120,2,119,3,5,4,0,1,348,0,251,6,82,113,135,724,0,17,3,1,19,0,0,0,2,1,1,1,227,0,0,0,108,109,149,2,0,0,0,0,0,0,124,1,0,0,0,3,5,238,0,224,1,5,235,0,327,7,0,0,0,2,0,16,0,0,2,0,112,2,0
BLZ,0,0,0,0,0,0,0,1,1,0,0,6,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,5,1,1,1,0,0,0,0,0,2,0,0,2,1,0,0,0,1,3,0,0,3,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,1,4,0,1,0,0,2,4,1,0,4,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,3,1,1,1,1,0,2,0,2,0,0,0,0,3,0,0,1,0,1,0,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,1,0,0,0,0,3,0,0
BMU,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,3,0,0,0,0,9,4,1,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0,10,0,1,3,0,0,0,1,0,6,0,0,0,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,36,0,0,0,0,1,0,0,0,0,0,0,1,0,0
BOL,0,0,0,1,2,0,0,3,47,0,0,19,9,0,0,14,3,0,1,3,5,1,1,1,2,0,0,0,58,0,2,1,0,0,22,19,33,11,1,5,1,0,0,41,0,0,9,11,0,0,1,5,38,0,0,18,4,1,30,5,0,42,5,2,7,0,0,48,0,1,1,53,6,5,0,1,1,0,0,6,0,0,6,5,2,1,2,0,5,6,10,4,3,1,1,5,22,2,4,14,1,3,1,0,0,0,5,0,1,3,1,0,0,0,2,0,0,2,2,0,3,0,0,0,0,42,0,0,1,0,1,0,2,1,0,0,2,0,5,3,0,0,4,5,0,26,10,3,8,2,1,12,41,3,0,2,6,0,10,15,1,1,4,7,2,5,3,2,4,0,0,0,1,5,0,0,5,0,1,2,2,2,26,0,0,0,0,0,0,0,3,0,0,0,0,2,3,6,0,4,2,6,4,21,101,0,0,0,0,20,0,4,0,0,0,1,12,2,0
BRA,1,1,15,8,12,0,0,89,1230,250,0,1652,761,109,4,1007,28,1,12,69,366,14,4,13,229,2,4,58,0,6,10,7,10,0,2242,1366,954,1454,7,49,11,4,1,1003,2,6,128,201,0,3,139,651,3070,0,1,805,18,43,312,244,1,3133,239,37,569,8,1,3007,0,9,6,4570,229,37,0,3,9,0,0,580,5,2,34,16,4,25,227,9,561,89,1004,537,336,32,31,375,2486,19,35,982,22,86,14,7,0,2,649,28,1,68,0,4,0,4,159,0,270,44,255,0,137,28,7,9,0,920,0,15,6,14,10,6,14,61,1,0,9,22,338,13,8,5,120,16,0,1483,464,42,348,32,319,78,383,148,1,11,886,0,2052,71,97,216,465,955,14,189,14,13,180,0,0,1,3,16,0,1,311,0,3,10,294,297,951,1,0,4,2,1,0,3,343,0,0,0,1,12,64,478,1,423,42,49,368,288,9097,12,0,8,0,157,0,143,0,0,2,8,539,14,17
BRB,0,0,0,0,1,0,0,3,4,0,0,9,7,0,0,4,2,0,0,2,1,0,3,2,0,1,3,0,6,0,1,0,1,0,17,10,6,4,2,2,0,0,0,8,1,0,5,4,0,2,3,2,9,0,1,4,1,2,5,3,0,5,2,3,3,1,0,4,0,0,0,28,0,2,0,0,1,0,0,3,1,1,1,0,2,1,2,0,3,3,4,2,4,0,3,3,4,19,2,5,1,4,1,0,0,1,3,2,0,2,0,0,1,0,0,0,2,2,2,0,3,0,1,0,0,5,0,1,0,1,2,1,1,2,0,0,2,2,4,0,0,0,6,0,0,6,4,2,3,0,3,5,3,3,0,0,3,0,3,2,2,1,2,3,0,3,0,1,2,0,0,2,0,2,0,0,2,0,0,3,2,2,5,0,0,3,0,0,0,0,3,0,0,0,1,13,2,3,0,7,2,4,0,4,44,0,0,0,3,5,0,2,0,0,0,1,7,0,0
BRN,0,0,0,0,3,0,0,3,3,0,0,31,13,0,0,6,2,0,1,18,4,0,0,3,3,0,0,2,10,1,0,0,1,0,19,14,4,32,2,4,1,0,0,5,0,0,1,1,0,1,4,10,22,0,0,3,1,1,3,11,0,7,3,1,5,1,0,11,0,0,1,62,3,4,0,1,0,0,0,4,0,0,0,1,0,0,4,0,5,19,19,6,6,0,1,4,13,3,3,20,1,1,1,1,0,0,15,1,0,3,0,0,0,0,7,0,1,1,3,0,3,0,1,0,0,3,0,1,0,1,1,1,2,1,0,0,2,0,52,0,0,0,5,0,0,9,6,2,2,2,10,4,4,3,0,0,5,0,4,3,1,4,3,4,0,9,2,1,18,0,0,1,2,1,0,0,3,0,0,1,1,4,5,0,0,1,0,0,0,0,6,0,0,0,1,2,3,3,0,14,2,4,4,1,30,0,0,0,0,4,0,20,0,0,0,1,6,1,0
BTN,0,1,0,6,0,0,0,7,2,0,0,33,11,0,4,9,7,0,0,12,4,7,0,0,0,0,0,1,7,0,0,0,1,0,13,11,7,13,0,7,6,0,0,7,0,0,6,0,0,0,1,1,14,0,0,9,1,7,5,7,0,8,7,9,8,0,0,11,0,7,0,28,2,7,0,0,2,0,0,5,0,0,0,0,0,0,2,0,0,11,20,7,9,7,6,7,10,1,8,12,6,8,7,2,0,0,11,2,1,7,0,1,0,0,8,0,0,8,1,0,2,0,1,0,1,9,0,0,0,0,9,0,2,7,0,0,1,0,10,1,6,0,8,0,0,14,8,16,10,5,10,6,7,9,0,3,8,0,8,0,6,5,8,8,7,8,0,0,7,0,0,1,0,0,0,0,7,0,0,0,7,0,10,0,0,0,0,0,0,0,8,0,0,1,0,0,3,7,0,8,7,6,7,1,26,0,0,0,0,0,0,7,1,0,0,4,9,8,0
BWA,0,0,1,0,1,0,0,3,4,0,0,38,8,1,0,10,4,0,1,1,1,1,0,1,1,0,0,0,10,1,1,1,0,0,26,16,16,7,2,15,1,1,0,3,1,0,3,1,0,1,1,5,34,0,0,6,2,1,2,4,0,7,1,34,4,0,0,18,0,0,0,75,3,7,0,0,1,0,0,2,1,0,1,0,0,0,1,2,7,1,26,1,3,0,1,2,15,2,2,6,1,25,0,0,0,0,6,1,0,1,1,2,0,0,1,4,0,0,2,0,5,0,1,0,0,12,0,0,1,0,0,0,3,5,0,0,2,12,5,19,0,1,17,0,0,13,8,0,8,2,2,0,3,2,0,0,6,0,6,3,1,2,6,4,3,6,3,1,1,0,0,0,2,0,0,0,1,0,0,1,1,1,19,5,0,2,0,0,0,0,10,0,0,0,0,2,2,4,0,4,14,13,0,1,176,0,0,0,0,2,0,2,0,0,0,0,115,13,24
CAF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,6,1,2,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAN,0,3,2,8,8,2,0,377,615,111,2,4965,1133,97,5,1780,28,1,43,172,190,20,22,13,129,5,9,22,2242,17,19,13,26,1,0,2864,693,8316,28,74,38,6,0,435,1,1,75,60,0,6,74,728,6127,2,1,1587,6,182,78,595,0,2822,123,119,834,15,2,5836,0,10,13,9807,125,106,2,12,23,2,0,582,8,28,20,5,7,8,158,10,505,99,1353,796,1223,49,117,1091,3519,39,109,2379,41,186,19,26,0,14,1257,124,7,174,8,20,2,10,66,1,61,112,36,0,222,20,13,13,1,781,0,32,20,23,9,7,34,28,4,0,9,45,398,18,9,5,152,15,0,3230,1169,74,891,54,361,63,145,95,0,9,1056,0,667,23,121,226,344,962,32,925,20,42,703,1,1,3,14,8,1,1,252,1,1,6,198,234,2007,2,2,5,13,1,3,1,305,0,0,2,1,22,195,715,0,797,82,149,128,82,25003,7,0,3,2,46,0,121,8,2,2,9,1011,30,28
CHE,0,6,7,6,23,1,0,91,427,276,0,2481,2495,118,5,2495,29,0,52,77,445,12,5,36,258,1,4,19,1366,10,14,11,16,2,2864,0,454,2279,60,63,46,25,1,461,1,2,44,84,0,1,197,1214,10243,1,2,1702,10,59,150,267,6,3669,343,101,1092,10,0,6449,1,8,18,9122,272,130,2,25,30,2,3,1217,2,3,19,6,2,3,404,6,877,128,1133,900,364,23,105,852,5761,16,41,1738,28,165,31,36,2,7,865,33,23,105,14,2,0,30,145,4,386,129,289,0,158,20,20,23,0,500,0,34,35,47,20,10,21,73,4,1,5,50,333,9,8,16,114,4,0,3745,1046,55,504,28,264,38,150,148,1,29,1612,0,1156,12,96,215,657,1296,31,251,26,62,456,0,0,5,17,3,2,1,415,9,1,4,430,486,2253,11,0,13,3,0,18,12,347,8,0,1,1,6,81,699,0,560,149,121,428,44,11891,16,0,8,0,30,0,155,2,1,8,7,791,40,42
CHL,0,1,0,7,4,4,0,45,644,112,0,783,252,95,4,264,15,0,5,27,125,9,2,6,100,1,1,33,954,6,4,7,16,0,693,454,0,500,4,21,8,1,0,539,1,0,97,65,0,1,18,222,1225,0,0,305,11,23,171,41,0,1733,34,17,137,2,2,1120,0,7,0,1718,106,15,0,0,4,0,0,195,1,1,36,1,2,18,40,1,160,22,209,75,101,8,30,221,827,13,23,382,12,27,12,3,0,1,186,7,2,30,0,0,1,0,15,0,22,17,14,0,113,4,5,1,0,495,0,12,1,5,7,1,6,20,1,0,4,3,137,8,9,13,33,8,0,504,218,19,119,11,40,41,176,38,0,4,294,0,296,56,91,21,145,298,7,82,7,4,57,0,0,1,2,10,0,0,133,0,1,3,138,127,345,0,0,3,3,0,0,1,59,0,0,0,1,6,23,191,0,203,15,20,53,132,2781,2,0,32,0,93,0,35,0,0,0,5,342,12,6
CHN,0,4,1,8,11,0,0,239,391,260,0,11235,1263,117,7,1642,24,0,11,218,368,28,1,13,277,1,2,11,1454,4,32,13,7,3,8316,2279,500,0,13,64,25,4,0,475,1,1,36,72,0,2,162,923,7817,0,0,1851,7,132,166,726,7,2624,301,103,1315,7,0,5176,0,9,9,14250,245,125,0,11,8,1,0,785,5,10,8,1,1,1,305,3,723,245,2264,965,755,107,106,792,3222,9,71,7587,110,170,38,33,0,11,4176,35,17,84,2,5,0,1,221,1,301,104,256,0,150,13,8,12,0,654,0,33,7,7,99,4,72,19,0,0,29,27,1019,16,9,6,221,2,0,2945,1025,128,1151,78,2202,34,132,311,1,12,1306,54,946,15,107,461,631,2093,37,1833,119,21,5064,0,0,2,27,3,0,0,393,3,1,4,355,367,2775,1,0,3,15,0,0,3,914,8,2,0,1,10,81,847,0,3818,61,52,479,47,52318,45,0,2,0,37,0,461,3,1,1,16,860,23,22
CIV,0,0,0,0,3,0,0,5,4,0,0,12,4,0,2,32,32,0,50,3,3,0,0,3,1,0,0,1,7,2,2,0,2,1,28,60,4,13,0,38,16,7,0,6,1,0,5,2,0,0,2,4,40,1,0,4,0,7,7,7,0,6,4,11,4,1,0,159,0,0,6,73,1,29,0,19,4,1,0,4,0,1,0,1,1,0,3,0,5,6,12,4,2,0,2,4,20,4,4,8,1,15,1,3,0,0,5,2,0,4,2,0,0,0,2,1,2,9,3,0,14,0,1,7,0,5,0,1,17,1,2,1,1,9,8,0,4,7,4,3,0,12,20,0,0,14,4,3,3,0,3,3,6,6,0,3,4,0,6,1,2,3,6,7,7,3,4,42,4,0,0,1,5,0,0,0,4,0,1,2,2,3,11,1,0,3,0,0,3,21,4,0,0,0,1,1,8,4,0,6,20,24,0,3,69,0,0,0,0,4,0,9,0,0,0,1,21,5,2
CMR,0,1,3,7,5,0,0,23,10,1,0,57,24,0,7,96,39,0,32,11,17,12,0,4,6,0,0,5,49,2,4,7,15,6,74,63,21,64,38,0,36,20,0,29,0,0,13,2,0,0,3,19,139,1,0,19,5,14,12,31,0,49,15,29,24,1,0,278,0,7,22,191,9,59,0,16,8,1,1,18,0,1,0,6,1,0,12,0,10,27,62,13,24,8,9,21,76,9,23,51,11,59,10,4,0,0,24,3,0,18,2,0,0,0,12,0,3,12,9,0,17,0,1,8,0,22,0,1,16,1,7,1,4,25,3,0,6,14,27,8,6,7,72,1,0,56,27,17,19,12,26,15,18,14,0,8,23,0,24,5,7,13,26,31,15,25,10,45,20,0,0,1,7,1,0,1,18,0,1,2,10,5,26,1,0,3,1,0,11,6,13,0,0,0,1,3,18,26,0,23,39,54,10,4,237,0,0,0,0,6,0,28,0,0,0,5,152,22,6
COD,0,4,1,5,1,0,0,7,7,0,0,22,11,0,8,153,21,0,15,10,4,6,0,0,0,0,0,1,11,0,1,6,1,1,38,46,8,25,16,36,0,13,0,11,0,0,5,0,0,0,1,4,47,0,0,14,0,7,6,13,0,14,7,16,8,0,0,67,0,6,8,85,3,16,0,18,5,0,0,7,0,0,8,1,0,0,4,1,3,12,21,8,7,6,5,9,17,2,6,21,5,50,7,1,0,0,12,1,1,7,3,0,0,0,5,0,2,11,1,0,1,0,0,5,0,10,0,1,9,0,4,0,1,16,5,0,0,6,8,0,6,7,22,1,0,24,14,10,7,4,19,6,8,8,0,3,10,0,9,1,4,5,8,8,20,6,3,15,8,0,0,0,5,0,0,0,8,0,0,0,7,1,19,0,0,0,1,0,3,9,7,0,0,0,0,0,4,7,0,7,26,38,7,2,181,0,0,0,0,2,1,13,0,0,0,3,36,22,1
COG,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,7,8,0,10,0,1,0,0,0,0,0,0,0,4,0,0,0,1,2,6,25,1,4,7,20,13,0,0,1,0,0,0,0,0,0,0,1,22,0,0,6,0,0,0,5,0,6,0,3,0,0,0,41,0,0,15,32,0,10,0,6,4,0,0,0,0,0,0,0,0,0,1,1,0,2,8,0,1,0,0,0,5,0,0,1,0,10,1,1,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,5,0,0,2,2,1,0,5,6,0,0,0,2,2,1,3,1,0,0,4,0,1,0,0,0,0,0,0,0,0,2,2,1,11,2,0,0,0,5,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,1,4,7,0,0,54,0,0,0,0,0,1,7,0,0,0,0,8,9,10
COK,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
COL,0,1,0,8,9,2,0,37,504,211,0,386,274,92,4,284,15,1,7,27,239,11,1,4,218,2,0,41,1003,8,5,7,3,0,435,461,539,475,6,29,11,1,0,0,1,0,100,73,0,2,130,273,659,0,0,207,18,23,302,167,0,1229,144,24,205,3,0,702,0,8,1,1017,223,26,0,1,3,0,0,256,7,1,36,4,3,13,137,0,234,39,240,224,183,25,19,151,587,16,24,241,12,49,12,2,0,0,198,7,1,44,0,1,0,0,133,0,128,18,123,0,117,3,1,1,0,724,0,4,3,1,7,1,7,14,0,0,4,5,262,4,6,0,57,14,0,431,184,19,199,10,160,71,190,106,0,7,381,0,356,32,94,127,221,380,11,69,6,4,53,0,0,3,2,10,0,0,244,0,2,4,110,114,213,0,0,3,2,0,0,0,161,0,0,0,1,7,16,285,0,257,18,26,218,94,1840,5,0,0,0,174,1,107,0,1,0,6,207,12,7
COM,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,2,0,1,1,0,0,7,0,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CPV,0,0,2,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,9,0,0,0,0,0,4,0,0,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,2,0,0
CRI,0,1,0,5,2,0,0,9,83,0,0,62,26,0,3,35,10,0,0,10,8,6,2,2,0,2,1,9,128,5,1,6,3,0,75,44,97,36,5,13,5,0,0,100,1,0,0,14,0,2,5,14,112,0,0,31,8,11,48,13,0,135,9,12,18,3,0,106,0,5,1,131,3,9,0,0,3,0,0,11,1,1,23,1,2,12,3,0,8,17,29,11,14,7,8,15,62,7,12,34,7,20,7,1,0,0,16,5,1,12,0,1,0,0,7,0,3,10,3,0,5,0,2,1,1,112,0,1,0,1,6,1,2,11,0,0,3,1,19,2,5,13,15,26,0,53,26,10,22,4,14,38,52,19,0,6,22,0,26,9,7,4,13,27,5,20,0,0,13,0,0,1,0,12,0,0,13,0,1,4,10,2,34,1,0,3,0,0,0,0,9,0,0,0,1,4,4,12,0,19,14,11,8,33,367,1,0,0,0,39,0,20,0,0,0,4,37,6,0
CUB,0,0,3,0,1,0,0,2,47,29,0,24,42,15,1,93,2,0,1,4,2,0,1,4,0,1,0,11,201,4,1,0,1,0,60,84,65,72,2,2,0,0,0,73,1,0,14,0,0,1,2,36,99,0,0,44,9,2,77,12,0,209,4,3,37,1,0,92,0,0,0,104,0,5,0,1,1,0,0,59,1,1,14,0,1,15,33,0,37,33,49,5,9,0,3,10,120,4,3,44,1,9,1,1,0,0,40,6,0,3,0,0,0,0,3,0,2,3,2,0,4,1,1,0,0,228,0,1,0,1,2,1,1,3,0,0,4,1,27,0,0,0,8,3,0,53,43,2,8,2,35,8,65,5,0,0,61,0,43,21,2,2,32,45,0,10,1,0,6,0,0,1,0,7,0,0,6,0,1,2,32,3,53,0,0,3,1,0,0,0,39,0,0,0,1,2,3,40,0,5,2,3,31,25,179,0,0,0,0,30,0,15,0,0,0,1,48,0,1
CUW,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
