,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,1,7,7,8,8,2,0,231,516,112,0,2,1047,96,5,1683,23,1,24,418,197,19,11,10,122,6,6,19,1652,9,31,33,38,1,4965,2481,783,11235,12,57,22,9,4,386,1,3,62,24,1,5,69,624,5750,1,0,1626,2,46,78,258,1,2781,149,133,816,96,4,3987,0,13,11,12374,125,147,1,7,30,5,1,588,4,5,18,6,7,5,139,2,454,502,1748,794,900,168,109,713,3265,16,95,2583,51,170,19,87,4,3,1236,88,49,98,6,14,4,7,226,1,84,91,39,0,160,25,7,19,5,494,2,16,17,21,42,2,32,51,1,1,12,41,1165,30,36,4,172,9,1,3390,1100,108,2516,52,443,53,114,232,3,121,920,1,734,18,111,243,341,916,21,844,20,23,1525,0,0,30,11,4,1,2,242,4,2,4,184,236,2204,8,2,14,9,1,0,2,644,0,0,17,9,20,57,511,0,812,86,101,116,74,15541,14,0,9,1,38,1,537,11,20,5,11,1359,40,31
AUT,0,1,1,7,20,2,0,51,226,255,0,1047,0,111,3,1343,16,0,15,23,405,8,0,41,240,1,1,9,761,7,13,11,8,0,1133,2495,252,1263,4,24,11,1,0,274,1,2,26,42,1,1,168,1178,6684,0,6,1023,2,30,145,230,0,1970,297,41,805,3,0,2450,1,6,17,3953,249,23,1,3,4,0,0,849,1,2,10,2,1,2,439,2,951,78,693,529,282,30,89,426,2918,10,30,960,20,40,15,4,0,3,527,39,0,36,0,2,0,113,138,0,342,73,285,0,113,4,16,5,0,286,0,45,1,28,12,16,24,13,0,0,5,3,290,19,5,3,48,2,0,1833,701,22,274,15,269,17,64,30,0,5,1071,0,774,7,94,155,570,927,7,185,14,7,195,0,1,1,3,2,1,0,427,0,1,3,503,544,1425,0,0,4,6,0,1,0,265,0,0,0,1,4,89,512,0,348,19,29,336,23,4579,8,0,1,0,17,0,55,0,0,14,6,362,10,1
AZE,0,0,0,0,0,0,0,2,93,117,0,96,111,0,0,4,0,0,1,0,98,0,0,2,107,0,0,0,109,0,0,0,1,0,97,118,95,117,0,0,0,0,0,92,0,0,0,15,0,0,4,113,143,0,0,108,0,1,0,5,0,119,3,0,22,0,0,120,0,0,0,205,102,0,0,0,0,0,0,110,0,0,0,0,0,0,24,0,114,15,22,2,24,0,2,106,122,0,0,119,16,1,2,0,0,0,18,0,0,0,0,0,0,0,0,0,3,1,2,0,93,0,1,0,0,17,0,2,0,1,0,1,1,0,0,0,0,0,92,0,0,0,0,0,0,112,112,0,1,0,17,0,15,0,0,0,124,0,109,0,82,0,111,217,0,11,0,0,0,0,0,0,0,0,1,0,96,0,0,0,112,96,110,0,0,0,0,0,0,0,15,1,0,0,0,0,2,262,0,95,0,0,33,0,143,2,0,0,0,0,0,3,0,0,2,0,109,0,0
BDI,0,0,0,3,0,0,0,4,0,0,0,5,3,0,0,22,4,0,0,5,1,4,0,0,0,0,0,0,4,0,0,4,0,0,5,5,4,7,2,7,8,0,0,4,0,0,3,1,0,0,0,1,12,0,0,7,0,4,3,4,0,4,4,8,4,0,0,12,0,4,1,18,1,6,0,0,1,0,0,4,0,0,0,0,0,0,2,0,3,4,8,4,4,4,4,3,8,0,4,7,3,8,4,0,0,0,4,1,0,4,0,1,0,0,3,0,0,7,0,0,2,0,0,1,0,4,0,1,0,0,3,0,0,4,0,0,0,1,5,0,4,0,5,0,0,10,5,4,4,3,4,3,4,6,0,1,4,0,4,0,2,3,6,4,10,4,0,1,4,0,0,0,0,0,0,0,4,0,0,0,4,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,4,9,12,4,0,18,0,0,0,0,0,0,5,0,0,0,3,4,5,0
BEL,2,5,3,7,19,3,0,59,274,136,0,1683,1343,4,22,0,50,0,64,38,384,12,0,30,157,3,0,14,1007,4,6,9,10,2,1780,2495,264,1642,32,96,153,7,0,284,3,2,35,93,0,1,218,915,4951,1,0,1289,6,110,205,317,0,3058,336,138,890,3,0,5333,1,7,15,6458,153,60,1,36,53,1,0,1016,2,4,12,8,2,2,332,3,778,78,726,745,365,28,85,482,3917,12,36,1129,21,146,15,34,0,6,676,39,3,86,3,7,0,3,138,0,365,242,286,0,99,24,20,15,0,399,0,42,21,48,18,9,17,29,1,0,7,22,252,13,10,6,66,0,0,4449,705,39,378,19,202,31,105,53,1,8,1237,0,1075,7,16,198,553,918,36,200,15,32,215,0,0,2,10,2,1,0,333,0,1,7,278,368,1594,6,0,6,2,0,3,6,237,2,0,0,1,7,114,546,0,352,61,104,308,36,6251,7,0,1,0,24,1,189,1,1,4,5,551,30,20
BEN,0,1,2,8,3,0,0,13,7,0,0,23,16,0,4,50,0,0,26,11,8,8,0,3,2,0,0,3,28,2,2,7,4,1,28,29,15,24,32,39,21,8,0,15,0,0,10,2,0,0,2,4,56,0,0,23,0,14,10,18,0,20,11,20,14,1,0,149,0,7,12,81,4,37,0,15,9,0,0,9,0,1,0,0,0,0,6,0,4,14,22,11,18,10,9,11,29,5,13,22,7,34,8,0,0,0,14,3,0,13,1,1,0,0,8,0,2,10,4,0,11,0,1,8,0,15,0,1,17,1,7,1,2,17,5,0,2,5,14,5,6,19,47,0,0,33,15,12,11,5,15,10,14,14,0,5,15,0,18,2,8,8,13,15,14,15,5,28,13,0,0,1,5,0,0,0,16,0,0,1,10,4,16,1,0,3,0,0,3,25,4,0,0,0,1,2,9,17,0,20,29,22,8,2,89,0,0,0,0,3,0,18,0,0,0,5,48,13,3
BES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,3,0,2,0,0,5,4,0,0,24,15,1,0,64,26,0,0,6,3,0,0,1,1,0,0,1,12,0,1,0,1,1,43,52,5,11,50,32,15,10,0,7,0,0,0,1,0,0,2,5,61,0,0,24,1,2,1,6,0,19,2,12,16,0,0,192,0,0,13,141,2,53,0,15,29,3,0,4,0,0,0,0,0,1,3,0,2,7,11,3,4,0,0,3,27,2,2,9,1,36,1,6,0,0,10,0,0,3,0,0,0,0,3,1,1,4,2,0,8,0,0,6,0,10,0,1,37,0,1,0,1,9,7,0,1,18,1,0,0,26,32,1,0,51,9,8,2,2,5,2,4,4,0,2,4,0,5,3,0,3,3,5,6,4,4,59,3,0,0,0,8,1,0,0,3,1,0,0,2,2,15,3,0,0,1,0,12,23,9,0,0,0,0,1,4,2,0,9,24,35,2,1,118,0,0,0,0,5,0,11,0,0,0,0,39,13,8
BGD,0,4,0,9,3,0,0,36,19,9,0,418,23,0,5,38,11,0,6,0,9,10,0,2,1,0,0,3,69,2,18,12,1,0,172,77,27,218,3,11,10,0,1,27,0,0,10,4,0,0,4,9,157,0,0,44,0,18,10,61,0,46,14,34,32,12,0,72,0,9,2,374,3,21,1,1,32,1,0,16,0,1,5,0,0,1,10,1,8,48,209,24,36,23,15,15,64,4,16,434,10,48,10,15,0,1,164,11,4,14,1,1,0,0,35,0,4,10,4,0,6,0,3,2,1,31,0,2,20,1,14,1,4,16,0,0,3,14,340,1,6,0,29,1,0,80,45,65,46,12,143,13,30,50,0,7,27,0,22,4,14,15,18,24,12,128,4,7,47,0,0,2,1,4,0,0,15,2,0,1,11,3,87,1,0,2,3,0,0,1,81,0,0,0,1,0,8,39,0,28,35,21,11,7,730,1,0,0,0,6,0,53,1,1,0,7,100,30,7
