,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,0,2,0,0,8,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,6,0,4,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,6,0,0
AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,2,0,2,8,0,0,8,0,0,0,12,0,0,12,2,0,0,0,0,0,0,0,0,0,2,12,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4,28,0,0,8,0,2,0,2,0,18,4,0,6,0,16,0,0,20,2,0,0,0,0,0,0,26,0,0,0,0,0,0,10,0,4,0,0,2,2,0,0,6,76,0,0,6,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,8,0,2,0,8,0,0,0,0,0,0,6,0,0,0,0,0,14,6,0,0,0,2,0,0,0,0,0,0,4,0,4,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,32,0,0,4,6,4,0,0,0,0,0,0,0,0,0,0,0,4,16,0,2,0,4,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,2,0,0,0,0,0,0,14,0,0,138,34,0,0,28,0,0,6,8,22,0,4,0,0,0,0,30,0,0,0,2,0,224,44,14,72,0,0,0,0,0,4,0,0,4,0,0,0,16,150,0,0,22,2,18,2,130,0,48,2,0,10,0,102,0,0,216,0,2,0,0,0,0,0,18,0,0,0,0,0,0,4,0,18,4,68,14,34,14,6,14,52,0,64,40,2,4,0,0,0,0,30,54,0,36,0,4,0,0,2,0,2,0,0,10,0,2,2,0,14,0,0,0,2,0,0,0,0,0,0,0,0,50,0,0,0,2,0,80,6,12,0,24,66,18,0,0,12,0,2,10,0,18,0,0,64,4,16,0,90,2,0,56,0,0,0,0,0,12,0,0,0,0,58,0,2,8,0,0,6,0,0,0,0,4,12,26,14,0,0,4,2,602,2,0,0,0,0,0,0,0,0,14,44,0,0
ARG,0,2,0,0,0,0,14,0,116,0,492,256,112,0,274,2,2,12,26,0,0,2,118,0,0,60,1490,0,0,0,0,0,834,468,700,386,0,0,4,0,0,464,0,0,60,66,0,2,310,1190,0,0,252,4,2,124,18,0,1900,14,4,98,2,1208,0,0,1114,120,2,0,0,2,4,0,170,0,2,8,2,2,14,34,2,192,8,238,140,32,0,4,226,906,8,8,282,0,24,0,0,0,0,160,2,0,16,0,0,2,0,4,0,14,0,8,126,0,0,6,0,558,0,0,0,2,0,0,0,4,0,0,0,2,26,4,0,0,10,4,472,188,0,0,110,8,30,40,128,26,0,0,262,0,272,38,0,2,146,354,0,30,2,6,30,0,0,14,0,0,130,0,0,152,174,388,0,0,2,2,0,44,0,0,0,0,2,16,176,168,4,8,30,310,3002,0,4,0,114,0,22,0,0,0,0,232,8,4
ARM,0,0,0,2,0,0,0,116,0,0,150,306,114,0,184,2,2,0,180,0,0,2,258,0,0,0,288,0,0,0,0,0,156,332,128,302,0,0,0,0,0,262,0,0,0,18,0,144,292,454,0,0,140,0,4,0,154,0,300,146,0,164,0,416,0,0,488,260,0,0,0,0,0,0,304,0,0,0,0,0,0,164,0,256,0,162,32,190,4,2,124,386,0,0,158,16,0,4,0,0,0,180,0,0,0,0,0,0,0,0,0,148,0,4,112,0,0,0,0,190,0,2,0,0,0,20,14,0,0,0,0,0,0,28,0,0,0,0,142,130,0,0,140,0,144,0,16,0,0,0,342,0,264,0,0,0,184,408,0,0,0,0,0,0,0,0,0,0,288,0,0,154,126,180,0,0,4,0,2,0,2,0,0,0,0,2,260,270,0,0,180,0,464,4,0,0,2,0,0,0,0,0,0,158,0,0
ATG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0
