,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
BRN,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,34,1,265,77,1,0,126,3,0,4,9,1,3,0,4,0,0,1,89,3,3,1,0,0,233,16,120,3,1,3,0,0,10,0,9,5,2,33,532,0,104,0,4,0,17,0,162,5,4,60,0,689,1,849,0,2,0,2,0,38,3,0,0,0,55,0,10,0,67,4,82,25,8,0,10,146,333,7,0,432,0,24,0,0,0,49,2,0,2,0,1,0,0,1,0,1,5,8,1,0,0,56,0,0,0,1,0,1,0,0,1,5,1,1,1,4,0,250,58,2,65,3,4,2,4,7,2,93,25,0,0,0,21,134,0,7,0,1,13,0,0,0,0,0,0,0,16,12,181,0,2,1,0,0,9,0,0,5,1,17,52,4,1,8,4,4198,1,0,0,11,4,0,0,10,44,0,2
CHE,1,0,2,16,3,98,198,0,2,182,0,0,1,26,0,0,1,4,0,0,3,56,0,0,2,1,233,0,16,81,2,1,0,1,0,8,0,3,1,17,80,1156,0,145,1,3,1,10,0,201,3,3,113,0,794,0,739,2,0,1,0,0,109,0,0,0,0,9,0,18,1,101,8,48,25,2,0,4,101,622,3,1,197,0,18,0,0,0,52,0,0,0,0,0,0,1,1,1,2,1,6,0,1,0,18,0,2,0,1,3,0,0,0,4,3,0,0,0,2,2,314,75,2,11,0,3,1,3,7,0,131,50,0,0,0,18,192,2,1,0,1,3,0,1,0,0,0,0,0,63,47,234,0,3,0,0,0,20,0,0,0,2,18,16,18,4,6,0,1486,0,0,0,7,3,0,0,5,22,3,6
CHL,0,0,0,44,1,22,3,0,0,12,0,0,0,3,0,0,0,1,0,0,1,30,0,0,0,0,16,16,0,10,0,0,0,0,0,10,0,2,4,0,1,46,0,8,2,0,1,1,0,41,1,0,2,0,54,0,51,0,0,0,0,0,2,0,0,0,0,4,0,0,0,4,4,1,0,0,0,0,9,21,2,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,21,6,0,5,0,1,1,4,7,0,5,3,1,0,0,2,8,0,0,0,0,2,0,0,0,0,0,0,0,1,4,20,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,8,197,0,0,0,7,0,0,0,2,5,2,2
CHN,0,0,1,5,2,57,42,0,0,18,0,1,0,18,0,0,0,1,0,0,0,28,0,0,1,0,120,81,10,0,1,0,0,0,0,6,0,2,3,15,2,241,0,44,2,1,1,3,0,70,1,0,24,0,143,0,246,1,0,0,0,0,35,0,0,0,0,163,0,2,0,20,9,34,5,0,0,3,17,134,2,1,319,1,6,0,0,0,79,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,0,1,2,0,0,0,0,11,0,0,0,2,0,47,11,1,7,0,2,0,0,10,0,9,9,0,0,0,21,52,0,1,0,1,23,0,0,0,0,0,0,0,10,9,58,0,0,0,0,0,12,0,0,0,0,1,49,0,0,5,0,777,1,0,0,1,1,0,0,2,12,2,2
CIV,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,1,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,20,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
CMR,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,27,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
COD,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
COK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,17,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,27,0,0,1,0,10,8,10,6,0,1,0,0,0,0,0,2,0,1,1,9,0,2,0,0,3,1,0,23,0,0,1,0,25,0,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,3,10,0,0,0,0,2,4,4,0,3,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,1,3,0,2,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,122,0,0,0,7,0,0,0,2,0,2,2
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,1,4,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,9,3,2,2,0,1,0,0,0,2,0,0,0,0,0,11,0,2,1,0,1,1,0,7,0,0,0,0,9,0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,2,4,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,2,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,11,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,2,61,0,0,0,3,0,0,0,0,1,0,0
CUB,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,1,4,3,0,0,0,0,0,0,0,0,0,0,1,7,0,1,2,0,0,1,0,28,0,0,1,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,3,0,0,0,0,0,0,1
CYP,0,0,0,0,0,1,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,2,17,0,15,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,1,0,17,0,0,14,0,16,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,14,1,0,0,0,0,14,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0
CZE,0,0,0,6,0,24,73,0,0,77,0,0,0,8,0,0,0,5,0,0,0,44,0,0,0,0,33,80,1,2,0,0,0,0,0,1,0,0,1,0,0,240,0,41,0,2,0,3,0,67,1,1,41,0,180,0,177,1,0,0,0,0,37,0,0,0,0,1,0,3,0,17,1,4,3,1,0,0,11,105,0,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,39,0,2,0,0,0,0,0,0,84,17,0,0,0,7,101,0,0,0,0,0,0,0,0,0,0,0,0,117,32,81,0,0,0,0,0,1,3,0,0,2,0,2,0,0,9,1,257,0,0,0,2,1,0,0,6,7,1,0
DEU,0,0,5,58,15,323,620,2,0,469,0,0,2,97,0,0,0,35,0,1,0,160,0,1,0,0,532,1156,46,241,6,1,0,1,0,9,1,11,7,17,240,0,0,378,2,4,1,41,0,568,30,3,246,0,1548,7,1873,9,5,1,2,0,214,0,2,1,0,23,0,47,1,238,8,159,66,8,0,10,330,1078,4,3,631,2,12,0,0,0,87,9,0,2,0,0,0,0,1,15,13,13,9,0,11,2,58,1,2,1,2,8,0,0,0,7,3,0,0,1,12,0,913,186,0,59,0,13,2,2,7,1,476,100,2,1,0,66,837,2,6,0,3,10,0,0,0,0,0,0,0,114,75,557,0,0,5,1,1,17,0,0,0,6,46,46,2,12,96,11,4322,5,0,0,6,10,0,2,14,81,2,6
DJI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,1,8,3,65,83,0,0,108,0,0,2,1,0,0,0,4,0,0,0,38,0,0,0,0,104,145,8,44,0,0,0,0,0,2,0,2,1,0,41,378,0,0,0,0,0,4,0,148,4,1,130,0,257,0,488,0,4,0,3,5,92,1,1,0,0,5,0,3,0,16,2,10,19,0,0,23,25,230,3,0,65,0,11,0,0,0,31,0,0,0,0,0,0,0,3,6,3,8,2,0,0,0,14,0,0,3,0,2,0,0,0,2,0,0,0,0,1,0,203,159,0,12,2,0,0,0,2,0,72,27,0,0,0,5,96,0,1,9,3,5,0,1,0,0,0,0,0,39,40,381,0,0,0,0,0,9,0,0,1,1,4,1,12,1,4,1,697,0,0,0,0,1,0,0,3,10,2,10
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,3,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,5,0,0,0,0,92,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0
ECU,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,1,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,0,0,0
EGY,0,0,6,1,0,3,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,17,10,1,3,0,1,0,0,0,1,0,1,1,1,3,41,0,4,3,0,0,0,0,3,0,0,4,0,9,0,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,4,0,1,0,0,2,21,0,5,31,0,7,0,0,0,4,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,3,0,0,1,3,0,0,1,0,5,0,0,0,3,0,3,0,21,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,0,0,0,3,0,0,1,1,0,157,0,0,0,0,0,0,1,0,1,1,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,0,102,9,44,103,0,0,216,0,0,0,38,0,0,0,4,0,0,6,83,0,0,0,0,162,201,41,70,0,0,0,0,0,23,0,7,28,17,67,568,0,148,0,5,1,3,0,0,4,2,102,0,736,0,763,3,0,0,0,0,103,0,0,0,0,4,0,2,0,39,0,36,30,1,2,3,75,502,0,1,95,0,2,0,0,0,55,0,0,1,0,0,0,0,0,3,5,1,15,1,2,0,86,0,0,0,0,1,1,0,0,0,1,3,2,0,1,0,278,82,0,9,0,2,6,10,1,1,109,105,1,0,0,21,149,1,4,0,1,2,0,0,0,0,0,1,0,39,31,182,0,0,0,0,0,2,0,0,0,1,11,14,2,1,21,10,1090,1,0,0,25,0,0,0,6,22,0,0
EST,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,1,30,0,4,0,0,0,0,0,4,0,0,28,0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,0,0,0,2,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,0,2,0,0,1,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
FIN,0,0,0,5,0,38,57,0,0,77,0,0,0,16,0,0,0,3,1,0,1,37,0,0,1,0,60,113,2,24,0,0,0,0,0,1,0,0,1,14,41,246,0,130,0,0,0,4,0,102,28,1,0,0,175,0,264,0,0,0,0,0,47,0,0,0,0,4,0,2,0,53,2,24,14,0,0,10,22,146,0,0,82,3,1,0,0,0,15,0,0,0,0,0,0,0,0,5,2,7,1,0,1,0,6,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,140,119,0,11,0,1,0,1,1,0,75,24,0,0,0,20,136,0,0,1,0,4,0,0,0,0,0,0,0,38,34,332,0,0,0,0,0,0,0,0,1,1,10,8,1,0,6,2,612,0,0,0,1,0,0,0,2,5,1,0
FJI,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,2,0,2,101,10,224,203,0,2,710,5,13,1,59,0,0,0,23,0,0,17,235,1,0,0,2,689,794,54,143,20,27,2,9,0,25,0,9,7,16,180,1548,1,257,0,92,6,9,0,736,16,3,175,0,0,11,1694,4,0,1,3,0,221,1,0,9,1,12,0,19,0,155,8,138,54,7,0,9,209,1227,3,3,398,0,9,0,0,0,76,3,0,7,0,1,0,0,1,13,16,8,212,12,6,11,67,0,8,0,1,1,0,3,2,1,4,5,28,6,8,0,596,139,0,37,1,2,0,3,7,1,324,143,6,0,0,77,505,4,10,0,36,12,0,0,0,1,0,0,0,86,54,420,0,0,7,1,6,14,0,0,1,67,30,30,2,2,64,8,3058,3,0,0,34,15,1,2,6,53,0,9
GAB,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
GBR,0,1,18,40,5,730,294,0,0,513,2,3,7,21,1,0,1,22,1,1,3,222,3,3,3,0,849,739,51,246,9,16,2,0,0,13,0,14,4,5,177,1873,0,488,0,3,7,35,0,763,11,13,264,0,1694,2,3820,0,14,0,27,4,316,1,3,1,0,83,1,13,1,163,10,161,285,14,1,29,241,1344,22,8,681,0,85,0,0,0,118,13,1,2,0,2,0,1,13,10,8,4,6,0,0,1,86,0,2,8,1,4,0,1,6,12,34,2,0,1,39,3,965,227,8,138,8,37,0,3,19,10,263,181,1,0,0,33,406,2,28,6,4,54,1,8,0,0,0,1,0,93,67,670,0,0,7,0,0,56,0,0,2,7,64,30,22,12,46,8,4667,1,0,1,18,12,1,3,17,149,13,15
GEO,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,10,1,0,0,0,0,0,0,0,1,0,0
GHA,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
