,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
BLR,0,0,0,0,0,0,2,8,2,16,0,0,32,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,8,32,0,16,0,0,0,0,0,0,0,0,0,0,26,282,0,0,2,0,0,0,0,0,20,4,0,20,0,0,82,0,0,80,2,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,8,2,14,2,0,0,0,12,62,0,8,42,2,0,0,0,0,0,14,2,0,0,0,0,0,0,0,6,0,6,0,0,6,0,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,8,0,0,0,0,0,0,0,0,0,134,0,64,0,0,0,2,290,0,0,0,0,0,0,0,0,0,0,8,0,0,8,6,22,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,50,0,122,0,0,0,0,0,0,0,0,2,0,0
BLZ,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,16,0,2,2,0,0,20,4,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,10,10,8,2,0,2,0,2,14,0,0,2,0,0,2,26,0,0,0,0,0,10,0,0,28,0,0,0,0,0,30,0,0,50,0,2,0,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,10,20,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,82,0,0,8,2,0,0,0,0,0,0,2
BRA,0,0,2,0,0,8,594,4,356,144,0,0,296,0,4,8,40,0,0,0,6,0,0,16,0,0,0,0,0,0,748,332,180,266,2,8,0,0,132,0,0,30,90,0,152,1228,0,0,138,8,2,36,28,0,602,2,0,102,0,0,1410,0,2,1464,2,4,0,0,0,0,0,82,0,0,2,10,0,4,40,0,72,28,218,48,12,0,4,114,900,4,2,438,4,20,0,2,0,0,86,2,2,4,0,2,0,4,0,2,6,2,8,4,0,0,266,0,2,4,0,2,0,2,2,2,0,0,0,20,0,4,0,8,0,398,96,2,54,2,20,40,58,18,0,0,204,0,422,12,0,0,32,378,0,8,8,6,26,0,0,0,0,0,34,0,0,24,60,236,0,0,0,0,0,28,0,0,0,2,6,88,54,8,8,44,80,4534,8,0,108,4,0,0,0,0,90,2,4
BRB,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,36,0,0,0,0,0,0,0,0,2,0,0
BRN,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,6,6,0
BTN,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
BWA,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,2,2,12,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,2,0,0,0,0,0,6,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,2,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,4,0,4,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,30,0,0,0,0,0,0,2,0,28,2,2
CAF,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,24,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,2,0,2,56,268,38,1806,438,0,0,836,6,12,26,50,4,0,2,8,0,2,10,748,8,4,0,6,0,0,1156,168,1970,10,18,4,0,38,0,0,26,36,6,274,3330,0,0,530,4,8,12,126,4,1196,20,8,468,0,2,3138,0,0,5132,6,22,0,2,2,0,0,246,2,10,6,0,2,0,34,0,258,48,428,188,300,0,30,708,1682,10,20,1940,36,50,0,2,0,6,664,38,0,48,0,0,0,12,0,12,4,16,72,2,0,0,430,0,0,4,2,0,0,4,0,0,0,2,4,32,0,2,4,8,0,1444,512,12,378,20,90,6,30,38,0,6,596,0,170,2,0,12,86,820,0,80,4,4,230,0,0,0,0,0,42,0,0,88,44,954,0,0,2,0,4,86,0,0,0,22,50,178,310,26,10,92,18,19740,2,0,74,10,0,0,0,0,314,4,10
CHE,4,2,8,0,4,10,90,52,792,1006,0,2,1122,18,16,24,144,2,0,2,32,0,0,10,332,0,0,0,4,0,1156,0,104,398,28,38,4,2,30,0,0,6,12,56,356,6254,0,0,698,2,12,12,74,0,1316,28,14,424,2,0,3818,0,4,3740,26,18,0,0,10,0,0,420,0,0,2,2,0,0,110,4,316,18,338,224,34,0,24,380,2912,0,6,904,6,64,0,4,0,0,266,10,0,12,2,4,24,18,0,36,34,18,28,0,14,4,146,0,6,6,0,2,0,2,6,0,0,0,14,22,2,2,0,14,0,1454,330,10,112,4,36,16,16,14,0,6,666,0,360,2,0,0,122,968,6,30,2,10,92,4,0,0,0,0,34,0,0,120,178,902,2,6,0,4,2,54,0,0,0,0,18,124,192,58,22,104,14,6774,8,0,14,16,0,0,0,0,186,6,18
CHL,0,0,2,0,0,0,242,6,140,46,0,0,78,0,0,2,18,0,0,0,0,0,0,8,180,0,8,0,0,0,168,104,0,46,2,0,0,0,56,0,0,16,20,2,16,460,0,0,82,6,2,16,10,0,420,2,0,50,0,0,494,0,0,360,2,4,0,0,0,0,0,16,0,0,4,0,0,4,2,0,12,2,28,14,4,0,2,76,210,2,0,96,0,8,0,0,0,0,40,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,134,0,2,2,0,0,0,0,0,0,0,0,0,4,0,2,0,4,4,106,14,0,40,0,10,8,22,2,0,0,70,0,40,8,0,0,10,48,0,4,0,0,12,0,0,4,0,0,8,0,0,4,6,76,0,0,0,0,0,14,0,0,0,2,4,12,4,0,6,2,42,1202,0,0,34,0,0,0,0,0,56,6,0
CHN,0,0,2,0,0,8,62,6,1976,220,0,0,390,0,0,14,70,2,0,0,16,0,0,2,266,0,8,0,2,0,1970,398,46,0,4,8,2,0,34,0,0,6,10,34,116,2660,0,2,232,4,2,18,46,0,456,2,0,166,2,0,1418,0,0,3034,10,6,0,0,0,0,0,104,0,0,0,0,2,0,48,0,116,32,458,114,34,4,6,218,710,2,0,4440,4,18,4,6,0,0,1182,2,2,6,0,8,0,28,0,6,2,4,10,0,4,2,130,0,0,2,0,4,0,20,0,0,0,0,2,318,4,4,0,6,0,662,236,8,156,4,42,2,4,98,0,4,256,14,118,2,0,0,72,650,0,30,6,2,1344,0,0,0,0,0,34,0,0,26,102,630,0,0,4,0,0,162,0,0,0,4,6,58,936,0,6,24,4,10482,4,0,2,44,0,0,0,0,106,6,0
CIV,0,0,2,0,0,0,2,0,2,2,0,0,16,8,8,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,10,28,2,4,0,8,0,0,2,0,0,0,2,0,2,16,0,0,2,0,0,2,2,0,2,0,0,0,0,0,136,0,0,30,2,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,6,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,2,6,0,4,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,2,2,2,0,14,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,6,0,0,0,0,2,2,0,4,2,0,0,42,0,0,2,0,0,0,0,0,4,0,0
CMR,0,2,0,0,0,2,0,0,12,4,4,0,42,18,10,0,0,0,0,0,0,0,0,2,8,0,0,0,12,0,18,38,0,8,8,0,4,4,0,0,0,4,0,0,0,66,0,0,8,0,0,0,2,0,4,0,0,0,0,0,188,0,8,106,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,16,0,0,8,0,6,0,4,0,0,4,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,4,22,0,12,2,0,0,0,8,2,2,0,0,0,2,0,0,2,0,0,0,2,2,0,2,18,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,2,4,0,0,0,0,2,0,0,4,4,0,0,68,0,0,2,2,0,0,0,0,10,2,4
COD,0,0,0,0,0,0,0,0,0,0,0,2,22,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,2,0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,2,0,0,0,0,2,0,0
COG,0,2,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,2,0,0,0,96,0,20,18,0,0,22,2,0,0,2,0,0,0,0,0,0,14,132,0,0,0,0,0,38,30,56,34,2,0,0,0,0,0,0,12,4,0,22,102,0,0,2,4,0,30,4,0,228,0,0,2,0,0,124,0,0,188,2,4,0,0,0,0,0,4,0,0,6,0,0,0,0,0,2,2,30,12,2,0,0,4,44,0,0,34,0,6,0,0,0,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,6,4,46,6,2,2,0,4,12,24,6,0,0,8,0,6,4,0,0,2,30,0,4,0,0,4,0,0,0,0,0,6,0,0,2,0,26,0,0,2,0,0,2,0,0,0,0,2,4,2,0,2,0,4,474,0,0,54,2,0,0,0,0,10,0,0
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,14,0,6,2,0,0,6,0,0,0,4,0,0,0,0,0,0,2,30,0,0,0,0,0,26,6,16,6,0,4,0,0,12,0,0,0,4,0,2,40,0,0,2,10,0,2,2,0,32,0,0,6,0,0,30,0,0,24,0,0,0,0,0,0,0,0,0,0,14,0,0,10,0,0,0,6,2,2,0,0,0,4,10,0,0,12,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,16,26,2,0,0,0,0,14,2,0,0,0,2,0,2,2,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,16,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,4,206,0,0,4,0,0,0,0,0,0,0,0
CUB,0,0,2,0,0,0,40,0,10,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,36,12,20,10,2,0,0,0,4,0,0,4,0,0,4,70,0,0,2,2,0,2,2,0,236,0,0,14,0,0,38,0,0,50,2,2,0,0,0,0,0,4,0,0,4,0,0,2,2,0,0,4,14,2,2,0,0,4,60,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,8,10,2,2,2,4,2,8,2,0,0,4,0,8,2,0,0,2,6,0,6,0,0,4,0,0,2,0,0,2,0,0,4,0,16,0,0,0,0,0,10,0,0,0,0,2,2,0,0,4,0,4,70,2,0,10,0,0,0,0,0,8,0,0
CYP,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,2,34,0,0,0,0,0,0,0,0,0,0,8,86,0,0,2,0,0,0,0,0,58,0,0,4,0,0,62,0,0,78,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,38,0,36,36,0,0,0,8,68,0,0,6,0,0,0,0,0,0,34,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,2,0,0,0,0,0,0,0,14,0,2,0,0,0,34,44,0,0,0,0,2,0,0,0,0,0,0,0,0,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,2,0,134,0,0,0,0,0,0,0,0,4,0,0
CZE,0,0,2,0,0,2,46,34,114,360,2,0,338,0,0,2,74,0,0,2,26,0,0,2,152,0,0,0,0,0,274,356,16,116,2,0,0,0,22,0,0,2,4,8,0,1532,0,0,146,0,6,18,18,0,356,24,0,202,0,0,910,0,0,872,14,2,0,0,0,0,0,196,0,0,0,0,0,0,72,0,156,2,106,58,8,0,6,106,602,0,0,374,0,4,0,0,0,0,30,2,0,6,0,0,0,6,0,20,4,20,4,0,2,0,88,0,4,0,0,0,0,2,0,0,0,0,2,2,6,0,0,2,0,356,152,0,18,0,4,8,2,2,0,2,584,0,124,2,0,2,82,528,0,6,0,0,6,0,0,0,0,0,42,0,0,580,108,364,0,0,0,0,0,8,0,0,0,0,6,64,18,2,2,82,4,1372,8,0,2,2,0,0,0,0,42,0,0
DEU,0,8,14,0,2,28,514,148,2258,3968,12,0,2676,18,32,38,600,2,0,18,282,0,2,26,1228,6,8,4,8,2,3330,6254,460,2660,16,66,4,2,102,0,2,40,70,86,1532,0,0,0,1778,0,74,38,310,0,3794,118,50,1400,0,0,8048,0,58,11104,112,44,0,6,10,0,0,1106,0,2,12,2,0,0,336,0,1320,84,1420,498,140,2,64,1494,6212,6,78,3570,64,116,10,6,0,0,684,18,4,16,0,8,2,32,2,134,76,118,58,8,52,24,486,0,30,10,2,8,0,8,0,0,0,0,10,76,20,0,2,72,0,5224,1038,6,408,18,70,32,52,50,0,4,2864,0,860,6,6,8,526,5078,6,32,22,12,224,6,0,0,0,0,198,0,2,558,296,3024,0,0,42,0,4,142,4,0,0,6,38,614,386,44,30,972,34,22116,72,0,98,58,2,0,8,2,506,6,12
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,0,2,10,62,2,420,272,0,0,462,4,8,6,40,0,0,4,2,0,2,0,138,0,0,0,2,0,530,698,82,232,2,8,0,0,2,0,0,2,2,2,146,1778,0,0,0,0,2,8,22,0,672,42,8,548,0,0,1094,0,2,2250,2,24,0,0,4,28,0,176,0,38,0,0,0,0,20,0,124,6,58,122,12,0,146,150,918,0,0,366,2,56,0,0,0,0,46,2,0,0,0,0,0,16,0,44,14,28,8,0,2,2,42,0,8,2,0,2,0,4,2,0,0,2,2,10,0,0,0,18,0,932,892,0,154,0,4,2,6,14,0,2,314,0,138,0,2,0,38,350,0,8,6,2,36,0,0,0,0,0,18,0,0,64,28,1744,0,0,6,0,0,26,0,0,0,0,4,54,18,54,20,42,4,2928,0,0,6,4,0,0,0,0,112,6,28
DOM,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,2,6,4,0,0,0,0,4,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,2,6,0,2,2,0,0,20,2,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,8,12,2,2,0,0,0,0,0,0,0,0,0,0,6,74,0,0,2,0,0,0,4,0,40,0,0,0,0,0,672,0,0,52,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,6,0,6,0,0,0,54,0,0,16,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,2,0,0,0,4,0,6,0,0,0,8,4,0,12,0,4,2,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,52,0,0,2,0,0,0,0,0,0,0,2
ECU,0,0,2,0,0,0,22,0,12,6,0,0,20,2,0,0,0,0,0,0,0,0,0,10,36,0,0,0,0,0,12,12,16,18,2,0,0,0,30,0,0,2,2,0,18,38,0,0,8,0,0,0,2,0,22,0,0,2,0,0,42,0,0,68,2,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,18,12,2,0,0,0,22,0,0,12,0,4,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,22,0,0,2,0,2,12,22,0,0,0,0,0,0,4,0,0,2,16,2,2,0,0,2,0,0,2,0,0,2,0,0,2,0,16,0,0,0,0,0,2,0,0,0,0,2,2,2,0,2,0,4,138,0,0,14,0,0,0,0,0,6,0,0
EGY,0,0,2,0,0,42,2,0,28,40,0,0,66,0,0,4,20,4,0,0,0,0,0,0,28,0,6,0,0,0,126,74,10,46,2,2,0,0,4,0,0,2,2,0,18,310,0,0,22,0,4,2,0,0,36,0,0,6,0,0,78,0,0,180,4,4,0,2,0,0,0,14,0,0,0,0,0,0,16,0,18,12,42,16,4,0,0,12,68,0,16,208,2,4,0,0,0,0,48,32,0,16,0,4,0,4,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,56,6,2,2,8,16,2,2,0,0,0,22,0,4,2,0,26,4,16,0,224,2,2,4,0,0,0,0,0,6,0,0,6,4,20,0,0,4,0,0,2,0,0,0,0,10,30,10,2,4,2,0,598,0,0,0,2,0,0,12,0,10,4,0
