,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
AZE,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,2,0,16,0,0,0,0,0,0,0,0,2,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,0,0,4,0,2,14,114,40,480,470,0,6,0,22,12,22,174,0,0,4,32,0,0,20,296,0,0,0,4,2,836,1122,78,390,16,42,22,4,22,0,2,6,30,4,338,2676,0,0,462,0,20,20,66,0,1216,18,18,372,0,0,3438,2,4,3020,8,14,0,0,12,0,2,422,0,0,2,4,0,0,40,0,332,20,134,138,20,0,28,298,1668,0,0,550,38,56,0,10,0,0,136,6,8,16,0,2,0,6,0,34,76,4,42,18,18,6,140,0,2,6,2,2,0,2,4,0,0,4,4,22,0,2,2,10,2,2682,286,8,68,0,10,8,24,2,0,0,662,0,298,4,0,0,184,604,6,22,2,22,20,0,0,2,0,0,36,0,2,92,114,820,0,0,8,0,0,44,0,0,0,0,38,156,32,32,24,72,8,3900,12,0,34,52,0,0,0,0,166,12,12
BEN,0,0,0,0,0,0,0,0,0,0,0,0,22,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,6,18,0,0,8,18,4,0,2,0,0,0,0,0,0,18,0,0,4,0,2,2,0,0,0,0,0,0,0,0,62,0,0,20,0,10,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,2,0,0,0,0,4,2,4
BFA,0,0,0,0,0,0,0,0,2,2,0,0,12,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,12,16,0,0,8,10,2,6,0,0,0,0,0,0,0,32,0,0,8,0,2,0,0,0,0,0,0,0,0,0,102,0,0,36,0,8,0,6,4,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,22,0,0,2,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,2,0,2,18,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,12,2,0,0,0,0,0,0,0,4,0,0,0,24,0,0,0,2,0,0,0,0,4,0,2
BGD,0,0,0,0,0,4,4,0,28,12,0,0,22,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,26,24,2,14,0,0,0,0,0,0,0,0,0,0,2,38,0,0,6,0,0,0,4,0,6,0,0,2,0,0,18,0,0,100,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,76,0,0,2,0,4,10,0,0,162,0,0,0,2,0,0,16,6,0,0,0,0,0,4,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,0,2,0,18,4,16,4,6,20,0,4,8,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0,0,8,0,0,0,0,2,4,6,2,4,0,0,206,2,0,0,6,0,0,0,0,14,0,0
BGR,0,0,0,0,0,0,8,0,26,82,2,0,174,0,0,0,0,0,0,2,6,0,0,0,40,0,6,0,0,0,50,144,18,70,0,0,0,0,2,0,0,4,0,34,74,600,0,0,40,0,2,0,20,0,198,6,0,40,0,0,290,0,0,286,6,0,0,0,0,0,0,104,0,0,0,0,0,0,24,0,104,6,60,48,0,0,0,28,258,0,0,106,2,2,0,0,0,0,48,0,0,0,0,0,0,0,0,8,4,6,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,86,20,0,6,2,6,0,0,0,0,0,130,0,58,0,0,0,72,200,0,6,0,0,2,0,0,0,0,0,12,0,0,40,14,74,0,0,0,0,0,0,2,0,0,0,0,34,40,0,0,34,0,376,2,0,2,0,0,0,2,0,14,6,0
BHR,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,10,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,4,0,0,0,0,0,0,8,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,4,0,0,0,0,0,2,6,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,40,0,8,0,0,0,0,0,0,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,14,0,0,6,24,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,0,0
