,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AUS,0,5,2,0,0,0,93,381,108,0,0,820,83,2,1130,6,11,174,49,11,4,5,103,4,2,10,1081,5,15,10,12,1,3626,1575,537,6725,8,27,11,3,5,226,0,2,39,14,0,1,35,442,4092,1,1,1140,1,15,27,117,2,1930,88,31,584,59,2982,5,4,9095,98,39,0,5,9,3,0,416,2,3,15,5,3,1,106,2,336,310,1152,494,536,50,80,454,2300,7,64,1732,19,94,5,44,5,1,885,47,31,40,0,10,2,3,123,1,51,43,18,114,10,5,9,4,296,3,10,7,10,11,4,10,14,1,0,7,21,925,21,56,4,69,0,3,2368,772,46,1,1897,40,173,35,75,132,6,95,617,0,437,4,4,99,213,649,7,522,19,8,1067,14,20,1,0,0,155,0,0,0,144,204,1519,0,8,16,0,3,464,1,0,1,6,14,26,364,2,530,37,34,79,40,11719,8,0,1,0,25,268,16,6,0,3,871,5,15
AUT,0,2,0,6,0,0,20,191,184,0,820,0,88,1,894,8,12,14,171,1,1,15,180,1,0,3,464,1,0,1,5,0,906,1729,204,723,3,10,3,1,0,194,0,0,11,16,0,1,101,779,5526,0,1,634,0,8,10,150,0,1458,145,22,457,1,1886,0,8,2805,185,10,0,0,4,0,0,567,1,1,7,0,1,0,285,0,621,25,436,286,195,7,46,364,2143,6,11,632,15,31,3,0,0,0,257,6,1,24,0,4,1,80,79,0,131,56,29,114,4,10,4,0,183,0,33,1,17,0,5,7,2,1,0,4,1,127,18,1,1,15,0,0,1339,519,13,0,214,23,190,4,20,27,0,3,717,0,492,2,1,83,364,569,5,170,8,11,117,0,1,1,0,0,287,0,0,0,349,317,925,1,1,8,1,1,149,0,0,0,0,7,23,347,0,263,14,10,167,16,3696,4,0,0,0,13,23,0,0,7,2,268,2,7
AZE,0,0,0,0,0,0,0,83,87,0,83,88,0,0,3,0,0,0,2,0,0,3,91,0,0,0,84,0,0,0,0,0,85,88,83,91,0,0,0,0,0,83,0,0,0,0,0,0,2,86,104,0,0,87,0,1,0,7,0,93,1,0,4,0,95,0,0,180,91,0,0,0,0,0,0,86,0,0,0,0,0,0,3,0,86,2,83,1,13,1,2,89,95,0,2,90,3,0,2,0,0,0,4,0,1,0,0,1,0,0,0,0,0,1,1,84,0,4,0,0,2,0,2,0,1,0,1,2,0,0,0,0,0,35,0,0,0,1,0,0,84,85,0,0,1,0,5,0,0,0,0,0,88,0,96,0,0,0,84,128,0,3,0,0,1,0,0,0,0,0,86,0,0,0,87,85,86,0,0,0,0,0,2,2,0,0,0,0,5,171,0,86,0,0,8,0,102,1,0,0,0,0,1,0,0,0,0,84,0,0
BDI,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,3,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,6,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
BEL,0,3,1,5,0,0,29,208,96,0,1130,894,3,5,0,49,35,27,245,3,1,16,95,0,0,16,625,4,0,1,6,4,1382,1653,200,992,20,52,91,16,0,181,0,0,21,56,0,1,135,564,3869,1,1,858,2,75,45,181,0,2304,194,79,566,0,4430,0,21,4699,97,25,0,12,25,3,1,676,1,6,7,3,2,3,223,2,495,34,450,403,207,10,51,361,3009,3,11,728,9,100,3,18,0,1,364,12,3,36,1,6,0,2,86,2,159,156,41,64,3,8,16,0,262,0,36,7,25,1,9,8,12,0,0,5,8,110,3,7,7,32,1,0,3726,501,22,0,295,6,127,11,53,31,0,2,872,0,657,2,1,99,336,577,23,171,7,29,120,0,3,1,0,2,182,0,0,0,93,151,1131,1,1,4,2,4,179,1,0,0,0,2,71,350,0,201,56,51,192,32,4803,11,0,1,0,30,105,0,0,0,2,381,11,6
BEN,0,2,0,0,0,0,1,4,0,0,6,8,0,1,49,0,17,5,0,2,0,0,0,2,0,0,17,0,0,0,2,2,17,13,3,8,13,13,6,2,0,4,0,0,0,1,0,0,1,1,20,0,0,4,0,1,0,5,0,10,3,2,3,1,121,0,6,30,2,17,0,3,3,0,0,2,0,0,0,0,0,0,0,0,0,4,5,0,3,1,2,1,16,0,2,7,4,17,0,4,0,0,3,0,3,2,0,0,2,0,4,0,0,1,0,3,0,0,2,0,5,0,0,5,0,1,0,0,2,0,0,1,0,4,2,2,6,8,0,0,40,4,0,0,3,2,5,2,5,7,0,3,1,0,4,0,2,2,2,3,3,2,1,13,2,0,2,0,0,0,2,0,0,0,2,0,7,0,0,1,0,12,12,0,0,0,1,1,1,3,0,4,14,4,0,2,45,0,0,0,0,0,6,0,0,0,0,9,3,1
BFA,0,0,0,0,0,0,0,2,0,0,11,12,0,1,35,17,0,10,2,1,0,0,1,0,0,0,5,0,1,0,0,3,22,39,1,6,22,17,4,5,0,4,0,0,0,1,0,0,0,1,39,0,0,11,0,1,0,2,0,10,0,11,2,0,143,0,10,66,0,35,0,7,15,3,0,2,0,0,0,0,0,0,2,1,1,7,15,1,0,0,0,1,26,0,1,9,0,32,0,3,0,0,4,1,1,3,1,0,0,0,1,0,1,9,0,5,0,0,1,0,3,0,1,28,0,0,1,0,5,0,0,1,14,2,1,0,9,19,1,0,14,4,0,0,0,0,1,0,1,1,0,5,2,0,1,1,0,0,2,2,3,4,6,33,1,0,1,0,0,0,0,0,0,0,2,0,18,0,0,0,2,10,13,0,0,0,0,1,2,1,0,7,13,7,2,0,71,0,0,0,0,1,13,0,0,0,1,24,4,8
BGD,0,4,0,0,0,0,10,15,3,0,174,14,0,0,27,5,10,0,1,2,0,0,0,2,0,0,23,1,8,2,3,0,109,50,8,93,10,3,2,0,0,9,0,0,1,1,0,0,2,2,84,0,0,21,0,1,9,26,0,28,4,13,19,6,36,0,1,213,4,18,0,3,10,1,0,9,0,0,1,0,0,0,9,1,3,36,121,8,23,3,2,6,38,0,7,284,2,22,1,8,0,0,117,5,3,5,0,2,2,0,12,0,2,6,0,3,0,1,0,1,15,0,1,2,0,6,0,1,2,0,0,1,9,221,1,2,1,9,0,0,44,22,25,0,15,7,64,2,8,22,0,3,17,0,8,0,4,3,1,15,2,46,1,9,40,0,3,0,0,0,4,0,0,0,3,4,78,0,0,2,0,0,32,0,0,0,0,1,1,21,0,9,17,8,6,2,378,0,0,0,0,1,27,0,0,0,1,40,4,5
BGR,0,0,0,8,0,0,3,19,89,0,49,171,2,0,245,0,2,1,0,1,0,12,86,0,0,4,120,1,1,0,0,0,53,230,16,144,0,1,0,1,0,97,0,0,3,2,0,0,93,192,490,0,0,67,1,7,1,97,0,282,109,1,165,0,310,0,0,338,97,4,0,0,0,0,0,194,0,0,3,0,1,1,153,0,182,6,143,111,89,5,10,40,347,0,2,91,6,3,1,0,0,0,103,2,0,14,0,0,0,1,76,0,121,13,28,7,0,7,0,0,120,0,43,0,5,0,5,4,0,0,0,0,0,53,1,0,0,12,0,0,97,46,0,0,95,3,93,1,7,6,0,1,288,0,143,1,0,74,132,219,0,73,1,0,9,0,0,1,0,0,152,0,0,0,59,58,81,0,0,0,0,0,82,0,0,0,0,0,9,157,0,89,4,1,126,2,355,4,0,0,0,4,6,0,0,2,0,31,0,0
BHR,0,4,0,0,0,0,23,3,0,0,11,1,0,0,3,2,1,2,1,0,0,0,1,3,0,0,6,0,1,0,3,0,13,3,2,10,2,4,2,0,0,4,0,0,1,0,0,0,3,1,9,1,0,3,0,13,0,27,0,7,3,3,6,1,13,0,0,34,3,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,30,8,8,9,3,2,7,0,14,5,0,3,0,0,0,0,5,12,0,10,0,4,2,0,3,0,0,0,0,8,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,22,1,3,0,4,0,0,11,4,0,0,2,14,5,2,3,3,0,2,2,0,4,1,3,19,0,3,3,40,4,0,5,0,1,0,0,0,2,0,0,0,2,0,5,0,0,6,0,0,2,0,0,0,0,0,11,12,0,5,0,3,2,1,30,0,0,0,0,0,3,0,0,0,7,9,2,0
