,ABW,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BHS,0,0,0,0,0,0,0,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,11,1,2,1,1,0,0,0,0,1,0,0,1,2,0,1,0,0,3,0,2,1,1,0,1,1,0,1,0,0,1,0,2,1,0,8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,4,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,1,30,0,0,0,2,1,0,0,0,0,0,1,0,0
BIH,0,0,0,6,0,0,0,5,2,0,5,15,3,0,16,0,0,0,12,0,0,0,3,0,0,1,6,0,0,0,0,0,4,16,2,5,0,0,0,0,0,0,0,0,2,0,0,0,3,11,33,0,0,9,0,3,0,3,0,22,9,0,8,0,12,0,0,24,3,0,0,0,0,0,0,8,0,0,0,0,0,0,109,0,14,1,4,9,2,0,2,6,24,1,0,4,1,0,2,0,0,0,6,0,0,2,0,2,0,0,0,0,7,4,5,2,0,2,0,0,1,0,17,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,0,0,2,0,3,1,0,3,0,0,18,0,7,0,0,0,12,6,0,3,0,0,2,0,0,0,0,0,161,0,0,0,9,68,14,0,0,0,0,0,1,1,0,0,0,0,2,26,0,2,0,0,3,0,40,0,0,0,0,1,0,0,0,2,0,4,0,0
BLR,0,0,0,0,0,0,0,90,170,0,103,180,91,0,95,0,1,0,86,1,0,3,0,0,0,0,168,0,1,0,0,0,108,186,84,184,0,1,0,0,0,161,0,0,1,1,0,0,79,183,306,0,0,117,0,0,0,79,0,207,90,0,98,0,216,0,0,319,169,0,0,0,1,0,0,173,0,0,0,0,0,0,85,0,169,1,166,82,92,1,0,92,211,0,8,96,15,1,1,0,0,0,97,0,0,1,0,1,0,0,76,0,119,5,11,84,0,12,0,0,84,0,1,0,0,0,1,1,0,0,0,0,0,87,1,0,0,1,0,0,103,102,0,0,77,1,78,0,0,1,0,0,279,0,182,1,0,70,102,471,0,47,0,0,10,0,0,0,1,0,174,0,0,0,94,94,111,0,0,0,0,0,79,1,0,0,0,0,1,181,0,169,0,1,151,0,250,4,0,0,0,0,1,0,0,0,0,88,0,0
BLZ,0,3,0,0,0,0,0,2,0,1,4,1,0,0,0,2,0,2,0,3,1,0,0,0,0,0,3,1,0,0,3,0,6,0,2,3,2,3,2,0,0,4,0,0,1,1,0,0,2,0,3,0,1,3,1,0,0,3,0,4,3,3,3,1,5,0,0,9,3,1,0,0,0,0,0,3,1,0,0,0,1,1,0,0,0,3,3,0,3,2,3,1,3,1,3,3,0,2,0,0,0,1,3,0,0,3,0,0,3,0,3,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,0,0,4,4,0,0,2,2,3,2,3,3,0,2,1,0,3,0,2,3,0,3,3,3,0,0,3,0,1,0,0,0,2,0,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,3,0,3,0,3,1,1,16,0,0,0,1,0,3,0,0,0,0,4,2,0
BMU,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,1,23,1,0,10,3,0,0,16,0,0,0,4,0,0,1,0,0,0,0,33,0,0,0,0,0,13,5,29,5,0,0,0,0,0,23,0,0,6,1,0,0,1,12,22,0,0,11,1,0,20,1,0,45,3,0,2,0,34,0,0,34,0,0,0,0,0,0,0,1,0,0,1,0,1,2,3,0,4,1,5,2,2,0,0,1,12,1,1,7,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,9,0,2,0,0,0,0,17,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,18,2,0,0,2,1,1,5,31,1,0,0,7,0,2,2,0,0,1,5,0,2,1,0,1,0,0,2,0,0,1,0,0,0,1,1,20,0,0,0,0,0,3,0,0,0,0,0,1,2,0,1,1,0,1,3,95,2,0,0,0,10,2,0,0,0,0,2,0,0
BRA,0,6,8,1,0,0,27,945,206,0,1081,464,84,0,625,17,5,23,120,6,2,6,168,3,1,33,0,2,3,0,8,0,1450,824,614,861,6,21,5,7,0,594,0,2,84,166,0,1,89,397,2115,0,1,426,8,14,100,148,0,2018,102,18,300,5,2245,0,3,2628,170,14,0,0,3,0,0,328,1,0,12,19,2,5,170,2,315,33,658,279,149,12,15,262,1693,2,11,629,11,56,2,5,0,0,335,10,6,38,0,5,2,1,88,0,87,23,19,96,1,3,6,1,665,0,9,7,11,2,3,5,23,1,0,1,8,165,3,11,5,60,1,0,981,278,12,0,241,15,207,45,205,45,0,4,525,0,1338,29,3,95,283,646,4,149,9,7,107,0,1,6,0,0,221,0,0,2,144,145,555,0,0,3,0,2,203,0,0,0,0,4,21,391,0,268,17,15,250,193,6320,5,0,4,0,108,92,0,0,1,1,353,7,9
BRB,0,1,0,0,0,0,0,1,1,1,5,1,0,0,4,0,0,1,1,0,2,0,0,1,1,0,2,0,0,0,2,0,12,2,0,3,1,0,0,0,0,4,0,0,2,2,0,1,0,0,4,0,2,2,2,0,1,1,0,2,1,1,3,2,3,0,0,19,1,2,0,0,1,0,0,1,2,0,0,1,1,0,0,0,0,1,3,1,2,0,0,1,4,6,1,4,0,3,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,3,0,2,2,1,0,0,0,2,0,2,0,1,2,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,7,1,4,0,7,2,0,0,1,28,0,0,0,1,1,0,0,0,0,0,8,0,0
BRN,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,8,1,1,0,0,1,0,0,0,3,0,0,0,0,0,2,4,0,18,0,1,0,0,0,2,0,0,0,0,0,0,0,3,19,0,0,1,0,0,1,2,0,2,0,0,2,0,2,0,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11,2,1,1,0,2,3,1,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,1,0,0,6,0,0,0,2,1,5,0,1,2,0,0,1,0,0,2,0,1,3,1,0,1,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,4,0,0,2,0,17,0,0,0,0,0,2,0,0,0,3,2,0,0
BTN,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,4,0,0,0,0,0,4,0,0,12,5,0,0,6,2,0,3,0,3,0,0,0,3,0,0,8,2,0,0,0,0,20,6,5,13,2,12,4,0,0,4,0,2,1,1,0,0,2,0,18,0,0,6,0,1,0,3,0,5,4,11,4,2,10,0,0,50,4,7,0,0,1,0,0,7,0,0,0,0,0,0,0,0,5,4,11,0,6,2,3,1,12,0,4,10,0,14,0,0,0,0,4,0,0,4,0,0,2,0,4,1,0,0,0,5,0,1,1,0,9,0,0,0,0,0,0,0,3,0,0,1,10,4,5,3,1,14,0,0,9,17,0,0,4,2,6,3,3,4,0,2,2,0,6,0,3,4,0,7,3,14,0,1,4,0,1,0,0,0,2,0,0,0,2,0,17,0,0,1,0,0,2,0,0,0,0,0,2,6,0,4,10,8,1,2,120,0,0,0,0,0,3,0,0,0,0,81,13,18
CAF,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,7,1,6,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,3,9,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,1
CAN,0,6,0,0,2,0,219,477,103,1,3626,906,85,1,1382,17,22,109,53,13,11,4,108,6,3,13,1450,12,2,1,20,1,0,2062,588,5652,23,40,10,7,0,261,0,0,53,38,3,1,58,482,4793,1,3,1257,5,80,34,409,1,2156,75,37,647,6,4696,0,5,7433,110,34,0,3,6,2,0,473,15,24,14,4,7,9,100,4,374,53,1120,510,866,26,78,838,2839,14,76,1744,16,170,3,13,1,14,958,61,3,117,1,14,5,2,34,0,34,44,21,182,4,9,15,0,512,0,29,12,13,0,7,11,6,1,0,9,22,300,10,7,2,68,5,0,2547,824,29,0,607,56,286,40,70,52,0,3,875,0,515,0,3,181,279,733,24,790,10,25,475,0,9,3,0,0,163,0,0,1,163,182,1508,1,2,14,0,4,202,1,0,0,0,19,125,463,0,574,45,94,106,31,20853,3,0,1,1,39,58,2,1,0,3,676,21,20
CHE,0,3,3,5,0,0,37,305,197,0,1575,1729,88,0,1653,13,39,50,230,3,1,16,186,0,1,5,824,2,4,2,6,2,2062,0,279,1378,42,48,24,22,0,234,0,0,22,45,0,1,121,822,8020,1,1,1087,2,31,24,196,2,2635,190,42,773,3,4849,0,11,6254,194,62,0,8,17,3,0,807,3,3,8,2,1,1,325,5,595,54,808,480,278,7,81,572,4246,8,23,1184,8,109,6,36,0,1,546,6,3,43,7,4,0,26,84,3,138,74,40,124,11,9,13,1,303,0,18,12,19,2,7,10,11,3,1,1,31,155,12,3,8,54,4,0,2594,705,37,0,355,12,184,23,70,42,0,10,1054,1,669,5,2,110,473,972,10,218,13,34,263,0,5,1,0,2,287,0,0,1,243,260,1415,2,6,4,10,5,220,0,0,0,0,3,37,546,0,411,85,63,283,29,8414,7,0,1,0,25,116,1,0,2,3,574,24,37
CHL,0,3,4,0,0,0,10,505,101,0,537,204,83,0,200,3,1,8,16,2,2,2,84,2,0,29,614,0,0,0,5,0,588,279,0,257,3,4,4,1,1,287,0,2,18,30,0,0,7,148,993,0,2,270,4,4,37,14,0,1163,12,6,125,4,934,0,0,1220,90,6,0,0,0,0,0,153,0,1,5,1,1,6,20,0,117,12,225,72,35,2,12,162,594,0,4,326,6,12,1,2,0,4,115,3,1,17,0,0,3,0,4,0,11,3,2,95,0,1,0,0,255,0,3,1,1,1,0,0,1,0,0,1,1,54,0,3,0,9,1,0,370,168,1,0,117,4,20,12,93,22,0,2,236,0,182,5,1,17,131,221,3,27,0,3,27,0,0,3,0,0,102,0,0,0,103,97,231,0,0,1,0,0,24,1,0,0,0,0,9,129,0,164,6,6,35,80,2090,3,0,12,0,51,8,0,1,0,0,244,3,6
CHN,0,5,0,2,0,0,110,263,214,0,6725,723,91,2,992,8,6,93,144,10,1,5,184,3,2,5,861,3,18,3,13,0,5652,1378,257,0,6,36,7,0,0,275,0,2,18,62,0,1,103,570,5188,0,1,1151,3,22,42,345,1,1591,143,34,769,4,3499,1,0,8327,185,70,0,14,3,0,0,510,1,11,5,2,3,1,205,3,444,118,1237,541,402,60,49,499,1966,6,22,5811,25,97,9,18,1,8,2913,31,7,36,1,6,3,1,135,6,103,44,19,125,1,6,7,1,383,0,18,8,7,11,6,44,1,0,0,3,10,546,4,6,5,149,0,0,1892,786,59,0,676,24,856,19,71,143,0,4,831,18,506,3,3,279,354,1223,11,1148,57,11,3491,0,4,1,0,0,306,0,0,0,183,222,1744,0,1,8,0,7,606,2,1,0,0,9,29,580,0,2513,28,22,312,30,35291,23,0,1,0,28,282,0,1,0,8,561,10,12
CIV,0,2,1,0,0,0,0,4,1,0,8,3,0,1,20,13,22,10,0,2,1,0,0,2,0,0,6,1,0,0,2,3,23,42,3,6,0,14,9,2,0,5,0,0,1,1,0,1,1,2,25,0,1,4,0,1,2,5,0,6,2,11,3,1,100,0,4,44,3,20,0,3,10,0,1,2,0,0,0,0,0,0,0,1,0,9,14,0,4,1,2,2,10,1,2,8,0,22,0,1,0,0,6,0,0,2,1,0,2,0,2,0,0,7,0,6,0,0,2,0,6,0,0,8,0,0,0,1,2,0,0,0,7,3,2,2,0,10,0,0,9,3,0,0,3,2,3,1,4,4,0,3,0,0,3,0,2,2,3,3,3,3,1,22,4,0,2,0,0,0,2,0,0,0,4,0,10,1,0,1,1,14,4,0,0,0,0,1,0,4,0,4,9,8,1,2,47,0,0,0,0,1,14,0,0,0,0,17,5,1
CMR,0,3,1,0,0,0,2,7,0,0,27,10,0,3,52,13,17,3,1,4,0,0,1,3,0,0,21,0,1,0,12,7,40,48,4,36,14,0,20,10,0,8,0,0,0,0,0,0,2,12,101,0,0,8,0,5,1,8,0,16,5,11,9,1,219,0,12,87,3,19,0,4,3,0,1,7,0,0,0,3,0,0,1,0,4,8,34,3,6,2,3,4,62,0,3,21,0,40,0,1,0,0,7,1,1,5,1,0,2,0,6,0,0,2,2,12,0,1,7,0,9,0,0,9,0,0,0,0,6,0,0,0,3,7,2,4,4,47,0,0,18,8,1,0,5,2,9,6,6,6,0,3,4,0,5,1,2,3,9,6,4,8,5,25,6,0,3,0,0,0,2,0,0,0,2,0,16,1,2,1,6,3,11,0,0,0,0,1,9,6,0,9,12,11,2,1,128,0,0,0,0,0,10,0,0,0,0,87,6,3
COD,0,3,1,0,0,0,0,4,0,0,11,3,0,2,91,6,4,2,0,2,0,0,0,2,0,0,5,0,0,0,4,1,10,24,4,7,9,20,0,5,0,5,0,0,0,0,0,0,1,3,23,0,0,6,0,0,2,4,0,7,2,6,4,0,32,0,7,42,2,8,0,2,1,0,0,2,0,0,5,1,0,0,0,1,1,2,13,0,2,2,2,2,12,0,2,9,0,17,0,2,0,0,2,0,1,2,0,0,1,0,4,2,0,5,0,2,0,1,2,0,3,0,0,3,0,1,0,0,2,0,0,0,3,5,2,2,0,11,0,0,9,4,0,0,2,1,6,5,3,4,0,1,1,0,2,0,1,2,1,3,4,2,2,3,4,0,2,0,0,0,1,0,0,0,1,0,5,0,0,1,0,0,6,0,0,0,0,0,1,2,0,5,6,15,1,1,63,0,0,0,0,0,5,0,0,0,0,27,7,1
COG,0,0,1,0,0,0,1,1,0,0,3,1,0,2,16,2,5,0,1,0,0,0,0,0,0,0,7,0,0,0,0,6,7,22,1,0,2,10,5,0,0,1,0,0,1,0,0,0,0,0,13,0,0,3,0,0,0,4,0,1,0,5,0,0,34,0,8,26,0,8,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,4,0,0,5,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,14,0,0,6,2,0,0,3,0,0,1,1,4,0,0,1,0,1,0,0,0,0,4,2,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0,3,0,1,0,0,3,1,0,0,0,0,0,4,0,0,2,4,10,0,1,40,0,0,0,0,1,0,0,0,0,0,19,6,7
COK,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,0,0,0
COL,0,4,0,0,0,0,9,275,170,0,226,194,83,0,181,4,4,9,97,4,1,0,161,4,1,23,594,4,2,0,4,0,261,234,287,275,5,8,5,1,0,0,0,0,45,35,0,1,84,210,412,0,2,130,3,3,71,94,0,816,85,7,111,2,416,0,2,517,171,7,0,0,2,0,0,182,0,0,8,4,3,12,85,0,170,10,240,110,111,11,4,125,323,2,6,150,1,18,1,3,0,0,142,4,1,16,0,1,2,0,83,0,83,5,0,94,0,1,2,0,421,0,3,2,1,1,0,2,4,0,0,0,4,111,1,6,1,21,7,0,212,118,1,0,113,7,103,36,76,18,0,5,202,0,226,11,3,75,112,220,3,65,5,1,21,0,2,8,0,0,171,0,0,1,93,86,157,0,0,1,0,0,99,0,0,0,0,2,4,197,0,181,7,8,109,37,1078,4,0,0,0,102,14,0,0,0,0,141,4,4
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,8,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,1,32,3,0,39,11,0,0,21,0,0,1,3,1,1,2,1,1,1,6,84,2,0,0,1,0,53,22,18,18,1,0,0,1,0,45,0,0,0,5,0,1,2,9,73,0,1,18,6,1,13,4,0,87,1,2,11,0,59,0,1,53,1,1,0,0,1,0,0,9,0,0,14,1,1,7,6,0,6,6,11,7,5,0,0,6,38,2,2,25,1,13,1,1,0,1,7,2,0,4,0,1,0,0,1,0,3,1,0,5,0,0,1,0,69,0,3,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,10,0,27,11,0,0,5,2,3,26,13,5,0,4,9,0,11,3,0,0,2,13,0,10,1,1,7,0,0,9,0,0,2,0,0,0,3,3,33,0,0,0,0,0,5,0,0,0,0,4,1,5,0,10,4,1,3,8,263,1,0,0,0,14,3,1,0,0,1,8,1,0
CUB,0,0,1,0,0,0,1,43,24,1,14,16,0,0,56,1,1,1,2,0,2,0,1,1,0,1,166,2,0,0,1,0,38,45,30,62,1,0,0,0,0,35,0,0,5,0,0,1,1,29,81,0,2,35,5,1,15,4,0,250,1,0,29,0,72,0,0,83,1,3,0,0,1,0,0,26,1,0,1,0,1,2,25,0,30,1,33,1,3,0,0,7,87,2,1,36,0,2,0,2,0,1,30,4,0,1,0,0,1,0,0,0,2,1,0,2,2,1,1,0,159,0,3,0,3,0,0,2,0,0,0,1,0,11,0,0,0,2,1,0,49,33,0,0,6,0,25,1,31,2,0,0,29,0,25,2,0,1,26,32,0,7,3,0,4,0,0,6,0,0,22,0,0,1,29,2,28,0,0,0,0,0,27,0,0,0,0,3,2,32,0,1,1,2,24,10,112,0,0,0,1,15,7,0,0,0,1,26,1,0
CUW,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYM,1,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,4,0,0,0,0,2,0,0,0,0,0,1,0,0
CYP,0,2,0,1,0,0,4,8,79,0,35,101,2,0,135,1,0,2,93,3,0,3,79,2,0,1,89,0,0,0,2,0,58,121,7,103,1,2,1,0,0,84,0,0,2,1,0,0,0,121,225,0,0,36,1,5,1,87,0,179,121,3,110,1,160,0,0,303,82,1,0,0,0,0,0,384,0,3,0,0,0,1,96,0,124,2,88,103,91,1,10,33,212,0,6,18,3,1,2,0,0,0,85,1,0,9,0,1,1,1,80,0,96,13,10,3,0,5,0,0,81,0,5,1,9,0,0,1,0,0,0,0,0,57,0,2,0,2,0,0,47,19,0,0,82,4,86,2,3,3,0,1,123,0,127,0,1,75,45,114,2,47,1,1,8,0,0,1,0,0,98,0,0,0,17,22,83,0,0,0,0,0,79,0,0,0,0,0,6,169,0,87,0,2,89,3,275,3,0,0,0,2,4,0,0,0,1,9,1,0
CZE,0,0,0,6,0,0,17,184,204,0,442,779,86,0,564,1,1,2,192,1,0,11,183,0,0,12,397,0,3,0,0,6,482,822,148,570,2,12,3,0,0,210,0,0,9,29,0,0,121,0,2015,1,0,439,0,28,25,134,0,1021,168,8,404,1,1398,0,2,1687,173,3,0,0,0,0,0,488,0,6,5,2,1,0,264,0,512,10,470,242,147,2,25,263,1295,1,10,523,11,14,2,2,0,0,290,10,3,8,0,4,0,1,76,0,159,24,45,95,1,11,0,0,226,0,17,0,9,0,4,6,2,0,0,1,0,197,18,1,0,6,1,0,730,395,3,0,148,9,142,5,40,10,0,8,1041,0,444,3,0,83,296,741,1,126,7,1,86,0,0,1,0,0,285,0,0,0,1008,258,630,0,0,2,0,0,138,0,0,0,0,0,19,378,0,251,5,2,277,16,1993,13,0,1,0,12,20,0,0,1,3,229,4,4
