,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ABW,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,0,0,4,0,2,2,0,4,4,0,0,34,10,0,0,8,0,0,2,16,2,0,0,0,0,2,0,4,8,0,0,6,0,2,10,14,4,26,2,4,2,4,0,2,0,0,2,0,0,0,2,4,16,0,0,8,0,0,2,20,0,12,4,8,2,0,0,14,0,0,2,38,2,0,0,0,4,2,0,2,0,0,2,0,0,2,4,2,2,14,40,6,38,6,4,4,8,0,10,82,4,2,2,2,0,0,0,0,2,8,2,0,0,0,6,0,2,2,2,0,10,0,0,0,2,6,0,0,2,2,4,0,0,2,0,0,0,0,10,0,0,2,6,0,0,14,2,6,0,4,4,38,2,4,6,0,2,2,0,6,0,4,0,0,2,4,2,6,8,2,4,0,0,0,0,2,0,0,2,0,0,0,4,2,8,0,0,0,2,0,0,0,18,2,0,0,0,0,4,18,0,2,2,4,0,2,66,2,0,0,2,0,20,0,0,0,2,4,0,0
AGO,0,4,0,0,2,2,0,4,6,0,0,6,8,0,0,18,2,0,2,2,2,0,0,0,0,2,0,2,36,0,0,0,2,2,18,16,14,8,6,0,12,4,0,4,0,8,2,6,0,0,0,2,38,0,0,6,2,0,14,4,0,28,2,4,10,0,0,30,0,0,2,44,2,2,0,0,2,10,0,2,0,0,4,4,0,4,2,2,2,6,8,6,2,0,2,2,20,2,0,4,0,10,0,4,0,0,2,0,4,0,2,0,0,0,2,2,2,2,2,0,2,0,0,0,0,10,0,0,4,2,2,0,0,14,0,0,0,2,2,20,0,2,10,2,0,12,8,0,0,2,2,2,6,4,2,0,2,4,0,128,2,2,0,0,4,4,4,4,2,6,2,0,0,0,0,4,0,0,2,2,6,2,2,2,6,2,0,0,0,0,0,0,6,0,0,0,0,2,2,2,0,2,4,14,2,6,46,0,0,0,6,0,2,0,0,0,0,50,4,2
AIA,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,2,2,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,4,0,2,0,2,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,6,2,2,2,0,0,2,2,2,2,0,4,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,2,2,0,0,6,0,0,4,2,4,0,2,0,2,0,2,2,0,0,2,0,2,2,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,0,10,0,0,2,0,2,2,0,0,0,0,2,2,0
ALB,0,2,2,0,0,2,0,10,20,12,0,32,48,6,2,48,8,0,2,4,60,2,0,44,20,2,0,4,28,4,6,0,6,0,30,64,24,44,6,8,4,2,0,16,0,2,10,2,0,0,22,42,92,0,0,40,4,10,18,30,0,100,30,8,44,4,0,86,2,0,0,162,26,12,0,0,4,0,0,86,0,2,6,0,0,2,84,2,44,12,30,38,16,6,14,42,274,6,14,42,10,12,6,4,0,2,14,4,2,8,0,6,0,0,8,0,42,18,36,0,22,2,20,2,0,22,0,56,0,28,4,50,2,4,0,0,2,4,20,2,0,0,18,6,2,58,38,6,0,12,10,24,10,14,14,0,0,74,0,54,6,10,0,0,58,56,2,20,4,10,16,0,0,2,0,4,6,0,64,0,0,0,34,72,44,2,0,2,2,0,4,4,14,8,4,0,4,2,22,88,2,16,6,6,24,8,104,2,0,0,10,0,10,2,2,52,2,28,8,4
AND,0,2,2,0,2,0,0,2,4,0,0,6,10,0,0,8,0,0,0,0,8,0,0,2,2,2,0,4,6,0,0,0,0,0,8,14,4,4,2,0,2,0,0,4,0,0,4,0,0,0,4,8,14,0,0,6,0,0,4,4,0,50,6,0,8,0,0,18,0,0,0,24,2,0,0,0,0,0,0,10,0,0,2,2,0,2,4,0,6,4,4,6,4,2,4,4,10,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,4,4,0,2,0,0,0,0,4,0,2,0,4,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,8,10,0,0,4,2,2,4,4,2,0,0,10,0,8,0,2,0,0,10,8,0,4,0,2,4,0,0,0,0,2,0,0,6,0,0,0,6,6,10,0,0,0,0,0,0,0,2,0,0,0,0,0,4,6,0,4,0,0,4,2,14,0,0,0,2,0,2,0,0,0,0,4,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,4,4,2,10,2,0,0,302,220,0,930,380,212,0,226,22,0,10,86,110,84,2,12,220,4,2,6,466,4,8,2,14,0,1192,504,322,1406,2,30,20,2,0,322,0,2,16,4,0,0,36,292,842,0,0,398,2,184,22,772,0,648,36,58,206,4,0,828,2,4,4,2186,236,32,0,4,10,0,0,546,2,2,2,0,0,2,80,0,310,60,884,138,314,138,32,342,830,16,446,552,38,36,26,0,0,0,484,172,0,214,6,18,2,2,26,0,34,16,22,0,312,2,12,0,0,114,0,20,0,26,8,10,10,20,2,0,6,4,474,4,2,4,68,6,2,554,366,38,0,136,214,700,22,34,64,0,4,412,0,428,28,106,0,236,306,458,4,1108,32,14,186,0,0,2,0,6,0,2,330,2,0,2,238,252,500,4,0,2,16,0,2,8,50,4,0,0,4,14,216,446,2,330,10,18,58,16,2822,8,0,0,14,0,96,2,2,6,42,450,12,8
ARG,0,4,6,0,20,4,0,302,0,234,0,1384,660,212,2,746,20,0,10,78,182,12,2,36,238,2,2,114,2836,16,12,4,18,0,1518,1004,1540,978,10,46,26,2,2,1188,0,6,196,118,0,0,38,610,2332,0,0,706,42,52,362,168,0,3296,104,58,302,12,4,2168,2,4,2,2636,274,44,0,2,16,2,0,520,4,2,96,14,2,28,154,6,460,70,576,208,198,32,38,584,1882,16,50,880,24,84,28,6,0,2,310,44,0,54,8,2,0,2,50,0,126,40,88,0,258,2,22,8,2,1244,0,50,4,66,2,16,16,38,0,0,6,18,168,12,8,4,94,32,2,1104,520,34,0,304,30,100,104,522,118,0,0,750,2,722,130,76,0,34,456,682,18,172,22,26,222,0,0,2,0,30,2,0,400,0,0,6,342,384,826,2,0,4,20,0,2,12,166,2,0,0,4,12,82,574,2,392,20,40,142,680,5022,4,10,0,252,0,84,2,6,6,4,748,24,18
ARM,0,0,0,0,12,0,0,220,234,0,0,502,678,386,0,296,4,0,2,22,352,2,0,14,496,4,0,2,678,0,0,0,0,0,276,758,252,734,0,4,2,2,0,482,0,0,8,158,0,0,260,672,866,0,0,422,0,12,252,282,0,556,270,2,448,2,0,804,2,0,0,1050,518,10,0,0,4,0,0,668,2,0,0,0,0,0,444,0,640,182,474,296,296,4,10,268,772,2,10,474,30,8,14,0,0,0,488,12,0,8,0,4,0,2,168,0,258,12,256,0,216,0,20,0,0,434,0,10,0,16,4,48,4,2,0,0,0,2,288,18,0,0,10,4,2,438,422,14,0,258,6,436,4,160,18,0,0,736,0,516,2,68,0,226,402,1008,0,220,2,4,22,0,0,0,2,2,2,0,494,0,0,2,388,240,434,4,0,0,2,0,2,2,426,6,0,0,2,2,10,668,2,480,0,4,486,14,924,72,0,0,24,0,8,2,4,10,0,416,4,2
