,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VGB,VNM,VUT,XKX,YEM,ZAF,ZMB,ZWE
NZL,0,0,2,0,0,18,76,66,0,2682,254,0,0,350,2,2,4,76,2,0,4,64,0,2,2,210,12,4,0,0,0,890,428,96,620,0,0,0,0,0,102,0,0,4,4,0,66,80,904,0,0,228,0,2,6,52,0,336,80,6,206,28,682,2,0,2408,64,6,0,14,0,0,108,0,2,2,0,0,0,72,0,122,38,170,256,134,2,10,106,494,2,2,388,0,18,0,2,0,202,4,8,22,0,0,0,0,6,0,72,8,4,2,4,0,4,0,130,0,0,0,2,0,0,8,0,0,4,8,0,76,0,32,0,30,2,436,148,6,0,0,120,8,6,14,0,10,178,0,122,4,0,10,22,138,0,34,0,2,232,0,0,2,0,0,76,0,0,24,14,306,0,0,0,0,0,0,90,2,0,2,4,4,94,148,12,4,70,8,3148,0,0,0,14,0,16,2,0,0,162,4,0
OMN,0,2,0,0,0,64,8,0,0,28,2,2,0,0,0,0,6,0,16,0,0,0,0,0,0,8,0,0,0,0,0,40,16,0,12,0,0,0,0,0,2,0,0,0,0,0,0,4,48,0,0,2,0,4,0,42,0,6,0,0,4,0,54,0,0,94,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,104,4,32,4,0,2,22,0,18,16,0,0,0,0,0,6,32,0,22,0,2,0,0,2,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,38,0,2,0,4,0,14,2,0,0,0,26,0,0,4,0,0,0,0,12,0,0,18,2,8,0,42,8,0,6,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,0,2,0,0,0,0,24,4,0,0,0,0,0,120,0,0,0,0,0,0,0,0,16,10,0,0
PAK,4,0,0,0,0,16,28,64,0,120,148,12,0,94,2,2,42,74,4,0,0,66,0,0,0,110,0,4,2,4,0,212,134,2,464,0,16,8,0,0,76,0,0,6,4,0,66,38,384,0,0,18,0,8,4,68,0,96,70,0,80,0,190,0,2,668,92,4,0,4,0,0,86,0,0,10,0,0,2,90,0,88,26,216,68,176,6,0,8,178,0,14,100,2,10,6,0,0,264,48,2,14,0,0,0,0,20,0,72,0,2,36,0,2,2,0,86,0,4,2,0,2,0,12,4,0,0,0,2,154,0,0,0,18,0,66,16,18,120,26,0,4,12,24,2,0,92,0,92,0,0,12,86,88,0,352,18,2,42,0,0,12,0,0,82,0,0,8,4,82,0,0,16,0,0,0,34,30,0,0,0,22,232,88,4,12,66,0,816,10,0,0,4,0,16,0,0,0,54,12,0
PAN,0,0,0,0,0,0,24,0,0,46,8,0,0,12,0,0,0,0,0,0,0,0,0,2,10,68,2,0,0,0,0,54,30,22,22,0,4,2,0,0,66,0,0,52,16,0,0,10,94,0,2,2,4,0,14,2,0,70,0,0,6,0,28,0,0,84,0,0,0,0,0,0,2,0,0,10,0,0,16,0,0,0,2,12,2,2,0,0,0,8,0,4,16,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,2,0,0,6,0,0,2,0,40,0,6,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,10,26,2,0,8,0,4,0,8,6,0,2,2,0,2,2,0,0,0,4,0,0,0,2,8,0,0,18,0,0,4,0,0,0,4,10,0,0,0,0,0,0,4,0,0,0,4,4,8,6,0,0,0,2,362,0,0,0,26,0,2,0,0,0,0,0,0
PER,0,0,0,0,0,4,130,16,0,50,18,2,0,66,0,0,8,2,0,0,2,0,0,0,48,218,0,0,0,0,2,80,72,110,68,0,4,2,0,0,82,0,0,26,36,0,0,32,112,0,0,34,6,2,42,6,0,172,4,0,32,0,126,0,0,218,4,2,2,0,0,0,20,0,0,14,6,0,10,26,2,24,4,72,4,2,0,4,10,66,2,4,60,0,16,2,2,0,32,2,0,14,0,0,0,0,2,0,2,2,4,8,0,2,2,0,138,0,6,2,0,2,0,0,2,2,0,0,2,2,0,2,0,8,10,52,28,2,6,0,12,8,0,28,0,0,28,0,20,16,0,0,22,34,0,4,2,2,8,0,0,12,0,0,8,0,0,16,4,30,0,0,0,0,0,0,18,0,0,0,0,4,14,12,10,12,20,14,782,2,0,0,52,0,2,0,0,0,46,6,4
PHL,0,0,0,0,0,4,28,0,0,154,4,0,2,28,4,0,26,2,0,0,2,0,0,2,2,48,0,2,0,0,2,32,46,18,180,0,2,4,0,0,26,0,0,12,10,0,0,6,98,0,0,16,0,2,6,6,0,28,0,0,12,2,82,0,0,154,0,6,0,4,0,0,12,0,0,4,0,0,2,2,2,0,72,120,10,16,0,2,6,34,0,4,290,0,18,0,20,0,96,2,6,8,0,0,0,0,12,0,6,0,0,8,0,2,4,0,36,0,6,4,0,8,0,2,8,0,0,0,2,108,0,2,0,12,4,50,4,6,14,4,24,6,28,0,0,6,14,0,6,2,0,0,4,10,0,8,0,4,70,4,2,6,0,0,4,0,0,0,2,26,0,0,2,0,0,0,104,0,0,0,0,6,12,110,8,12,2,2,456,0,0,0,12,0,50,2,0,0,26,2,0
PLW,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
PNG,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,34,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,8,0,0,2,4,6,0,0,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,4,0,0,6,0,2,0,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,2,0,0,0,2,0,2,10,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,4,6,0,0,0,64,0,0,0,0,0,4,0,0,0,0,0,0
POL,0,0,0,0,0,18,184,182,0,726,910,36,0,1230,0,2,10,342,0,0,4,266,0,0,12,426,0,2,0,0,0,1028,1166,212,662,0,0,0,0,0,134,0,2,14,30,0,112,1170,4284,0,0,698,0,36,4,58,0,1810,238,2,618,0,3058,2,2,3246,134,4,0,0,0,0,666,10,8,6,0,0,2,288,0,702,14,566,344,122,2,40,390,2220,2,4,838,36,12,2,0,0,444,10,0,16,0,2,0,2,0,0,260,32,88,50,4,42,4,0,262,0,26,0,10,0,22,36,8,0,0,0,0,66,12,6,0,2,2,1372,510,4,178,0,92,2,28,14,0,0,0,2,540,2,0,12,438,1302,0,58,2,0,118,0,0,0,0,0,264,0,0,440,344,1116,0,0,4,0,0,0,52,0,0,0,2,36,356,316,4,6,850,12,4420,12,8,0,24,0,36,0,0,2,212,0,0
PRK,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PRT,0,22,2,0,2,26,190,112,0,394,436,42,0,726,0,4,6,124,0,0,2,120,0,4,12,1326,0,0,0,2,0,446,702,180,390,0,0,4,0,0,144,0,14,2,52,0,100,356,1916,0,0,446,0,10,10,58,2,3196,100,2,324,0,2036,0,0,2598,116,6,4,2,2,2,454,0,0,2,4,0,2,146,0,286,2,298,274,120,0,22,224,1464,2,2,316,0,6,2,2,0,186,8,0,6,0,6,0,0,2,0,100,24,22,112,4,4,8,0,236,0,2,0,16,0,0,2,36,4,0,2,2,30,2,14,0,14,0,946,340,0,122,12,92,2,20,6,0,2,540,0,0,8,0,2,226,448,0,34,0,8,32,0,0,2,0,0,162,6,0,94,160,646,2,4,2,0,0,0,34,0,0,0,0,76,254,156,10,2,110,16,2558,14,2,0,44,0,26,0,0,0,142,2,0
PRY,0,0,0,0,0,0,50,0,0,6,0,0,0,4,0,0,2,0,0,0,2,0,0,0,8,48,0,0,0,0,0,12,8,18,2,0,0,2,0,0,18,0,0,4,8,0,0,2,0,0,0,4,4,2,8,0,0,28,0,0,4,0,12,0,0,12,0,0,0,0,0,0,2,0,0,6,4,0,6,2,0,0,0,4,0,0,0,0,8,6,0,0,4,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,0,0,4,0,0,2,16,2,0,0,2,0,8,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,6,2,2,0,2,0,12,80,0,0,0,20,0,0,0,0,0,4,0,0
PSE,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,26,6,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
QAT,0,0,0,0,0,46,2,0,0,52,4,0,0,22,0,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,0,74,34,6,44,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,8,0,0,0,32,0,44,0,0,8,0,80,0,0,154,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,18,4,8,4,0,8,26,0,18,10,0,0,0,0,0,14,38,0,14,0,0,0,0,0,0,0,0,2,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,8,0,10,18,12,0,0,0,0,0,12,0,2,0,2,0,4,2,0,28,0,0,10,0,0,0,0,0,8,0,0,2,0,8,0,0,2,0,0,0,0,0,0,0,0,24,12,2,0,0,4,0,220,0,0,0,2,0,0,0,0,14,12,0,0
ROU,0,0,2,0,0,8,80,86,0,162,282,36,0,368,0,0,2,172,0,0,10,58,0,0,0,154,0,0,0,0,0,276,316,70,244,0,12,2,0,0,56,0,0,6,32,0,20,268,1152,0,0,206,0,28,0,44,0,526,56,0,138,0,1348,0,0,786,46,2,0,0,0,0,308,4,0,0,0,0,0,106,0,450,4,170,106,72,6,22,156,958,0,8,252,4,4,2,0,0,104,6,0,20,0,2,0,0,2,0,62,14,30,48,2,46,0,0,94,0,16,0,12,0,30,22,2,0,0,0,0,62,0,0,0,16,0,370,162,0,22,2,86,0,22,4,0,0,438,0,226,0,0,4,0,388,0,18,0,0,28,0,0,2,0,0,172,0,0,186,130,278,0,0,2,0,0,2,10,0,0,0,0,14,254,90,0,0,74,0,1028,2,0,0,2,0,12,0,0,0,84,0,0
RUS,2,2,0,0,0,26,218,294,0,590,692,106,0,768,0,2,2,312,0,0,0,498,0,0,0,600,0,2,0,0,0,984,1224,138,1234,2,8,0,0,0,178,0,0,14,46,0,96,840,5568,0,0,376,2,34,60,60,0,1376,214,10,1062,0,3324,0,2,3064,168,4,0,2,0,0,506,0,8,0,0,0,0,226,0,526,10,690,326,134,4,38,576,2040,0,10,1540,126,10,40,2,0,780,8,2,12,0,0,0,0,0,0,176,0,66,58,0,80,2,0,428,0,16,0,4,0,32,82,2,0,0,0,0,54,0,0,0,0,0,1062,594,0,138,8,88,4,34,10,0,0,1302,2,448,6,0,2,388,0,4,16,0,0,92,0,0,2,0,0,220,0,2,436,180,1052,0,0,4,0,0,0,52,18,4,0,0,24,378,576,10,0,1156,6,5512,92,0,0,10,0,82,0,0,2,198,0,2
RWA,0,0,0,0,0,0,0,0,0,8,0,0,4,48,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,0,0,0,4,4,2,0,2,0,0,0,2,0,0,0,6,0,0,0,2,0,0,0,0,2,0,4,0,0,10,0,0,20,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,6,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,10,20,0,0,78,0,0,0,0,0,2,0,0,0,12,16,2
SAU,0,0,0,0,0,96,20,2,0,148,54,0,0,36,0,0,20,12,40,0,2,2,0,0,0,58,0,4,0,0,0,394,74,12,278,0,0,0,0,0,8,0,0,2,0,0,2,40,340,0,0,42,0,140,0,1140,2,152,8,12,36,0,232,0,0,546,2,0,0,2,0,0,66,0,0,0,0,0,0,4,2,14,14,378,44,42,8,4,32,124,2,90,132,0,2,2,0,2,138,74,12,30,2,22,0,0,2,0,0,2,2,46,2,0,0,0,44,0,0,0,0,0,0,0,0,0,0,4,0,172,2,2,0,8,0,90,12,2,34,42,352,0,4,8,0,0,58,0,34,0,2,28,18,16,0,0,44,2,106,0,0,2,0,0,20,0,0,4,4,68,0,0,10,0,0,0,70,0,0,0,0,120,136,50,0,4,12,6,1152,0,0,0,4,0,4,0,0,10,78,0,0
SDN,0,0,0,0,0,6,0,0,0,12,10,2,2,6,0,0,2,0,20,0,2,0,0,0,0,6,0,0,0,2,0,12,24,0,24,2,4,2,4,0,0,0,0,0,0,0,2,4,60,0,0,6,0,2,0,40,0,8,2,16,2,0,24,0,0,76,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,18,6,2,2,0,0,22,0,8,34,0,22,0,0,0,0,6,0,0,0,2,0,0,2,0,0,0,0,4,0,0,2,0,2,0,2,2,2,2,0,0,6,0,0,0,0,40,0,0,0,8,0,46,10,0,0,8,18,0,2,0,0,0,2,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,6,0,0,0,8,0,0,0,0,8,6,2,6,20,0,0,112,0,0,0,0,0,0,0,0,6,26,2,0
SEN,0,8,0,0,0,0,0,0,0,18,12,0,0,36,30,50,6,0,0,0,0,0,0,0,0,20,0,0,0,2,4,20,14,6,10,26,32,2,2,0,0,0,0,0,0,0,0,4,16,0,0,10,0,4,2,4,0,12,2,6,2,0,328,0,4,64,0,14,8,12,0,0,2,0,0,2,2,0,0,0,2,0,4,2,2,2,0,2,0,32,0,0,0,2,22,0,4,0,6,0,2,2,0,0,0,0,2,0,0,8,0,6,2,0,0,0,8,0,0,30,0,0,0,0,2,10,0,0,6,2,0,0,10,14,0,12,4,0,2,0,2,2,2,4,0,0,0,0,8,0,0,0,0,0,0,2,0,0,6,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,0,0,8,4,2,16,8,0,4,116,0,0,0,0,0,2,0,0,0,20,6,8
SGP,0,0,0,0,0,60,28,0,0,1376,106,0,0,142,2,0,12,12,2,0,2,8,0,0,0,130,0,6,0,0,0,626,262,18,4020,0,2,2,0,0,10,0,0,6,6,0,0,54,702,0,0,138,0,4,2,24,0,236,16,0,150,6,536,0,0,1422,0,2,0,6,0,0,76,0,0,2,0,0,0,26,0,26,98,460,94,84,0,30,144,298,0,10,722,0,6,2,12,0,536,4,2,6,0,2,0,0,12,0,10,0,4,0,0,0,2,0,48,0,0,2,0,2,0,4,2,0,2,2,8,368,0,2,0,2,0,292,92,4,232,6,42,8,8,70,0,6,118,0,32,0,0,10,28,92,0,106,0,6,0,0,0,0,0,0,2,0,0,20,14,264,0,0,8,0,0,0,158,0,0,0,0,4,70,414,4,4,10,4,3764,2,0,0,4,0,76,0,0,0,26,0,0
SLB,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
SLE,0,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,18,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
SLV,0,0,0,0,0,0,8,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,8,4,6,4,0,0,0,0,0,10,0,0,32,6,0,0,4,4,0,0,2,12,0,8,0,0,20,2,0,0,0,8,0,0,8,2,0,0,0,0,0,2,0,0,26,0,0,24,2,0,0,0,6,0,0,0,0,2,8,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,2,6,0,0,0,0,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,2,0,12,18,12,6,0,0,0,0,2,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,0,0,2,54,0,0,0,4,0,2,0,0,0,0,0,0
SMR,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
SOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,0,0,4,0,0,12,54,130,0,90,292,36,0,216,0,0,0,140,0,0,236,112,0,0,0,148,0,0,0,0,0,142,262,64,204,0,2,0,0,0,108,0,0,4,12,0,84,160,582,0,0,128,0,6,2,48,0,332,84,0,144,0,392,0,0,556,108,2,0,0,0,0,280,0,0,0,0,0,0,244,0,210,2,120,74,108,8,4,90,520,0,4,172,4,6,0,0,0,88,6,0,8,0,2,0,0,0,0,102,6,36,50,0,6,0,0,108,0,78,0,4,0,146,20,0,0,0,0,0,10,0,0,0,2,0,176,90,0,76,0,82,4,8,4,0,0,264,0,162,0,0,8,172,220,0,20,2,0,2,0,0,4,0,0,0,0,0,120,266,176,0,0,2,0,0,0,14,0,0,0,0,10,180,110,2,0,92,0,596,0,0,0,4,0,2,0,4,0,24,0,0
STP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUR,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
SVK,0,0,0,0,0,0,92,86,0,134,486,36,0,158,0,0,2,112,0,0,4,64,0,0,0,104,0,0,0,0,0,264,332,50,160,0,0,0,0,0,46,0,0,6,36,0,10,1212,936,0,0,152,0,12,6,18,0,416,52,0,234,0,562,0,0,700,42,0,2,0,0,0,274,0,0,0,0,0,0,92,0,282,0,100,46,24,0,10,82,508,0,0,262,4,2,0,4,0,152,12,2,2,0,0,0,0,0,0,32,12,26,52,8,0,0,0,70,0,10,2,4,0,20,20,0,0,0,0,0,10,0,0,0,0,0,262,150,0,24,0,8,0,16,0,0,0,440,0,94,0,0,2,186,436,0,4,0,0,20,0,0,0,0,0,120,0,0,0,128,224,0,0,0,0,0,0,18,0,0,0,0,4,116,140,0,0,174,2,692,2,0,0,4,0,4,0,0,0,72,0,0
SVN,0,0,2,0,0,2,80,40,0,202,378,38,0,192,0,0,0,52,0,0,66,46,0,0,6,104,0,0,0,2,0,142,276,46,204,0,0,0,0,0,46,0,0,2,6,0,18,310,744,0,0,148,0,4,2,14,0,324,54,0,94,0,458,0,0,600,40,0,0,0,0,0,152,0,0,0,0,0,0,360,0,192,0,98,46,14,0,12,116,586,0,2,222,0,0,0,0,0,92,2,0,8,0,0,0,2,0,0,50,14,32,42,0,2,0,0,34,0,46,0,14,0,6,2,0,0,0,0,0,8,2,0,0,8,0,280,144,0,14,0,4,4,4,2,0,0,344,0,160,6,0,0,130,180,0,4,0,0,14,0,0,2,0,0,266,0,0,128,0,172,0,0,0,0,0,0,12,2,0,0,0,4,120,104,2,0,60,2,756,0,0,0,8,0,16,2,0,0,24,0,0
SWE,2,0,4,0,0,56,316,106,0,1666,1286,36,0,1528,10,28,110,114,8,0,2,76,0,0,30,578,12,2,0,10,0,1992,1858,246,1968,2,16,8,2,0,142,0,0,12,30,0,38,766,5864,0,0,3092,0,16,68,98,0,2798,382,64,2508,2,3652,0,0,7120,54,42,0,10,22,0,778,8,18,4,6,0,10,156,0,594,46,608,738,270,6,364,488,3334,0,22,1296,6,64,2,2,0,366,16,8,10,0,4,0,0,42,0,182,70,104,70,6,12,4,2,226,0,16,22,12,2,20,26,22,0,0,8,6,62,16,2,6,36,32,2900,2460,12,306,10,82,10,30,26,0,0,1116,2,646,2,0,8,278,1052,0,68,22,2,264,0,0,0,0,0,176,0,0,224,172,0,2,2,6,0,0,0,180,2,0,0,6,12,350,240,92,80,200,44,8478,2,2,0,16,0,138,2,0,2,464,4,8
