,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
CZE,0,0,0,0,0,5,42,31,0,109,234,1,0,210,0,1,3,63,0,0,0,10,0,0,2,112,0,0,0,0,0,175,265,11,109,1,0,0,0,0,27,0,0,2,1,0,4,0,1005,0,0,93,0,2,28,9,0,271,17,2,114,0,632,0,0,646,5,1,0,0,0,0,0,139,0,0,0,0,0,0,45,0,132,1,79,84,9,1,2,68,442,0,6,212,4,1,1,0,0,0,66,3,0,2,0,2,0,0,1,0,11,5,10,7,1,2,1,0,64,0,3,1,2,0,8,0,0,0,0,0,0,3,13,3,0,1,0,282,72,2,21,0,1,3,4,0,0,0,393,0,96,0,0,2,66,322,0,7,0,0,8,0,0,0,0,0,25,0,0,386,80,237,1,0,0,0,0,8,0,0,0,1,5,40,0,17,2,0,45,1,899,6,0,0,0,1,5,0,0,1,0,39,0,0
DEU,2,2,5,2,4,35,299,106,0,1512,2511,14,0,1646,4,26,17,355,1,0,30,145,1,0,12,811,0,2,1,6,0,2133,4043,313,1789,10,55,2,2,0,79,0,0,27,56,0,30,1005,0,0,0,1274,1,24,38,176,1,2665,61,34,929,2,5109,0,32,7006,54,29,0,2,6,0,0,782,0,2,2,0,1,0,170,1,753,45,839,472,136,6,42,881,3957,1,50,2046,11,56,5,3,0,0,509,7,0,23,0,8,0,7,12,0,131,55,63,39,11,30,10,0,271,0,12,1,8,4,10,12,1,0,0,1,3,40,22,3,3,43,2,3646,726,15,301,10,79,24,32,20,0,1,1664,0,592,3,4,7,378,2732,1,30,19,4,177,1,0,0,0,0,153,0,0,348,198,1947,1,0,12,1,1,93,3,0,2,2,20,410,0,266,21,27,458,16,13213,40,0,0,0,44,51,0,0,5,0,348,1,3
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,2,0,5,44,2,0,289,204,0,0,337,3,1,6,31,2,0,1,3,0,2,1,106,0,0,0,1,0,385,353,47,174,0,3,2,0,0,6,0,0,4,5,0,3,93,1274,0,0,0,0,0,2,4,0,485,24,5,384,0,701,0,1,1469,1,11,0,0,3,12,0,142,0,24,2,1,0,0,24,0,82,6,70,128,14,0,77,143,609,0,1,229,2,20,0,0,0,1,44,2,1,3,0,0,0,0,6,0,30,8,9,3,3,1,1,0,30,0,15,1,4,0,1,0,1,0,0,1,5,8,1,1,0,4,2,648,591,2,61,1,1,4,4,4,0,0,201,1,129,1,0,0,37,163,0,4,7,3,42,0,0,0,0,0,25,0,0,24,34,1060,0,0,1,0,0,18,0,0,0,1,4,39,0,17,37,14,29,1,1764,2,0,0,0,2,7,0,0,1,0,68,4,9
DOM,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,3,0,0,3,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,8,3,0,0,3,2,0,0,18,1,1,0,3,1,0,0,0,0,0,0,3,0,0,0,0,0,22,12,2,4,1,1,0,0,0,1,0,0,0,0,0,4,2,24,0,0,0,0,0,0,6,0,31,2,0,3,0,522,0,0,25,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,2,24,0,5,6,0,1,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,1,4,1,0,2,1,0,0,7,0,5,0,0,1,5,4,0,27,0,1,0,0,0,0,0,0,2,0,0,1,0,7,0,0,1,0,0,1,0,0,0,0,15,4,0,2,0,0,1,0,32,0,0,0,0,0,2,0,0,0,0,4,0,1
ECU,0,0,0,0,0,0,35,0,0,4,4,0,0,17,0,0,0,0,0,0,0,1,0,0,8,45,1,0,0,0,0,44,33,12,30,0,1,1,0,0,34,0,0,5,2,0,0,28,38,0,0,2,1,0,0,1,0,10,0,0,0,0,41,0,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,30,26,0,0,0,0,11,0,0,5,0,0,0,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,30,0,0,0,0,0,4,12,1,0,0,1,0,1,4,0,0,0,26,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,94,0,0,0,0,5,1,0,0,0,0,2,0,0
EGY,0,0,1,0,0,24,2,1,0,20,24,2,0,28,0,0,1,6,4,0,2,1,0,0,0,9,0,0,0,0,0,79,25,2,44,0,3,0,4,0,0,0,0,0,0,0,2,9,176,0,0,4,0,6,1,0,1,50,0,1,8,0,94,0,1,109,1,9,0,1,0,0,0,11,0,0,0,0,0,0,2,0,8,6,34,10,4,1,1,7,58,0,5,126,1,9,0,0,0,0,25,17,1,16,0,7,0,0,0,0,0,0,0,8,0,1,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,8,1,0,0,5,0,34,0,1,11,4,5,0,3,1,0,1,17,0,4,0,0,14,2,11,0,118,5,0,4,0,0,1,0,0,6,0,0,5,5,23,0,0,6,0,0,2,0,0,0,0,6,26,0,16,2,0,3,2,383,3,0,0,0,1,4,0,0,6,0,12,0,5
ERI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1
