,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
ESP,0,1,2,7,0,5,527,17,1,387,462,2,0,798,0,2,6,89,0,0,2,21,0,0,9,501,0,1,0,0,3,788,845,369,264,3,2,0,1,0,171,0,1,20,150,0,20,271,2665,0,0,485,1,31,10,50,1,0,30,4,385,0,2757,0,2,3218,14,1,1,0,2,0,1,342,0,0,13,0,0,1,45,0,204,5,173,219,35,4,21,226,2382,2,3,429,5,4,0,1,0,0,144,1,1,7,1,2,0,0,3,0,30,19,8,110,6,27,2,0,594,0,3,1,7,1,0,2,16,0,0,2,0,20,4,5,0,4,5,1211,338,2,78,3,11,11,41,6,0,0,487,0,800,6,0,2,123,507,0,6,0,5,41,0,0,5,0,0,49,0,0,72,70,711,0,1,4,0,0,26,0,0,0,1,56,99,0,94,6,3,105,68,4342,6,0,0,0,171,9,1,0,2,0,110,1,0
EST,0,0,0,0,0,1,2,0,0,9,5,0,0,12,0,0,0,4,0,0,0,5,0,0,0,2,0,0,0,0,0,14,26,4,3,0,0,0,0,0,1,0,0,0,0,0,0,17,61,0,0,24,0,2,0,0,0,30,0,0,101,0,40,0,0,76,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,8,2,2,0,5,4,39,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,0,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,0,2,0,2,0,2,1,0,0,18,0,7,0,0,0,2,37,0,1,0,0,0,0,0,0,0,0,1,0,0,4,5,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,78,0,0,0,0,0,0,0,0,0,0,2,0,0
ETH,0,0,0,0,0,0,1,0,0,4,13,0,0,17,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,6,0,2,0,3,1,1,0,0,0,0,1,0,0,0,2,34,0,0,5,0,0,0,1,1,4,0,0,0,0,19,0,1,40,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,17,2,0,0,0,3,9,0,0,8,0,15,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,17,18,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,38,0,0,1,0,0,3,0,0,0,0,0,1,0,1,7,8,0,0,51,0,0,0,0,1,3,0,0,1,0,16,0,0
FIN,0,0,0,0,1,3,26,9,0,155,150,0,1,215,0,0,4,36,0,0,0,8,0,0,0,54,0,0,0,0,0,308,311,26,140,0,0,4,0,0,2,0,0,3,7,0,3,114,929,0,0,384,1,3,0,8,0,385,101,0,0,0,518,0,0,1054,6,0,0,1,1,1,0,117,0,0,2,0,0,1,14,0,123,4,51,122,16,0,37,62,513,3,2,286,2,3,0,0,0,0,82,5,0,3,0,3,0,0,0,0,41,9,24,1,2,9,0,0,26,0,2,1,1,0,0,1,0,0,0,0,2,3,0,0,0,1,1,435,329,1,29,1,4,2,6,2,0,0,197,0,105,0,0,1,29,406,0,3,2,0,28,0,0,0,0,0,17,0,0,47,41,902,0,0,1,0,0,18,0,0,0,2,1,52,0,56,5,1,46,1,1363,3,0,2,0,3,1,0,0,0,0,22,1,0
FJI,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,11,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,1,0,1
FRA,0,4,4,2,5,30,322,76,1,996,684,2,1,2199,38,70,9,188,5,0,4,59,2,1,18,912,1,0,0,5,16,2322,2520,301,1074,92,135,11,24,0,96,1,0,24,21,0,25,632,5109,2,0,701,1,522,41,94,5,2757,40,19,518,2,0,0,42,5272,28,13,0,14,7,1,0,621,1,1,5,29,3,2,99,4,351,26,546,337,151,3,49,548,3876,4,11,1422,7,28,2,16,0,1,342,6,10,147,0,10,0,0,7,0,77,81,28,430,28,12,48,0,469,0,8,34,6,2,10,2,11,8,0,1,8,26,18,67,25,16,1,1998,565,5,198,7,27,5,29,25,0,1,1102,0,638,2,1,7,392,1469,1,21,5,125,115,0,1,0,0,1,72,0,0,161,102,1140,0,3,19,13,13,99,0,0,2,1,637,200,0,173,14,17,238,28,8159,11,0,2,0,101,96,4,0,6,0,253,1,14
FSM,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0
GAB,0,1,0,0,0,0,0,0,0,5,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,0,0,2,6,0,3,0,0,0,0,0,0,0,0,0,32,0,0,1,0,0,0,1,0,2,0,1,0,0,42,0,0,20,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,27,0,0,0,0,0,4,0,0,0,0,4,0,1
GBR,3,3,1,0,6,121,260,55,1,3059,831,11,0,1911,4,17,74,149,9,2,9,54,3,3,15,928,5,6,4,24,4,3400,2541,237,2438,6,42,8,6,0,114,0,2,16,31,0,80,646,7006,0,0,1469,0,25,49,109,4,3218,76,40,1054,5,5272,0,20,11512,18,78,1,7,84,4,0,1103,1,3,9,3,3,4,150,2,452,54,835,1254,279,3,105,563,4389,23,44,2148,25,231,6,14,0,1,563,36,15,32,0,8,1,1,61,5,67,34,24,15,7,6,20,0,353,0,8,13,31,3,10,9,17,4,1,17,60,208,24,10,9,82,4,3741,1120,31,772,48,135,27,45,42,0,14,1042,2,995,1,0,15,188,1267,4,81,11,18,428,0,1,3,0,1,101,3,0,159,163,2169,2,7,10,2,3,297,1,1,2,25,33,416,0,360,168,85,210,14,14362,8,0,0,0,77,71,1,0,3,0,698,22,39
GEO,0,0,0,0,0,0,3,7,0,1,6,3,0,5,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,2,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,54,0,0,1,0,0,0,1,0,14,0,0,6,0,28,0,0,18,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,8,28,0,0,12,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,14,0,2,0,0,0,1,46,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,1,7,0,1,0,0,7,0,64,3,0,0,0,0,0,0,0,1,0,1,1,0
GHA,0,0,0,0,0,0,0,0,0,8,3,0,0,5,3,4,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,22,20,0,2,1,0,0,2,0,1,0,0,1,0,0,0,1,29,0,0,11,0,0,0,9,0,1,0,7,0,0,13,0,3,78,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,9,2,1,0,0,0,4,0,0,15,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,4,0,0,0,5,3,0,0,1,8,0,27,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,6,4,0,0,77,0,0,0,0,0,1,0,0,0,0,10,0,3
GIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,14,0,0,7,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,1
GMB,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,2,0,2,1,0,7,0,1,84,0,4,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,1,2,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,0,3,0,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0,1,21,0,0,0,0,0,1,0,0,0,0,5,2,2
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,9,0,1,2,19,25,0,77,130,1,0,242,1,1,1,77,3,0,2,8,0,0,1,48,0,0,0,0,0,180,255,10,58,1,0,0,0,0,1,0,0,0,1,0,97,139,782,0,0,142,0,7,0,11,0,342,6,0,117,0,621,0,0,1103,11,0,0,0,0,0,0,0,0,2,1,0,0,0,32,0,65,4,48,63,6,1,6,88,591,0,4,102,4,1,1,0,0,0,28,1,0,6,0,2,0,0,1,0,4,8,7,5,1,0,0,0,48,0,2,0,4,0,8,0,0,0,0,0,0,5,0,1,0,0,0,329,117,1,14,2,6,1,2,5,0,0,192,0,121,0,0,0,67,144,0,4,0,0,17,0,0,0,0,0,76,0,0,57,52,211,0,0,2,0,0,14,0,0,0,0,7,79,0,25,1,0,39,2,1340,7,0,0,0,2,3,0,0,1,0,17,0,0
GRD,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,0,1,4,0,0,3,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,4,3,1,0,0,1,0,0,5,0,0,7,0,0,0,0,2,0,0,2,0,0,1,0,0,13,0,1,2,0,5,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,3,0,0,0,2,4,1,1,0,0,2,0,1,1,0,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,2,49,0,0,0,0,3,0,0,0,0,0,1,1,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,1,0,3,0,0,0,0,0,0,4,0,0,4,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,2,0,0,0,0,0,0,0,0
HRV,0,0,2,0,0,0,0,5,0,23,66,0,0,37,0,0,0,18,0,0,39,2,0,0,0,23,0,0,0,0,0,28,64,2,35,0,0,0,0,0,0,0,0,0,1,0,2,45,170,0,0,24,0,0,0,2,0,45,0,0,14,0,99,0,0,150,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,42,3,19,5,1,0,1,18,111,0,0,22,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,1,0,2,0,6,0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,54,20,0,5,0,0,0,0,0,0,0,47,0,16,0,0,1,18,48,0,0,0,0,0,0,0,0,0,0,24,0,0,21,111,40,0,0,0,0,0,1,0,0,0,0,3,11,0,3,0,0,11,0,200,0,0,0,0,0,3,0,0,0,1,6,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,31,0,0,0,0,1,0,0,0,0,0,3,0,0
HUN,0,0,1,0,1,14,15,1,0,65,209,0,0,197,0,0,1,42,0,0,3,0,0,0,0,56,0,0,0,0,0,162,135,8,68,0,0,0,0,0,3,0,0,0,1,0,10,132,753,0,0,82,0,0,0,8,0,204,9,0,123,0,351,0,0,452,2,0,0,0,0,0,0,65,0,0,1,0,0,0,42,0,0,2,54,34,3,0,5,75,311,0,1,189,0,1,0,0,0,0,48,3,0,4,0,5,0,0,1,0,10,3,9,4,1,0,1,0,19,0,3,0,0,0,1,1,0,0,0,0,0,7,0,0,0,1,0,180,42,1,12,0,2,0,1,2,0,0,179,0,80,0,0,0,119,121,0,7,0,0,8,0,0,0,0,0,29,0,0,80,35,183,0,0,1,0,0,8,0,0,0,0,6,42,0,26,1,0,21,1,946,0,0,0,0,5,1,0,0,0,0,38,0,0
IDN,0,0,0,0,0,4,2,0,0,111,4,0,0,8,0,1,11,2,0,0,0,0,0,0,0,10,0,0,0,0,0,23,20,2,40,0,0,2,0,0,2,0,0,2,1,0,0,1,45,0,0,6,0,0,0,6,0,5,0,2,4,1,26,0,0,54,0,3,0,0,0,0,0,4,0,0,1,0,0,0,3,0,2,0,28,1,1,0,0,3,17,0,1,239,0,3,1,5,0,0,68,0,0,1,0,1,0,0,4,0,1,1,2,0,0,0,1,0,4,0,0,0,0,1,0,1,1,0,0,0,1,45,0,0,0,1,0,79,3,2,5,1,5,0,2,27,0,2,3,0,1,0,0,3,2,5,0,3,0,0,24,0,0,0,0,0,0,0,0,1,0,9,0,0,1,0,0,71,0,0,0,0,0,2,0,17,2,1,1,0,147,0,0,0,0,2,14,1,0,0,0,9,0,0
IND,0,1,1,0,0,16,57,7,0,290,95,0,0,93,3,1,36,24,2,0,1,5,0,0,1,157,1,0,6,2,0,367,240,31,304,1,6,5,1,0,48,0,0,2,2,0,10,79,839,0,0,70,0,9,30,34,3,173,8,17,51,7,546,0,0,835,0,9,0,0,1,0,0,48,0,0,1,0,0,1,19,0,54,28,0,70,45,2,1,99,286,3,4,642,2,5,2,1,0,0,420,24,1,2,0,2,0,0,17,1,1,2,2,6,2,0,3,0,89,0,3,3,1,6,0,2,1,1,0,2,2,156,2,0,1,14,0,191,31,20,22,8,30,1,11,30,0,5,127,0,53,0,0,0,40,193,0,28,0,0,142,0,0,0,0,0,13,0,0,15,43,162,0,0,4,0,0,64,1,1,0,4,3,31,0,206,6,3,22,1,2266,4,0,0,0,9,18,0,0,7,0,61,3,3
IRL,0,0,1,0,0,4,38,12,0,158,71,0,0,149,0,0,2,14,2,0,0,3,0,0,0,57,0,0,0,0,0,162,164,22,131,0,1,0,0,0,28,0,0,0,1,0,7,84,472,0,0,128,0,4,26,10,0,219,2,2,122,0,337,0,0,1254,3,2,0,0,3,0,0,63,0,0,0,0,0,0,5,0,34,1,70,0,7,0,5,45,257,2,2,99,4,5,0,0,0,0,53,0,0,1,0,2,0,0,2,0,4,8,4,3,1,1,1,0,46,0,1,0,4,1,0,0,0,0,0,1,3,8,12,0,0,4,0,233,63,1,54,1,0,1,1,1,0,0,73,0,46,0,0,0,18,98,0,8,0,0,20,0,0,0,0,0,9,0,0,11,18,178,0,0,0,0,0,8,0,0,0,1,2,25,0,7,2,2,8,1,876,1,0,0,0,1,2,0,0,0,0,24,0,2
IRN,0,0,0,0,0,5,7,1,0,114,26,1,0,26,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,1,0,322,37,2,40,0,0,0,0,0,1,0,0,0,1,0,1,9,136,0,0,14,0,3,0,4,0,35,2,0,16,0,151,0,0,279,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,3,1,45,7,0,1,0,4,54,1,0,78,0,0,0,0,0,0,11,8,0,6,0,1,0,0,3,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,41,10,0,8,1,6,0,1,1,0,0,15,0,1,0,0,2,3,34,0,2,0,0,1,0,0,0,0,0,2,0,0,2,1,48,0,0,3,0,0,2,2,0,0,0,3,37,0,9,0,0,1,0,330,0,0,0,0,0,0,0,0,0,0,6,0,0
IRQ,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,1,0,4,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,5,0,11,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0
