,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
BLR,0,0,0,0,0,0,0,3,0,4,0,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,10,8,0,3,0,0,0,0,0,0,0,0,0,0,5,103,0,0,2,0,0,0,1,0,9,1,0,4,0,30,0,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,2,28,0,0,14,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,36,2,0,0,0,1,111,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,58,0,0,0,2,0,0,0,2,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,17,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0
BRA,0,0,0,0,0,0,164,3,57,39,0,0,97,0,0,0,12,0,0,0,3,0,0,10,0,0,0,0,0,0,207,82,71,50,1,1,0,0,56,0,0,4,24,1,33,325,0,0,46,2,0,1,3,0,176,1,1,32,0,458,0,0,437,2,1,0,0,0,0,27,0,0,0,0,0,1,2,2,0,13,2,59,9,2,0,1,37,225,0,0,119,0,6,0,0,0,29,0,0,1,0,2,0,0,2,0,3,1,0,4,0,1,0,0,78,1,0,0,0,1,0,0,0,1,1,0,0,0,4,0,90,38,0,12,0,6,1,8,0,0,0,66,80,2,0,0,10,158,0,1,0,2,2,0,0,0,0,0,0,0,24,19,69,0,0,1,0,0,4,0,0,0,0,2,7,0,3,1,1,11,22,1226,5,0,21,0,0,0,0,3,19,0,3
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,1
CAF,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,0,0,8,65,6,543,95,0,0,207,1,0,6,16,1,1,1,10,0,1,1,207,10,0,0,0,0,0,385,35,294,2,1,0,0,5,0,0,5,10,4,98,887,0,0,206,1,3,4,22,0,264,9,2,134,1,1058,0,0,1368,2,4,1,3,0,0,73,0,2,3,0,0,54,0,12,1,99,12,111,44,32,0,11,229,514,3,11,667,1,20,0,0,0,120,5,0,15,0,1,1,0,4,0,5,5,8,14,1,1,2,0,98,2,1,0,0,1,0,0,0,4,10,0,1,1,7,1,372,95,1,128,7,15,4,6,11,0,0,137,37,0,0,1,25,287,0,24,0,0,44,0,1,0,0,0,0,0,29,17,312,0,0,2,0,0,18,0,0,0,6,6,39,0,88,7,3,34,4,6237,2,0,13,6,0,0,0,17,75,3,5
CHE,0,0,1,0,0,1,31,9,201,280,1,1,273,3,5,6,39,0,1,0,8,1,0,1,82,0,0,0,0,0,385,0,12,110,16,1,2,0,7,0,0,0,9,34,113,1928,0,0,230,1,6,0,9,1,325,8,3,175,0,1195,0,2,1136,5,4,1,14,0,0,158,0,0,0,0,0,7,0,27,0,142,8,82,35,4,0,6,144,1000,1,0,355,1,12,1,1,0,73,4,0,3,0,0,0,1,4,0,6,10,5,9,0,1,5,0,19,1,1,0,0,1,0,0,0,8,1,0,2,0,3,1,484,107,4,28,1,6,6,2,3,0,6,171,70,0,0,0,48,336,0,6,1,1,10,0,0,0,1,0,0,0,54,50,271,0,3,1,0,0,22,0,0,0,0,7,41,0,66,15,5,24,4,2249,1,0,8,5,0,0,0,5,37,3,10
CHL,0,0,0,0,0,0,60,0,21,12,0,0,21,0,0,2,0,0,0,0,0,0,0,0,71,0,0,0,2,0,35,12,0,11,0,0,0,0,11,0,0,3,7,1,4,92,0,0,16,1,0,2,3,0,121,0,0,11,0,106,0,0,67,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,2,6,2,1,0,0,9,45,0,0,9,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,17,3,0,4,0,2,0,7,4,0,0,4,2,1,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,1,20,0,1,0,0,0,5,0,0,0,0,1,0,0,1,0,0,2,16,300,0,0,20,1,0,0,0,0,10,0,1
CHN,0,0,0,0,0,1,10,7,279,70,0,0,58,0,0,2,30,0,0,0,3,0,0,0,50,0,0,0,1,0,294,110,11,0,0,1,0,0,1,0,0,1,1,28,10,562,0,0,61,1,0,1,9,0,110,0,1,57,0,289,0,1,547,4,0,0,0,0,0,42,0,0,1,0,0,338,0,4,0,41,9,81,12,5,0,1,26,210,0,2,785,6,2,1,0,0,182,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,1,1,2,0,2,0,0,0,0,25,0,1,0,5,0,131,27,1,34,0,6,1,0,17,0,0,31,25,0,0,0,36,107,0,4,1,1,141,1,0,0,0,0,0,0,8,5,96,0,1,0,0,0,9,0,0,0,0,4,6,0,146,0,1,15,1,1719,4,1,4,2,0,0,0,5,17,0,1
CIV,0,0,0,0,0,0,0,0,0,2,0,0,13,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,16,0,0,0,4,1,1,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,62,0,0,15,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,6,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,2,0,0,22,0,0,0,0,0,0,0,0,3,1,3
CMR,0,0,0,0,0,0,0,0,1,1,1,0,7,5,3,0,0,0,0,0,0,0,0,1,1,0,0,0,3,2,1,1,0,1,4,0,1,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,68,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,1,0,33,0,6,3,0,0,7,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,0,0,5,7,11,1,0,0,0,0,0,0,0,5,5,0,1,14,0,0,2,0,0,4,0,0,40,0,0,2,0,43,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,18,0,0,0,0,4,21,0,0,14,0,5,0,0,0,26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,1,0,1,0,0,1,3,1,0,0,15,0,1,0,0,0,32,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,153,0,0,10,0,0,0,0,0,1,0,0
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,3,1,1,0,0,0,5,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,7,0,0,0,0,13,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,2,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,0,1,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,12,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,10,9,7,1,0,0,0,0,5,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,69,0,0,0,0,9,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,3,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,6,1,20,0,0,2,0,0,0,0,6,1,0,0
CYP,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,4,34,1,28,0,0,0,0,0,0,0,0,0,0,1,36,0,0,1,0,0,0,3,0,29,0,0,28,0,36,0,0,17,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,27,1,27,1,1,0,0,1,44,0,1,1,0,1,0,0,0,29,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,27,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,1,10,0,24,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
CZE,0,0,0,0,0,0,7,1,23,124,0,0,88,0,0,0,13,0,0,0,5,0,0,0,33,0,0,0,0,0,98,113,4,10,0,0,0,0,1,0,0,0,0,1,0,471,0,0,55,0,2,0,7,0,94,6,1,52,0,271,0,0,258,0,0,0,0,0,0,48,0,0,0,0,0,2,0,10,0,36,1,14,9,0,0,1,13,166,0,1,109,2,1,0,0,0,2,3,0,0,0,0,0,0,0,0,8,2,3,2,0,0,0,0,13,2,0,0,0,1,0,0,0,0,4,0,0,0,0,0,131,42,0,2,0,1,1,1,1,0,0,120,31,0,0,0,16,168,0,1,0,0,0,0,0,0,0,0,0,0,179,31,84,0,0,0,0,0,1,1,0,0,0,0,4,0,2,0,0,34,0,412,2,0,1,2,0,0,0,9,4,1,0
DEU,0,1,3,0,0,9,139,37,618,1088,1,0,718,12,5,17,206,0,0,2,103,0,1,1,325,0,0,0,3,0,887,1928,92,562,10,11,2,0,14,0,1,3,14,36,471,0,0,0,669,0,8,1,103,1,926,50,8,434,0,2572,0,17,3245,25,5,2,5,0,0,361,0,0,10,1,2,25,1,117,0,476,33,342,129,15,1,24,604,1802,2,16,1228,6,25,1,0,0,193,15,0,4,0,2,0,4,4,0,36,30,73,25,0,21,5,0,109,4,3,2,1,3,1,0,0,0,4,5,0,5,23,0,1509,318,2,114,2,37,11,7,12,0,0,857,160,2,0,0,177,1997,0,17,6,4,17,0,0,0,0,0,0,0,224,91,866,1,0,12,0,7,26,0,0,0,1,5,124,0,119,13,12,285,15,7231,13,0,23,19,0,0,1,29,151,0,9
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,1,0,0,1,14,3,129,117,0,0,158,2,0,1,13,0,0,0,2,0,0,0,46,0,0,0,0,0,206,230,16,61,0,0,0,0,2,0,0,1,1,1,55,669,0,0,0,0,1,2,11,1,235,12,2,217,0,404,0,0,839,4,5,0,4,4,0,99,0,3,0,0,0,1,0,23,0,42,0,29,32,0,0,43,54,342,0,1,127,0,19,0,0,0,35,1,0,0,0,0,0,0,1,0,16,5,10,3,1,0,1,0,17,0,0,1,0,0,1,0,2,2,2,0,0,0,3,0,322,299,4,20,0,0,0,5,6,0,0,88,69,0,0,1,8,191,0,0,9,2,5,0,0,0,0,0,0,0,38,28,590,1,0,1,0,0,19,0,0,0,0,0,21,0,7,14,6,19,2,1125,1,0,1,7,0,0,1,2,24,0,4
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0,0,0,0,0,6,0,0,1,0,187,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,10,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
ECU,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,2,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0
EGY,0,0,1,0,0,11,3,0,4,12,0,0,21,0,0,1,4,0,0,0,1,0,0,0,3,0,0,0,0,0,22,9,3,9,0,0,0,0,0,0,0,0,0,3,7,103,0,0,11,0,0,0,0,0,6,0,0,9,0,29,0,0,47,0,2,0,0,0,0,4,0,0,0,0,0,1,0,2,0,15,2,11,3,1,0,0,5,39,0,5,42,0,2,0,0,0,2,21,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,1,1,1,0,0,1,0,0,11,0,0,0,7,2,8,0,34,0,0,1,0,0,0,0,0,0,0,6,2,10,0,1,6,0,0,2,0,0,0,0,3,4,0,0,0,0,0,0,233,0,0,1,1,0,0,1,0,1,0,1
