,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
AUT,0,0,2,0,0,9,35,1,0,173,0,0,0,206,0,1,8,20,0,0,6,5,0,0,0,39,1,0,0,0,1,180,432,24,93,1,4,0,0,3,0,0,0,3,1,167,1638,0,0,114,0,0,0,19,0,260,9,4,111,0,480,0,4,598,4,2,0,0,1,0,0,81,0,0,1,0,0,0,38,1,119,2,52,44,10,0,5,73,455,0,0,177,0,7,0,0,0,40,5,0,0,0,0,0,4,2,1,7,7,11,3,1,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,297,90,2,22,0,7,1,3,0,0,0,209,81,0,0,0,31,167,0,4,0,0,17,0,0,0,0,12,0,0,125,104,189,0,0,1,1,0,29,0,0,0,0,1,31,0,32,0,3,36,1,1141,1,0,3,3,0,0,0,0,45,0,2
AZE,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BEL,0,0,0,0,2,9,42,16,0,194,206,2,6,0,9,9,9,77,0,0,3,9,0,0,10,128,0,1,0,0,0,359,470,39,162,15,22,12,4,9,0,0,3,14,1,126,1211,0,0,247,0,19,11,39,0,519,5,6,166,0,1623,0,1,1360,5,3,0,0,5,0,0,154,0,0,0,2,0,1,24,0,176,14,52,80,11,0,3,126,700,0,3,280,9,23,2,3,0,43,2,2,5,1,1,0,0,0,0,16,26,3,29,3,12,3,0,49,0,6,0,1,0,0,4,0,0,0,3,1,0,0,1,7,1,1126,118,2,39,0,2,6,12,5,0,0,233,143,1,0,1,76,297,2,16,0,10,14,0,0,0,0,18,2,0,44,40,342,0,0,2,0,0,14,0,0,0,0,15,51,0,17,20,10,38,5,1722,6,0,11,22,0,0,0,0,82,6,8
BEN,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,5,5,0,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,0,0,0,0,15,0,1,4,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
BFA,0,1,0,0,0,0,0,0,0,0,1,0,0,9,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,1,0,8,5,1,1,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,1,0,0,50,0,0,13,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,1,0,0,0,0,0,0,0,1,3,1,0,1,15,0,0,0,1,0,0,0,0,3,1,3
BGD,0,0,0,0,0,0,0,0,0,13,8,0,0,9,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4,6,1,2,0,0,0,0,0,0,0,0,0,1,1,24,0,0,10,0,0,0,1,0,1,0,0,3,0,4,0,0,42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,3,4,0,0,64,0,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,9,3,4,1,2,4,0,2,4,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,30,0,0,1,0,0,7,0,0,0,0,0,0,0,2,2,3,0,0,89,1,0,0,1,0,0,0,0,2,1,0
BGR,0,0,3,0,0,0,4,2,0,11,20,1,0,77,0,0,0,0,0,0,3,2,0,0,0,15,0,0,0,0,0,18,37,11,21,0,0,0,0,0,0,0,0,2,13,28,234,0,0,14,0,1,0,4,0,72,3,0,11,0,112,0,0,101,2,0,0,0,0,0,0,44,0,0,0,0,0,0,9,0,34,0,25,17,0,0,0,17,105,0,0,47,2,0,0,0,0,17,0,0,0,0,0,0,0,1,0,2,0,6,0,0,1,0,0,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,33,5,0,2,0,3,0,0,0,0,0,61,13,0,0,0,30,82,0,0,0,0,0,0,0,0,0,7,0,0,11,6,21,0,0,0,0,0,0,0,0,0,0,1,17,0,18,0,0,10,0,178,1,0,0,1,0,0,0,0,3,0,0
BHR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,1,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
