,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VEN,VNM,VUT,WSM,YEM,YUG,ZAF,ZMB,ZWE
BIH,0,0,1,0,0,0,0,0,0,1,6,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,0,1,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0
BLR,0,0,1,0,0,0,1,2,0,3,5,0,0,9,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,4,6,1,11,0,0,0,0,0,0,0,0,0,0,9,119,0,0,7,0,0,0,0,0,8,1,0,6,0,32,0,0,37,2,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,2,0,4,1,0,0,0,2,28,0,1,22,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,1,0,0,2,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,64,35,0,0,0,4,128,0,0,0,0,0,0,0,0,0,2,0,0,3,3,26,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,22,0,46,3,0,0,0,0,0,0,0,4,0,0
BLZ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,6,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,6,4,0,0,0,0,0,1,0,0,0,0,0,1,10,0,0,1,0,0,2,0,0,11,0,0,0,0,16,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,1,0,4,0,0,0,0,0,0,0,0
BRA,0,1,1,0,0,3,261,7,0,112,39,0,0,128,0,1,3,15,0,0,0,8,0,0,7,0,0,1,0,0,1,267,98,102,113,0,1,1,0,54,0,0,19,55,0,45,485,0,0,44,5,2,12,6,0,256,2,0,41,1,605,0,0,552,4,0,0,0,0,0,0,29,0,0,4,2,1,2,9,1,30,8,80,12,0,0,1,53,326,0,2,184,3,6,0,0,0,39,1,1,3,0,0,0,1,2,0,13,0,3,8,0,1,1,0,87,0,0,3,0,0,1,0,0,0,1,0,4,0,1,0,1,0,131,44,1,28,2,4,11,41,7,0,0,88,159,2,0,1,13,158,0,6,0,3,9,0,0,0,0,15,0,0,11,16,99,0,0,0,0,0,13,0,0,0,2,2,16,0,19,7,2,24,46,1931,9,0,56,5,0,0,0,1,41,2,0
BRB,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,20,0,0,0,0,0,0,0,0,13,1,2
CAF,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,0,0,0
CAN,0,0,0,0,1,29,84,12,0,752,180,2,0,359,3,5,4,18,1,1,2,4,0,3,2,267,8,0,0,3,0,0,509,60,729,2,2,0,0,17,0,0,11,19,2,103,1418,0,0,247,0,4,1,40,0,450,12,7,232,2,1459,0,0,2152,2,10,0,0,2,0,0,136,1,11,3,0,1,1,19,0,175,11,202,82,132,0,19,266,725,12,13,875,16,23,0,1,0,242,20,1,19,0,2,0,0,9,0,7,2,5,27,3,1,0,0,155,0,1,0,0,0,2,0,0,0,1,3,17,1,1,1,5,1,623,199,2,192,8,16,13,17,17,0,1,294,77,0,0,8,37,337,0,50,1,0,120,0,0,0,0,16,0,0,33,18,468,0,0,1,0,3,55,2,0,1,7,19,100,0,145,10,12,34,7,8756,10,0,19,11,0,0,0,1,106,2,11
CHE,0,0,2,0,0,7,44,16,0,334,432,1,0,470,1,4,6,37,0,0,0,6,1,0,6,98,0,0,0,2,0,509,0,22,183,21,8,3,1,17,0,0,3,6,20,142,2591,0,0,295,0,3,6,18,1,497,9,5,187,2,1640,1,1,1539,4,3,0,0,3,1,0,159,0,0,1,2,0,0,44,0,144,1,130,82,12,2,14,179,1226,0,3,395,2,34,0,0,0,101,3,0,0,0,0,0,6,7,0,8,8,2,11,0,2,6,0,28,0,2,5,1,1,2,0,1,0,0,5,5,1,1,2,2,1,621,134,7,51,6,6,11,8,10,0,4,289,118,1,0,2,57,391,0,5,1,3,23,0,0,0,0,7,2,0,47,78,347,1,1,1,4,0,24,0,0,0,0,10,56,0,70,24,16,48,1,3037,4,0,6,12,0,0,1,0,68,4,12
CHL,0,0,0,0,0,0,110,1,0,39,24,0,0,39,0,1,1,11,0,0,0,1,0,0,4,102,0,0,0,0,0,60,22,0,13,0,0,0,0,13,0,0,5,8,1,4,211,0,0,28,1,2,6,0,0,220,0,0,19,0,204,0,0,160,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,7,1,15,3,0,0,1,24,85,0,0,30,0,2,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,43,7,1,9,1,1,1,11,3,0,0,19,15,2,0,0,3,27,0,0,0,0,4,0,0,0,0,2,0,0,3,0,36,0,0,0,0,0,3,0,0,0,0,0,3,0,3,1,0,12,4,556,1,0,17,1,0,0,0,0,14,1,1
CHN,0,0,0,0,0,4,17,4,0,822,93,0,0,162,0,0,2,21,0,0,1,11,0,0,0,113,0,0,0,0,0,729,183,13,0,3,5,4,0,11,1,0,2,4,13,35,1111,0,0,103,3,2,5,18,0,163,4,1,70,0,609,0,0,1176,6,2,0,0,0,0,0,42,0,0,0,1,0,0,8,0,47,20,162,44,11,0,1,103,276,0,2,1920,0,4,0,0,0,454,0,0,0,0,2,0,0,4,0,10,0,1,2,0,3,2,0,47,0,0,0,0,1,5,1,0,0,0,0,130,1,1,0,3,0,241,88,7,87,0,12,1,4,40,0,1,114,51,0,0,1,25,266,0,11,3,0,514,0,0,0,0,13,0,0,7,34,230,0,0,0,0,0,54,0,0,0,3,1,20,0,406,2,1,16,2,4377,5,0,3,20,0,0,1,0,38,2,1
CIV,0,0,0,0,0,0,0,0,0,0,1,0,0,15,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,0,3,0,3,0,1,0,0,0,0,0,0,0,12,0,0,1,0,1,0,1,0,0,0,0,0,0,68,0,0,7,0,6,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,1,2,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,1,0,0,1,28,0,0,0,0,0,0,0,0,2,0,2
CMR,0,0,0,0,0,0,1,0,0,4,4,0,0,22,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,8,0,5,3,0,2,1,0,0,0,1,0,0,0,22,0,0,2,0,2,1,0,0,5,0,0,0,0,93,0,3,29,0,4,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,8,0,10,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0,4,2,0,0,29,0,0,0,0,0,0,0,0,7,1,3
COD,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,0,0,0,0,0,0,2,1,1
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,0,24,0,0,8,3,0,0,9,0,0,0,0,0,0,0,0,0,0,1,54,0,0,0,0,0,17,17,13,11,0,0,0,0,0,0,0,7,4,0,4,27,0,0,3,0,0,5,2,0,117,0,0,1,1,49,0,0,75,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,13,2,0,0,0,6,11,0,0,17,0,5,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,17,3,1,1,0,1,1,4,3,0,0,2,6,1,0,0,0,7,0,0,0,1,2,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,4,0,0,0,1,1,1,0,0,1,0,2,3,191,0,0,15,1,0,0,0,0,4,1,1
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,6,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,11,3,5,2,0,1,0,0,7,0,0,0,2,0,0,23,0,0,2,1,0,0,0,0,16,0,0,12,0,23,0,0,23,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,4,2,0,0,1,4,2,0,0,4,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,21,0,0,0,0,0,4,2,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,2,1,0,0,0,0,0,1,0,3,0,1,1,0,87,0,0,3,1,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,15,1,0,4,3,0,0,14,0,0,0,2,0,0,0,0,0,0,0,55,0,0,0,0,0,19,6,8,4,0,0,0,0,4,0,0,2,0,0,0,37,0,0,1,0,1,2,0,0,123,0,0,8,0,29,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,0,0,0,0,36,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0,2,0,1,3,6,0,0,0,5,12,0,0,0,0,4,0,1,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,4,38,0,0,11,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,1,0,8,1,0,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20,1,13,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,15,0,0,1,0,20,0,0,29,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,12,0,12,12,1,0,1,9,25,0,0,3,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,2,0,0,0,0,4,3,0,0,0,12,13,0,1,0,0,0,0,0,0,0,1,0,0,2,1,2,0,0,0,0,0,2,0,0,0,0,0,1,0,12,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0
CZE,0,0,1,0,0,1,17,8,0,48,167,0,0,126,0,0,1,28,0,0,1,9,0,0,1,45,0,0,0,0,0,103,142,4,35,0,0,0,0,4,0,0,0,0,0,0,614,0,0,49,0,1,4,8,0,146,11,1,74,0,381,0,0,365,2,0,0,0,0,0,0,61,0,0,0,0,0,0,28,0,80,0,32,31,3,0,1,63,230,0,2,164,1,1,0,0,0,15,3,0,2,0,1,0,1,1,0,12,1,6,4,0,4,1,0,33,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,152,49,0,11,0,2,2,0,0,0,0,189,63,0,0,1,29,199,0,2,0,0,3,0,0,0,0,13,0,0,239,50,116,0,0,0,0,0,8,0,0,0,0,5,17,0,14,1,0,41,0,567,0,0,1,4,0,0,0,1,18,0,0
DEU,0,0,4,0,0,19,215,75,0,919,1638,4,0,1211,7,16,24,234,0,0,9,119,1,0,10,485,2,0,0,0,2,1418,2591,211,1111,12,22,3,0,27,0,0,23,37,22,614,0,0,0,813,2,16,12,150,2,1508,63,26,605,0,3639,0,25,4752,45,16,0,0,3,0,0,490,1,0,2,1,1,0,148,1,584,41,591,234,55,1,21,760,2535,3,48,1581,27,44,4,1,0,305,15,4,5,0,3,0,3,6,0,59,34,51,50,2,31,10,0,188,0,13,7,4,1,9,0,0,0,1,5,17,2,2,1,25,1,2303,421,8,144,9,45,12,27,17,0,0,1270,299,2,3,4,252,2431,1,19,5,3,90,0,0,0,0,95,0,0,217,150,1327,0,0,8,1,3,47,1,0,0,1,20,233,0,145,17,9,454,6,9947,33,0,34,33,0,0,2,7,237,5,5
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,1,0,0,2,27,0,0,195,114,1,0,247,1,5,10,14,0,0,1,7,0,0,1,44,0,0,0,1,0,247,295,28,103,1,2,0,2,3,0,0,2,1,1,49,813,0,0,0,0,0,5,12,0,311,18,2,257,1,468,0,1,987,2,11,0,0,4,14,0,73,0,20,1,0,0,0,11,0,67,2,44,60,3,0,65,80,393,2,1,148,0,11,0,1,0,32,6,0,0,0,0,0,0,5,0,22,6,10,3,0,3,2,0,27,0,2,0,0,0,1,4,0,0,0,2,3,1,0,0,2,0,432,378,4,41,3,3,1,8,5,0,1,164,80,0,0,1,13,162,0,7,2,5,11,0,0,0,0,7,3,0,23,22,783,0,0,1,0,0,13,0,0,0,1,3,21,0,4,18,9,26,0,1388,0,0,1,4,0,0,1,1,34,1,11
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,1,1,0,0,0,0,0,0,19,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,4,3,2,2,1,2,0,0,0,0,0,0,1,0,1,16,0,0,0,0,0,0,6,0,10,1,0,1,0,271,0,0,13,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,11,0,0,4,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,1,0,2,0,0,1,1,0,0,6,4,0,0,0,1,1,0,6,0,3,2,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,10,3,0,1,0,0,1,0,15,0,0,0,1,0,0,0,0,3,0,0
ECU,0,0,0,0,0,0,10,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,1,6,6,5,0,1,0,0,5,0,0,0,2,0,4,12,0,0,5,0,0,0,0,0,13,0,0,1,0,22,0,0,16,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,4,1,0,0,0,0,8,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,8,0,0,0,1,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,56,0,0,5,0,0,0,0,0,2,1,0
