,ABW,AFG,AGO,AIA,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BES,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CUW,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FLK,FRA,FRO,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAF,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NIU,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,PYF,QAT,REU,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SHN,SJM,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SXM,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
ATG,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AUS,0,3,1,12,9,0,0,343,584,227,3,0,1283,121,4,1939,33,0,19,422,269,30,14,18,217,2,4,16,2024,8,48,27,32,1,5304,2881,867,13437,22,60,20,6,3,472,1,0,65,28,1,1,165,793,6297,0,2,1966,4,43,171,390,4,3248,246,158,973,107,8,4407,1,15,3,13483,241,121,0,8,22,7,0,759,4,14,23,7,7,5,248,5,568,570,2061,968,1182,232,150,833,3635,8,166,2740,56,200,22,72,2,13,1538,109,51,107,15,22,1,9,339,3,184,106,115,0,186,19,6,21,7,580,1,29,16,32,38,5,30,40,1,0,18,34,1324,55,66,2,185,7,1,3837,1257,110,2740,108,642,56,144,247,7,108,1124,1,876,11,107,0,355,0,330,1097,35,944,19,22,1653,0,0,46,10,4,4,3,333,4,2,6,226,319,2476,6,0,10,6,0,2,6,716,6,0,24,10,15,79,680,0,988,95,79,211,73,16480,31,0,4,0,48,0,620,10,23,6,18,1573,39,33
AUT,0,1,2,8,19,0,0,109,315,338,2,1283,0,154,2,1474,14,0,21,30,350,12,0,44,293,1,1,5,897,4,20,5,7,1,1325,2628,351,1411,8,29,16,2,0,341,1,1,32,47,1,1,211,1369,7032,1,1,1131,1,36,176,262,0,2232,293,40,844,1,0,2787,0,9,14,4456,311,21,0,1,4,0,0,949,1,3,4,2,1,2,476,2,996,93,722,635,360,31,96,564,3170,3,58,1026,30,63,17,5,0,1,593,40,4,24,9,3,0,102,139,0,346,93,300,0,137,5,16,5,0,342,1,35,3,26,7,17,13,12,1,0,6,4,350,45,2,1,39,0,0,2078,821,19,336,25,306,15,76,52,0,4,1323,0,862,4,68,0,194,0,593,1014,13,253,8,9,217,0,0,1,2,1,2,0,472,0,0,2,538,610,1557,1,0,3,2,0,2,4,323,3,0,0,0,5,85,590,0,435,21,21,425,30,5023,28,0,1,0,13,0,73,1,0,14,10,410,10,0
AZE,0,0,0,0,5,0,0,48,115,159,0,121,154,0,0,8,1,0,0,1,73,1,0,3,132,0,0,0,147,0,0,0,0,0,121,156,116,167,0,0,0,0,0,112,0,0,2,31,0,0,8,154,185,0,0,151,0,0,1,3,0,134,6,0,36,0,0,161,0,0,0,282,131,0,0,0,0,0,0,146,0,0,0,0,0,0,40,0,154,31,37,4,60,0,1,117,169,0,6,157,19,1,4,0,0,0,39,0,0,2,0,0,0,0,1,0,3,1,3,0,114,0,9,0,0,34,0,3,0,0,0,4,2,0,0,0,0,0,94,0,0,0,3,0,0,147,149,0,2,0,42,0,33,1,0,0,169,0,138,0,56,0,1,0,151,268,0,13,2,0,1,0,0,0,0,0,0,0,117,0,0,0,148,116,153,0,0,0,0,0,0,0,32,4,0,0,0,0,2,320,0,117,0,1,61,2,192,8,0,0,0,1,0,8,0,0,2,0,148,0,0
BDI,0,0,0,0,1,0,0,1,2,0,0,4,2,0,0,15,7,0,5,1,1,1,0,0,1,0,0,0,3,1,0,0,1,1,6,11,1,12,6,8,15,2,0,3,0,0,0,0,0,0,0,2,5,0,0,8,0,1,0,5,0,4,2,6,3,0,0,11,0,0,0,14,0,4,0,0,2,0,0,3,0,0,1,0,0,1,2,2,1,2,4,1,1,0,0,2,6,0,1,2,1,10,1,2,0,1,2,1,0,1,0,1,0,0,1,1,2,1,0,0,1,0,0,4,0,4,0,0,4,1,0,0,0,1,1,0,1,3,3,1,0,3,7,1,0,9,2,0,2,1,2,0,2,4,0,0,2,0,2,1,1,0,1,0,3,1,10,2,1,1,2,0,0,0,0,0,1,0,1,1,0,0,1,1,4,0,0,0,0,0,0,2,6,0,0,0,0,0,1,5,0,1,10,10,0,0,16,1,0,0,0,0,0,2,0,0,0,0,7,5,2
BEL,2,5,1,11,15,0,0,103,312,170,0,1939,1474,8,15,0,63,0,44,67,338,20,2,26,188,1,2,13,1095,3,14,4,12,6,1986,2812,319,1930,37,110,144,20,0,308,2,0,31,74,0,2,242,991,5378,0,1,1475,4,111,246,329,1,3377,322,158,1024,5,4,5779,0,10,11,7091,185,54,0,14,34,4,1,1071,4,6,8,13,3,5,388,4,796,93,780,879,376,45,100,592,4337,3,44,1186,31,157,17,30,0,15,751,44,8,104,15,9,0,3,161,2,391,230,318,0,107,19,20,17,0,475,0,37,19,49,12,10,12,37,3,0,10,15,275,19,7,13,87,6,0,5062,822,32,466,22,269,38,91,80,0,12,1337,2,1169,4,23,0,228,1,546,961,33,271,19,32,266,0,0,2,5,2,1,1,368,1,1,17,269,405,1743,3,0,4,3,0,5,10,282,3,0,1,0,7,135,578,0,382,76,105,375,41,6617,27,0,0,0,31,2,210,1,2,6,11,595,23,16
BEN,0,0,1,11,2,0,0,15,12,7,0,33,14,1,7,63,0,0,31,16,7,13,1,2,2,0,0,3,36,3,10,3,6,2,46,37,14,29,42,46,21,11,0,22,0,0,11,1,0,0,1,7,54,0,0,21,1,13,11,27,0,31,13,28,15,0,0,151,0,10,6,102,5,48,0,9,7,1,0,14,0,1,2,2,0,1,13,2,2,21,39,13,25,13,11,12,28,3,19,29,8,48,10,4,0,1,18,11,1,15,14,5,0,0,12,1,4,11,2,0,16,0,0,6,0,21,0,0,22,6,3,0,0,19,4,0,2,10,26,11,1,17,52,2,0,46,20,12,20,5,24,10,18,18,0,3,19,0,18,2,13,0,13,0,15,12,13,20,7,21,15,0,0,2,3,0,2,1,18,0,0,1,11,8,21,0,0,2,0,0,3,20,7,0,0,0,0,4,13,15,0,18,28,24,8,4,94,0,0,0,0,2,0,19,1,0,0,10,53,14,5
BES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,1,1,0,0,0,0,1,4,0,0,19,21,0,5,44,31,0,0,3,1,1,0,0,0,0,0,2,15,0,0,0,0,3,29,45,2,7,33,34,17,9,0,4,0,0,3,1,0,0,0,2,71,0,0,17,0,2,1,4,0,21,1,15,6,1,0,168,0,0,7,123,0,52,0,6,11,6,0,2,0,1,1,0,0,1,0,1,1,3,9,1,2,0,1,2,32,0,0,8,1,31,0,5,0,0,8,0,0,0,2,0,0,0,1,1,3,4,1,0,10,0,0,9,0,5,0,0,36,0,0,0,0,5,3,0,2,4,2,2,0,20,36,2,0,33,9,0,2,0,2,1,4,1,0,1,0,0,8,0,1,0,1,0,2,1,6,5,4,46,1,0,0,0,5,0,0,0,1,0,0,0,1,1,13,0,0,1,0,0,1,15,7,0,0,0,0,1,9,2,0,5,14,23,0,0,115,0,0,0,0,1,0,9,1,1,0,0,44,5,3
BGD,0,6,0,9,1,0,0,40,28,14,0,422,30,1,1,67,16,0,3,0,14,11,0,1,3,0,0,1,77,3,15,11,7,0,180,70,26,270,8,23,9,2,0,34,0,0,13,4,0,0,2,16,153,0,0,58,2,20,13,77,0,58,15,43,33,7,0,78,0,10,0,443,11,38,0,1,6,4,0,22,0,1,3,1,1,2,16,2,9,56,263,26,46,31,13,23,99,1,27,468,13,43,13,13,0,1,197,15,3,19,11,6,0,0,29,0,5,14,2,0,17,0,1,6,3,38,0,0,5,6,13,1,2,21,1,0,1,8,280,10,1,0,47,2,0,96,47,63,38,15,125,11,27,67,0,3,44,0,28,4,11,0,20,0,19,42,12,146,6,6,51,0,0,3,3,1,2,0,23,1,0,1,14,11,101,0,0,1,1,0,3,3,79,0,0,1,0,5,13,61,0,39,37,16,13,14,746,1,0,0,0,9,0,68,1,3,0,8,91,11,10
BGR,0,0,0,6,23,0,0,17,107,229,0,269,350,73,1,338,7,0,1,14,0,9,0,26,233,0,0,4,329,0,7,3,7,0,176,390,106,351,3,12,7,0,0,245,0,0,10,1,0,0,170,371,671,0,0,171,1,18,156,182,0,486,208,9,263,0,0,524,0,6,0,740,236,10,0,0,0,0,0,374,1,1,1,1,1,2,253,1,331,12,261,222,189,14,16,143,552,4,13,210,26,13,9,0,0,0,206,10,0,18,6,2,0,1,127,0,203,17,194,0,82,1,8,0,0,224,0,46,0,9,2,11,5,7,0,0,2,1,236,9,0,0,26,1,0,260,159,9,176,6,174,6,18,15,0,1,497,0,338,5,64,0,164,0,257,446,6,117,5,0,26,0,0,0,0,0,0,0,342,0,0,0,152,149,196,1,0,0,0,0,1,5,197,2,0,0,0,7,13,324,0,258,6,4,224,8,592,26,0,0,0,5,0,24,0,0,8,5,122,4,1
BHR,0,0,0,10,1,0,0,49,9,7,0,30,12,1,1,20,13,0,1,11,9,0,0,1,1,0,0,0,28,1,7,3,4,0,49,15,13,40,3,13,9,0,0,27,0,0,10,0,0,0,1,3,33,0,0,18,0,28,8,65,0,26,12,29,21,10,0,21,0,12,0,80,5,11,0,0,0,0,0,18,0,0,0,0,0,0,10,0,1,14,49,26,28,27,10,17,23,1,35,28,10,17,11,0,0,0,19,27,0,30,10,3,0,0,20,0,3,13,1,0,10,0,0,0,0,20,0,0,0,4,2,0,0,10,1,0,0,0,41,8,2,0,28,0,0,18,22,11,28,32,45,9,22,19,0,2,26,0,18,0,21,0,39,0,14,21,8,78,3,0,13,0,0,0,0,0,0,0,24,0,0,0,12,8,32,0,0,0,0,0,2,3,3,0,0,0,0,4,27,21,0,15,11,4,13,2,62,1,0,0,0,0,0,19,0,0,0,18,33,7,0
BHS,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,2,1,2,0,0,0,0,0,2,0,0,3,0,0,0,0,0,15,0,0,2,2,0,0,0,0,3,0,1,0,0,0,5,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,8,1,6,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,1,1,1,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,46,0,0,0,1,0,0,0,0,0,0,0,3,0,0
BIH,0,0,0,0,21,0,0,3,9,2,0,18,44,3,0,26,2,0,0,1,26,1,0,0,9,0,0,1,16,1,1,0,1,0,12,41,9,13,1,3,0,0,0,6,0,0,4,2,0,0,9,41,84,0,0,25,1,2,2,7,0,45,22,2,17,0,0,48,0,0,0,67,7,1,0,0,0,0,0,33,0,1,2,0,0,1,185,0,26,1,9,17,9,5,9,19,57,3,3,7,4,4,3,0,0,0,8,4,0,10,0,2,0,0,1,0,25,5,15,0,4,0,3,0,0,13,0,28,0,4,1,28,0,1,0,0,1,1,5,1,0,0,5,0,0,39,30,1,4,1,2,2,5,3,0,0,45,0,23,2,2,0,11,0,34,28,0,10,1,0,6,0,0,1,0,1,0,0,266,0,0,1,17,91,38,1,0,1,0,0,0,0,4,0,0,0,0,0,6,56,0,4,1,1,14,2,65,2,0,0,0,3,0,3,0,0,12,1,11,0,0
BLR,0,1,0,0,5,0,0,51,126,272,0,217,293,132,1,188,2,0,0,3,233,1,0,9,0,0,0,0,276,1,1,0,1,0,143,314,124,341,0,4,0,0,0,264,0,0,2,1,0,0,161,301,410,0,0,164,0,5,146,158,0,327,174,1,186,0,0,362,0,0,0,504,281,3,0,1,1,0,0,284,0,0,1,0,0,0,168,1,270,3,179,163,163,0,4,138,340,3,8,141,28,3,5,1,0,1,175,0,0,2,0,2,0,0,121,0,199,1,166,0,118,0,14,1,1,157,0,10,0,6,1,3,3,0,0,0,0,1,243,1,0,0,8,1,0,147,140,2,149,3,153,0,4,3,0,0,384,0,301,4,57,0,144,0,158,839,1,101,3,0,15,0,0,0,0,0,1,0,279,0,0,0,128,127,156,0,0,0,0,0,0,0,150,4,0,0,0,1,4,299,0,268,2,4,239,2,376,28,0,0,0,1,0,18,0,0,0,0,132,1,0
BLZ,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,2,1,1,0,0,0,0,0,1,0,0,4,0,0,0,0,1,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,4,0,2,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,0
BMU,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,4,0,0,0,0,0,4,0,0,1,0,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,3,2,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BOL,0,2,0,0,1,0,0,1,49,0,0,16,5,0,0,13,3,0,2,1,4,0,0,1,0,0,0,0,61,0,3,1,1,0,20,23,45,14,2,6,2,2,0,50,0,0,14,6,0,0,4,9,27,0,0,11,8,1,31,3,0,49,3,4,8,0,0,48,0,0,1,51,1,3,0,0,1,0,0,4,0,1,14,1,3,4,1,0,4,7,13,4,2,0,3,3,26,2,0,8,0,6,0,1,0,0,1,0,1,2,0,0,0,0,1,0,3,1,2,0,2,0,0,3,0,39,0,0,0,0,0,2,0,0,0,0,1,1,6,0,1,1,3,6,0,17,7,3,5,0,2,11,42,3,0,1,4,0,9,11,2,0,1,0,3,6,0,1,0,0,2,0,0,0,0,4,0,0,3,0,0,3,3,1,41,0,0,0,0,0,0,0,5,1,0,0,0,2,3,1,0,3,2,2,2,17,106,0,0,0,0,17,0,4,0,0,0,0,4,3,0
BRA,0,3,17,12,12,1,0,142,1259,317,1,2024,897,147,3,1095,36,0,15,77,329,28,0,16,276,3,2,61,0,4,16,5,17,1,2407,1544,1097,1668,21,55,17,6,1,1124,1,7,136,222,0,1,194,765,3332,0,1,955,32,55,348,289,0,3246,235,67,691,3,1,3256,0,13,7,5001,287,52,0,5,5,0,0,664,3,2,37,24,5,58,294,10,593,122,1185,590,442,47,50,435,2761,16,65,1096,25,93,17,11,0,3,739,41,7,76,14,9,0,4,173,2,302,50,275,0,166,12,3,16,1,1056,0,22,9,18,8,4,6,67,2,0,11,24,413,27,11,4,157,22,0,1586,546,37,409,46,394,81,424,138,0,8,957,2,2447,64,76,0,196,0,463,1022,14,291,20,15,191,1,0,2,2,11,1,0,383,0,2,10,341,336,1121,2,0,3,4,0,2,6,362,2,0,0,0,9,71,586,0,497,55,55,434,320,9735,28,0,10,0,142,0,179,1,0,1,14,665,16,19
BRB,0,0,0,3,1,0,0,2,4,0,0,8,4,0,1,3,3,0,0,3,0,1,2,1,1,1,0,0,4,0,1,0,2,0,13,11,3,10,1,2,1,0,0,4,1,0,3,5,0,1,1,1,4,0,2,3,0,2,4,6,0,7,3,4,5,0,0,8,0,1,0,35,1,3,0,0,1,0,0,5,1,1,1,0,3,0,3,2,2,3,6,4,3,1,3,5,5,11,3,6,2,3,2,1,0,1,3,2,0,3,1,0,3,0,2,0,2,2,1,0,3,0,0,2,0,6,0,0,0,3,1,0,1,1,0,0,2,3,4,0,2,0,6,1,0,7,4,4,6,1,4,4,4,4,0,1,4,0,4,2,2,0,1,0,3,3,2,4,1,0,5,0,0,1,0,1,1,0,3,0,0,3,2,2,5,0,0,2,0,0,0,0,2,0,0,0,0,21,2,5,0,4,2,3,1,2,47,0,0,0,2,2,0,2,0,0,0,1,8,2,0
BRN,0,0,0,7,1,0,0,12,9,6,0,48,20,0,0,14,10,0,0,15,7,7,0,1,1,0,0,3,16,1,0,3,3,0,28,13,13,50,6,12,8,2,0,12,0,0,10,1,0,0,1,7,29,0,0,12,1,9,10,13,0,12,9,9,10,0,0,18,0,7,0,75,4,10,0,0,0,0,0,19,0,1,1,1,1,0,10,0,1,33,27,12,13,9,8,9,14,2,8,29,6,8,8,4,0,0,29,8,1,10,7,3,0,0,13,1,2,8,2,0,6,0,0,1,0,14,0,0,0,4,5,0,1,9,1,0,1,2,44,7,0,0,12,1,0,16,13,10,12,4,17,13,11,13,0,3,11,0,11,2,8,0,8,0,11,10,7,20,2,0,32,0,0,1,0,0,1,0,9,0,0,2,8,7,13,0,0,1,0,0,2,3,11,0,0,0,0,5,8,10,0,21,11,4,7,3,26,0,0,0,0,4,0,20,0,0,0,7,12,8,0
BTN,0,1,0,3,0,0,0,4,4,3,0,27,5,0,0,4,3,0,0,11,3,3,0,0,0,0,0,1,5,0,3,0,2,0,5,5,4,7,3,4,3,0,0,4,0,0,4,0,0,0,0,0,6,0,0,3,0,4,4,3,0,6,3,4,4,0,0,6,0,3,0,20,1,3,0,0,1,0,0,3,0,0,1,0,0,1,3,0,1,9,15,3,4,3,3,3,5,0,3,8,3,5,3,6,0,0,4,3,1,3,3,1,0,0,7,0,0,3,0,0,4,0,0,1,2,4,0,0,0,1,2,0,0,4,0,0,1,0,8,3,0,0,4,1,0,8,4,10,6,0,5,4,3,3,0,1,3,0,5,0,3,0,3,0,3,5,3,3,0,0,7,0,0,0,0,1,0,0,3,0,0,0,3,2,6,0,0,0,0,0,1,1,16,1,0,1,0,2,4,4,0,3,3,1,4,1,23,0,0,0,0,0,0,8,0,0,0,3,4,2,0
BWA,0,0,1,3,2,0,0,5,12,4,0,32,7,0,1,12,6,0,0,7,7,4,0,1,1,0,0,1,17,2,3,2,0,1,45,28,18,16,5,26,8,1,0,9,1,0,5,1,0,1,1,5,33,0,1,18,1,6,7,8,0,20,9,34,9,1,0,34,0,4,0,117,4,22,0,0,1,0,0,7,1,0,2,0,0,0,4,4,2,7,39,6,12,5,6,6,26,1,5,18,5,47,4,1,0,1,9,4,0,4,4,0,0,0,5,2,3,4,1,0,11,0,0,3,0,15,0,0,2,3,0,0,2,7,1,0,2,9,10,32,1,2,22,1,0,24,8,6,13,0,11,3,7,7,0,1,12,0,10,2,5,0,5,0,11,12,7,11,2,2,6,0,0,0,0,0,1,1,6,0,0,1,5,4,21,5,0,2,0,0,2,0,4,0,0,0,0,2,3,16,0,8,17,30,6,5,190,0,0,0,0,2,0,7,0,0,1,4,168,14,26
CAF,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,6,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,7,0,5,4,14,3,9,0,0,0,0,0,0,0,0,0,10,6,0,0,1,0,0,0,0,0,2,0,0,1,0,0,30,0,0,10,19,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0,4,3,12,9,1,0,516,658,150,4,5304,1325,121,6,1986,46,0,29,180,176,49,14,12,143,6,3,20,2407,13,28,5,45,4,0,3122,784,9711,51,107,42,8,0,455,1,2,71,62,1,4,76,795,6570,2,8,1677,10,169,100,688,0,3149,139,123,927,9,9,6150,0,14,10,10408,154,109,1,8,13,5,0,700,21,35,16,4,4,10,172,17,553,129,1597,886,1412,76,115,1258,4052,29,173,2593,56,249,26,26,0,12,1377,101,10,196,19,25,1,8,104,2,64,114,43,0,255,14,11,16,2,807,0,30,22,35,16,3,30,30,1,1,10,40,438,32,21,7,209,8,0,3597,1303,67,934,76,438,68,136,144,1,10,1214,2,815,18,90,0,290,0,393,1104,54,938,18,41,760,1,0,4,12,4,4,1,289,0,0,4,249,299,2200,3,2,6,12,2,3,8,321,10,0,2,0,19,181,761,0,825,101,163,133,78,26647,15,0,6,1,60,0,157,9,0,3,19,1155,32,35
CHE,0,11,2,8,18,1,0,136,476,334,0,2881,2628,156,11,2812,37,0,45,70,390,15,2,41,314,2,2,23,1544,11,13,5,28,7,3122,0,588,2604,78,80,62,30,3,514,1,0,45,71,1,1,230,1337,10910,1,1,1867,11,66,201,304,2,4078,352,97,1221,3,3,6894,0,9,12,9758,311,109,0,18,22,6,0,1322,2,6,13,10,8,34,449,5,971,131,1246,1029,484,20,125,998,6151,14,55,1982,25,221,29,26,1,3,939,31,18,117,17,7,2,73,160,7,391,166,316,0,171,13,15,33,2,500,0,39,18,69,14,14,16,45,3,0,9,64,408,25,4,9,108,7,0,4153,1243,68,537,14,311,44,132,146,0,22,1645,2,1225,11,83,0,222,0,688,1386,33,356,26,47,479,0,1,7,14,4,7,0,491,7,0,6,458,540,2517,16,0,12,2,0,11,10,400,1,0,3,1,13,89,758,0,640,140,99,477,34,12269,30,0,3,0,33,0,151,3,4,5,17,858,49,40
CHL,0,0,2,8,6,1,0,91,737,137,0,867,351,116,1,319,14,0,2,26,106,13,1,9,124,1,0,45,1097,3,13,4,18,0,784,588,0,583,10,26,12,1,2,556,1,0,81,55,0,1,22,252,1410,0,2,389,19,31,162,47,0,2069,42,30,179,2,1,1260,0,9,2,1943,127,24,0,1,2,0,0,242,1,5,24,5,3,15,53,6,197,34,293,109,117,13,34,277,953,9,22,459,14,31,15,7,0,0,208,17,1,24,9,5,0,0,18,1,32,25,14,0,150,1,4,7,0,543,0,12,1,11,4,3,2,13,2,0,2,5,156,14,8,0,33,4,0,550,247,18,173,9,46,34,189,39,1,2,362,2,379,35,68,0,34,0,181,332,11,102,5,3,56,0,0,1,0,8,1,0,172,0,0,4,156,166,437,0,0,2,0,0,2,4,53,5,0,1,1,8,28,232,0,227,17,11,48,121,2984,3,0,29,0,96,0,45,0,1,0,8,343,11,7
CHN,0,1,0,8,12,0,0,409,448,327,0,13437,1411,167,12,1930,29,0,7,270,351,40,2,13,341,1,2,14,1668,10,50,7,16,5,9711,2604,583,0,25,86,19,8,0,531,5,1,37,79,1,1,203,1101,8822,1,1,2212,8,199,229,1065,5,3040,314,150,1532,1,1,5956,1,12,6,16575,312,222,0,9,4,3,0,1014,6,11,10,3,2,33,381,5,831,304,2838,1164,1065,162,109,1023,3920,6,93,8316,133,209,39,42,0,13,4673,64,16,102,15,19,0,5,250,1,334,125,286,0,197,6,8,12,1,784,13,23,7,13,109,6,83,16,1,0,42,21,1296,20,9,4,277,5,0,3496,1250,140,1393,79,3005,40,140,318,0,16,1486,60,1136,11,86,0,533,0,703,2515,35,2217,134,18,5770,0,0,2,17,3,2,2,451,2,0,2,396,501,3093,1,0,4,12,0,2,17,1047,10,0,1,1,12,134,1008,0,4339,87,43,577,54,58633,70,0,3,0,47,0,594,3,2,1,33,1065,36,24
CIV,0,0,0,3,0,0,0,7,5,3,0,22,8,0,6,37,42,0,33,8,3,3,0,1,0,0,0,2,21,1,6,3,5,4,51,78,10,25,0,37,21,9,0,9,0,0,6,1,0,0,1,6,55,0,0,10,0,5,8,11,0,22,5,14,8,0,0,184,0,3,9,102,2,28,0,10,3,1,0,6,0,1,2,8,2,3,4,2,2,12,20,5,6,3,4,4,25,1,4,16,5,29,6,3,0,0,6,4,1,7,5,0,0,0,6,3,1,8,1,0,10,0,0,8,0,12,0,0,13,3,1,0,0,15,7,0,2,7,11,3,0,11,24,2,0,22,12,8,9,0,6,8,10,10,0,2,9,0,13,0,4,0,3,0,7,8,12,5,3,32,10,0,0,2,1,1,0,0,6,1,0,2,4,5,12,2,0,1,1,0,4,13,6,0,0,0,0,1,8,8,0,4,22,19,8,3,104,0,0,0,0,2,0,10,1,0,0,5,39,10,6
