,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BIH,0,0,6,0,0,1,0,0,0,2,17,1,0,1,0,0,0,6,0,0,0,1,0,0,0,2,0,0,0,0,0,5,9,1,0,0,0,1,0,0,0,0,0,0,0,3,3,28,0,0,4,0,1,0,0,0,7,2,0,2,0,5,0,0,11,0,1,0,0,0,0,0,4,0,0,0,0,0,0,64,0,4,0,0,0,1,0,0,3,11,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,0,3,0,1,0,0,5,5,3,0,2,2,0,0,0,0,0,0,0,60,0,0,8,18,1,0,0,1,0,0,1,0,0,0,0,2,3,2,1,0,3,0,28,2,0,0,0,0,0,0,0,0,0,0,0,1
BLR,0,0,1,0,0,0,2,7,0,13,10,3,0,11,0,0,0,11,0,0,1,0,0,0,0,6,0,0,0,0,0,11,18,1,15,0,0,0,0,3,0,0,0,2,0,1,15,141,0,0,9,0,0,0,0,0,19,6,0,6,0,40,0,0,48,2,0,0,0,0,0,0,16,0,0,1,0,0,0,4,0,7,1,10,5,8,0,0,6,30,0,10,15,2,0,0,0,0,23,1,0,0,0,0,0,0,1,0,21,4,12,1,0,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,71,0,19,0,0,0,5,208,0,0,0,0,0,0,0,0,0,0,7,0,0,8,5,8,0,0,0,0,1,1,0,0,0,0,0,15,6,0,0,46,0,71,4,0,0,0,0,1,0,0,0,0,4,0,0
BLZ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,22,1,0,14,1,0,0,23,0,1,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,16,8,9,0,1,3,0,0,8,0,0,0,1,0,0,7,19,0,0,3,0,2,4,0,0,32,0,0,0,0,30,0,0,18,1,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,1,0,0,0,0,9,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,3,1,24,1,0,0,5,0,5,1,0,0,2,3,0,1,0,1,0,0,0,2,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,7,78,1,0,0,0,4,6,0,0,0,0,1,0,0
BRA,0,4,0,0,0,5,604,11,0,340,121,2,0,228,7,3,4,11,2,0,2,6,0,0,22,0,1,0,0,1,1,721,242,219,203,3,13,4,1,237,0,0,29,101,0,1,130,973,0,0,115,6,6,72,19,0,728,14,2,88,1,1138,0,2,1137,9,5,0,1,1,1,0,52,0,1,9,3,0,10,22,1,69,6,188,86,14,0,8,99,625,0,5,258,0,14,0,2,0,123,7,0,5,0,0,0,0,8,0,4,1,10,7,3,0,4,0,273,0,3,2,2,0,0,0,8,0,0,0,3,12,1,2,2,18,3,339,69,7,50,2,23,23,70,16,0,1,116,0,457,10,0,0,35,230,1,13,1,7,31,0,0,6,0,0,28,0,0,16,36,262,0,0,3,0,0,39,0,0,0,2,11,49,48,7,12,21,97,3434,2,0,0,0,84,19,0,0,0,1,104,3,1
BRB,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
BWA,0,0,0,0,0,0,1,0,0,5,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,1,0,1,0,0,3,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,2,1,0,0,0,2,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,11,0,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,3,5,0,0,47,0,0,0,0,0,0,0,0,0,0,31,2,4
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0
CAN,2,0,0,0,1,98,287,16,0,1650,388,3,0,724,12,12,39,46,2,3,5,11,0,4,16,721,10,1,1,5,3,0,1046,187,2355,7,18,1,1,111,0,0,26,24,0,22,269,2701,1,1,523,3,41,67,115,1,1051,25,6,393,3,2943,0,4,4375,15,12,3,0,2,0,0,228,0,15,5,1,2,0,37,3,202,29,449,258,440,1,55,428,1552,9,25,1235,11,49,0,1,4,643,33,2,55,2,7,0,0,23,0,17,8,11,64,2,5,8,0,413,0,6,11,3,0,11,3,2,0,0,1,7,58,1,4,3,12,4,1213,483,7,358,18,90,18,28,29,0,2,398,2,160,3,0,28,91,541,1,81,3,9,253,0,0,2,0,0,57,0,0,122,53,801,0,0,11,0,2,143,0,0,0,21,61,202,338,17,35,75,21,14440,6,1,0,0,40,22,0,0,0,1,250,4,2
CHE,0,2,9,0,0,6,110,40,0,731,886,9,1,864,5,13,23,90,2,0,9,18,0,0,8,242,0,0,0,1,1,1046,0,77,523,16,13,4,3,59,0,0,7,12,0,12,319,4968,0,0,443,0,15,30,34,1,1045,25,6,397,1,2832,0,6,2983,19,18,0,1,9,0,0,303,0,0,3,3,0,0,72,1,187,17,293,209,54,1,30,292,2212,3,6,635,3,51,5,7,2,274,3,8,16,0,1,0,20,13,1,33,32,20,17,5,9,10,0,125,0,6,17,2,0,7,14,5,0,0,0,10,23,3,3,4,24,4,1258,274,10,96,8,36,10,20,20,1,7,439,0,245,2,0,2,97,602,0,15,8,10,109,0,1,1,0,0,61,0,0,125,130,649,3,14,5,3,1,80,3,0,1,0,19,144,175,48,35,63,8,5037,6,0,2,0,14,39,0,0,0,2,171,8,12
CHL,0,1,0,0,0,1,228,9,0,117,40,1,0,71,0,0,0,5,0,0,1,1,0,0,9,219,0,0,0,0,0,187,77,0,31,1,0,0,0,56,0,0,8,20,0,1,21,412,0,0,44,3,2,13,0,0,431,3,0,21,1,385,0,0,357,1,0,0,0,0,0,0,13,0,0,2,1,0,2,4,0,16,0,36,28,3,0,1,35,182,1,0,101,0,2,0,0,0,28,1,0,2,0,0,0,0,0,0,1,1,1,3,0,0,0,0,116,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,80,19,0,21,0,1,3,39,2,0,0,58,0,54,4,0,1,10,53,0,1,1,0,4,0,0,3,0,0,5,0,0,5,6,70,0,0,1,0,0,6,0,0,0,1,2,8,8,0,0,9,33,910,0,0,1,0,30,3,0,0,0,0,36,0,0
CHN,0,0,1,0,0,13,113,9,0,2360,255,4,1,362,0,2,26,30,0,0,0,15,0,1,0,203,0,2,0,0,0,2355,523,31,0,2,12,0,0,76,0,0,6,11,0,6,154,2174,0,0,283,3,11,48,61,0,343,15,2,223,3,1459,0,0,3137,2,5,0,2,2,0,0,102,0,0,1,1,0,1,39,0,106,43,448,206,73,4,15,192,601,1,4,3653,1,29,3,3,0,1442,11,5,12,0,1,0,0,17,0,13,9,5,11,1,2,3,0,192,0,14,1,1,1,2,15,1,0,0,0,0,140,1,0,2,35,0,673,177,4,190,12,146,3,10,72,1,2,213,14,102,0,1,22,56,477,0,37,5,1,1440,0,1,1,0,0,41,0,0,32,77,714,0,0,2,0,1,213,0,0,0,3,15,107,1072,5,4,28,18,12305,9,0,1,0,14,52,0,0,0,1,143,2,1
CIV,0,0,0,0,0,0,1,0,0,4,1,0,1,10,8,10,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,7,16,1,2,0,9,0,1,1,0,0,1,0,0,0,0,12,0,0,1,1,1,0,1,0,1,0,1,0,0,85,0,1,10,0,4,0,2,2,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,1,0,0,0,10,0,0,4,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,3,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,3,3,0,2,1,1,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,4,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,4,0,0,23,0,0,0,0,0,1,0,0,0,0,9,2,1
CMR,0,1,0,0,0,0,1,0,0,11,3,0,0,29,13,12,0,0,0,0,0,0,0,0,3,13,0,0,0,9,3,18,13,0,12,9,0,6,3,0,0,0,1,0,0,0,0,53,0,1,4,1,3,2,1,0,5,1,3,1,0,197,0,5,48,0,12,0,1,0,0,0,3,0,0,0,0,0,1,0,0,2,2,5,1,0,0,0,5,39,0,0,15,0,7,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,0,2,1,0,1,3,15,0,8,0,1,1,0,10,1,0,0,0,0,1,0,5,0,0,0,3,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,2,4,0,0,0,2,7,0,1,2,4,1,0,81,0,0,0,0,0,4,0,0,0,0,32,1,2
COD,0,1,0,0,0,1,1,0,0,2,1,0,0,39,1,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,4,0,0,0,6,0,1,0,0,0,0,2,0,0,0,5,0,0,4,0,1,1,0,0,2,0,0,0,0,15,0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,1
COG,0,1,0,0,0,0,0,0,0,1,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,1,3,1,0,0,1,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,2,0,0,0,0,16,0,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,1
COL,0,0,0,0,0,1,120,2,0,24,12,2,0,38,0,1,1,2,0,0,0,3,0,0,8,237,1,0,0,0,0,111,59,56,76,1,0,0,0,0,0,0,18,21,0,1,56,122,0,0,9,5,1,63,3,0,330,4,0,9,0,164,0,0,174,2,0,0,1,0,0,0,8,0,0,5,2,0,5,2,2,6,0,65,53,4,0,1,24,66,1,1,32,0,2,0,0,0,57,0,1,9,0,0,0,0,5,0,2,0,1,3,0,0,0,0,175,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,0,13,5,82,7,1,13,0,1,15,28,7,0,0,12,0,11,1,0,0,3,58,0,3,1,3,6,0,0,3,0,0,4,0,0,2,2,67,0,0,0,0,0,9,0,0,0,0,3,11,9,1,1,5,13,453,1,0,0,0,44,3,0,0,0,0,13,0,1
COM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
CRI,0,0,0,0,0,1,21,0,0,12,2,0,0,10,0,0,0,1,0,0,0,0,0,0,0,29,1,0,0,0,0,26,7,8,6,1,1,0,0,18,0,0,0,3,0,0,0,28,0,0,4,1,0,6,0,0,37,0,1,2,1,23,0,0,30,0,0,0,0,0,0,0,1,0,0,8,0,1,1,1,0,1,3,3,0,1,0,1,3,13,0,0,6,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,47,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,9,12,4,0,2,0,1,19,14,4,0,0,4,0,3,1,0,0,1,3,0,1,0,0,2,0,0,7,0,0,3,0,0,0,1,5,0,0,0,0,0,1,0,0,0,2,0,1,2,0,0,0,6,199,0,0,0,0,12,2,2,0,0,0,3,0,1
CUB,0,0,0,0,0,0,32,1,1,2,11,0,0,34,1,0,1,0,0,0,0,2,1,0,1,101,1,0,0,0,0,24,12,20,11,0,0,2,0,21,0,0,3,0,0,0,4,52,0,1,8,6,1,4,1,0,186,2,0,3,0,35,0,0,51,1,0,0,0,0,0,0,5,0,0,1,0,0,2,3,1,3,0,7,6,0,0,0,2,47,2,0,22,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,12,10,0,2,0,0,0,9,1,0,0,6,0,25,4,0,1,3,8,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,5,0,0,0,0,0,3,0,0,0,0,0,2,2,0,2,3,4,65,0,0,0,0,25,0,0,0,0,0,5,0,0
CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,0,0,5,0,12,13,1,0,10,0,0,0,16,0,0,3,1,0,0,0,1,0,0,0,0,0,22,12,1,6,0,0,0,0,1,0,0,0,0,0,0,8,44,0,0,11,0,4,0,3,0,25,5,0,10,0,30,0,0,102,1,0,0,0,0,0,0,142,0,0,0,0,0,0,6,0,5,0,5,11,1,0,0,7,49,0,1,11,0,0,0,0,0,7,0,0,2,0,0,0,1,2,0,2,4,2,3,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,15,0,7,0,0,0,9,12,0,0,0,0,0,0,0,0,0,0,2,0,0,12,7,4,0,0,1,0,0,0,0,0,0,0,1,17,7,0,0,7,0,144,2,0,0,0,0,0,0,0,0,0,2,0,0
CZE,0,0,1,0,0,6,75,24,0,150,322,1,0,260,0,1,2,72,1,0,3,15,0,0,7,130,0,0,0,0,0,269,319,21,154,0,0,0,0,56,0,0,0,4,0,8,0,1204,0,0,154,0,10,47,8,0,357,20,1,161,1,790,0,0,826,4,0,0,1,0,0,0,160,0,0,1,0,0,0,69,0,169,8,122,122,13,0,4,127,530,0,11,251,2,1,0,1,0,108,2,0,2,0,0,0,2,2,0,37,10,14,6,1,1,2,0,89,0,3,0,6,0,6,11,1,0,0,0,2,5,17,1,0,0,0,372,115,1,19,0,12,4,3,5,0,1,422,0,128,0,0,2,79,380,0,9,0,2,16,0,0,0,0,0,62,0,0,516,99,282,0,0,1,0,0,7,0,0,0,0,1,56,34,3,1,85,1,1041,2,0,0,0,3,4,0,0,0,2,50,0,3
DEU,3,0,7,0,1,53,370,92,0,1935,3268,20,1,2085,11,18,26,383,6,0,28,141,0,3,19,973,1,3,2,9,1,2701,4968,412,2174,12,53,5,4,122,0,0,28,52,0,44,1204,0,0,2,1416,1,28,70,250,1,3273,105,26,1101,2,6252,0,29,8691,53,43,1,1,5,0,0,947,0,1,3,2,0,0,229,0,849,75,1050,600,215,15,49,1038,4892,3,81,2268,20,67,5,5,0,725,15,3,38,0,2,0,13,14,0,133,102,79,55,10,22,13,0,427,0,28,5,12,6,10,24,4,0,0,2,5,61,24,2,2,49,3,4345,824,9,367,16,125,27,27,44,0,6,1810,6,728,0,4,19,493,2906,2,50,28,10,244,0,1,0,0,0,178,0,0,375,262,2172,0,0,23,0,2,194,2,1,0,4,34,538,340,34,14,534,30,14772,47,0,1,0,42,77,0,0,0,11,463,3,7
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,2,0,0,6,51,3,0,466,268,2,0,371,2,6,6,37,1,1,4,9,0,0,3,115,0,0,0,1,0,523,443,44,283,1,4,4,1,9,0,0,4,8,0,11,154,1416,0,1,0,0,3,5,16,0,599,45,2,493,0,853,0,0,1783,5,12,0,0,4,15,0,149,0,35,3,1,0,0,20,0,112,7,75,160,27,0,98,116,772,1,0,305,3,24,0,0,1,55,1,0,1,0,0,0,0,5,1,35,14,18,4,3,2,6,0,21,0,8,2,1,0,6,2,4,0,0,1,5,10,0,1,1,3,1,774,650,4,93,1,13,3,7,10,0,2,257,0,149,0,1,0,41,157,0,5,6,4,68,0,0,0,0,0,40,0,0,41,52,1218,0,0,3,0,1,42,0,0,0,3,6,56,25,34,21,24,11,2276,2,0,0,0,3,23,0,0,0,0,87,5,9
DOM,0,0,0,0,0,0,10,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,1,0,3,0,3,3,1,1,0,0,5,0,0,1,6,0,0,0,1,0,1,0,0,0,2,0,0,4,0,0,1,0,3,0,0,6,0,0,0,1,0,0,0,0,0,0,2,0,0,4,0,2,0,0,3,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,6,0,0,0,0,0,1,0,0
