,AFG,AGO,ALB,AND,ANT,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AUT,0,0,2,0,0,9,55,5,0,343,0,3,0,430,4,4,6,69,0,0,17,10,0,0,1,121,0,1,2,2,0,388,886,40,255,1,3,1,0,12,0,0,2,11,0,13,322,3268,0,0,268,0,3,3,42,0,643,21,5,228,0,1018,0,7,1292,6,5,1,0,1,0,0,196,0,1,0,0,0,0,87,0,256,3,122,115,25,1,19,155,1078,1,4,327,0,11,0,2,0,117,2,1,5,0,0,0,42,5,0,33,24,15,11,2,4,4,0,60,0,4,0,0,0,2,7,0,0,0,0,0,13,1,0,1,4,0,635,210,5,70,1,20,0,2,3,0,0,355,0,174,0,0,0,106,298,0,10,4,4,33,0,2,1,0,0,68,0,0,200,188,442,0,0,3,0,0,54,0,0,0,0,7,92,86,8,11,73,2,2001,2,0,0,0,5,18,0,0,1,0,51,6,3
AZE,0,0,1,0,0,0,1,4,0,1,3,0,0,3,0,0,0,1,0,0,1,3,0,0,0,2,0,0,0,0,0,3,9,1,4,0,0,0,0,2,0,0,0,0,0,1,1,20,0,0,2,0,0,0,1,0,4,1,0,0,0,5,0,0,13,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,2,7,0,0,11,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,5,0,5,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4,0,0,0,0,0,1,1,1,0,0,0,77,2,0,0,9,0,28,3,0,0,0,0,1,0,0,0,0,0,0,0
BDI,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1
BEL,0,2,2,0,0,13,93,12,0,448,430,3,4,0,30,32,11,122,1,0,1,11,0,1,23,228,1,0,1,1,0,724,864,71,362,10,29,39,5,38,0,0,10,34,0,10,260,2085,0,0,371,5,31,17,26,0,1111,38,21,242,2,2809,0,6,2418,13,11,0,4,8,0,0,260,0,0,1,0,1,4,57,1,224,12,136,177,55,0,18,210,1436,0,3,385,11,52,1,9,1,91,3,3,15,0,0,0,1,10,0,45,68,13,31,2,8,6,0,107,0,6,9,7,2,6,7,8,0,0,0,5,20,0,1,6,20,4,2074,218,7,93,3,8,11,35,23,0,1,450,0,245,3,0,2,154,351,18,12,4,16,54,0,0,1,0,0,45,0,0,65,75,553,0,0,5,0,5,45,0,0,0,0,45,120,49,27,29,59,17,2847,5,0,0,0,14,44,0,0,0,1,130,13,10
BEN,0,0,0,0,0,0,1,0,0,1,4,0,1,30,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,2,1,12,5,0,0,8,13,1,2,0,0,0,0,1,0,0,0,11,0,0,2,0,1,0,0,0,1,0,0,0,0,60,0,2,12,0,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,6,11,0,12,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,6,0,0,0,0,0,0,0,0,4,2,0,0,17,0,0,0,0,0,0,0,0,0,0,4,0,1
BFA,0,0,0,0,0,0,1,0,0,5,4,0,0,32,15,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,3,12,13,0,2,10,12,1,3,1,0,0,0,0,0,0,1,18,0,0,6,0,2,0,2,0,9,0,1,1,0,85,0,3,52,0,12,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,1,0,0,0,13,0,0,2,0,8,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,6,0,2,0,0,19,0,0,0,0,1,0,0,0,0,2,1,0,13,6,0,14,1,1,1,0,1,0,1,0,0,0,1,0,2,0,0,0,1,3,2,0,0,19,1,0,1,0,0,0,0,0,0,0,0,19,0,0,1,1,4,3,0,0,0,0,2,1,1,5,3,0,0,29,0,0,0,0,1,6,0,0,0,0,5,2,2
BGD,0,0,0,0,0,1,1,0,0,38,6,0,0,11,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,39,23,0,26,0,0,0,0,1,0,0,0,1,0,0,2,26,0,0,6,0,0,1,3,0,6,0,1,3,0,15,0,0,116,0,2,0,0,1,0,0,0,0,0,1,0,0,0,3,0,2,7,55,2,1,0,0,3,16,1,0,204,0,6,0,1,0,46,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,2,28,0,0,0,1,0,28,6,5,6,0,14,0,2,9,0,0,3,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,29,0,0,0,0,0,2,1,0,1,0,0,192,0,0,0,0,0,5,0,0,0,1,12,1,0
BGR,0,0,9,0,0,1,6,25,0,44,69,1,0,122,0,1,1,0,0,0,6,11,0,0,0,11,0,0,0,0,0,46,90,5,30,0,0,0,0,2,0,0,1,0,0,16,72,383,0,0,37,0,4,0,4,0,133,16,1,58,0,213,0,0,220,1,1,0,0,0,0,0,93,0,0,0,0,0,0,25,0,69,1,25,28,9,0,1,29,206,0,2,84,2,1,0,0,0,19,1,0,3,0,0,0,0,1,0,14,9,8,1,2,3,0,0,27,0,33,0,3,0,6,8,1,0,0,0,0,3,0,0,0,1,0,68,22,0,5,0,4,0,1,3,0,0,138,0,33,0,0,0,81,127,0,1,0,0,1,0,0,0,0,0,45,0,0,63,18,59,0,0,2,0,0,4,2,0,0,0,4,48,9,0,0,28,0,229,3,0,0,0,0,2,0,0,0,0,13,0,1
BHR,0,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,7,0,1,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,1,3,0,2,0,0,0,0,0,0,1,9,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,8,0,1,0,17,4,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,9,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0
BHS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
