,AFG,AGO,ALB,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SVK,SVN,SWE,SWZ,SYR,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,XKX,YEM,ZAF,ZMB,ZWE
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,2,0,2,44,76,0,1946,294,4,0,660,0,0,30,36,6,10,8,0,0,0,154,8,0,0,10,0,1320,696,58,828,0,4,0,72,0,2,6,76,90,1816,0,426,4,2,4,44,0,850,30,20,322,0,1010,0,0,4856,10,32,0,4,0,324,0,0,2,0,0,0,14,0,112,18,250,522,74,6,42,240,982,2,12,246,2,80,2,0,134,8,4,28,0,4,0,2,26,0,42,24,14,4,0,0,0,90,4,2,56,2,2,6,0,2,18,120,0,2,0,34,4,1398,436,10,504,16,44,2,22,28,4,126,262,0,0,8,62,64,8,30,10,4,284,4,4,0,0,4,38,24,44,568,0,4,0,54,0,6,14,146,126,48,40,16,10,5462,0,56,22,0,0,0,304,6,24
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,6,0,2,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,4,0,4,0,0,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,12,0,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,60,0,0,0,0,0,0,6,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
GNB,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,2,2,6,0,24,10,0,0,42,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,0,32,18,2,14,0,0,0,4,0,0,0,46,10,72,0,14,0,0,0,6,0,52,2,0,20,0,36,0,0,324,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,10,0,0,4,12,42,0,2,4,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,50,14,0,14,0,2,0,0,2,0,8,18,0,0,4,8,6,0,0,0,0,4,0,0,0,0,0,10,0,0,16,0,0,0,4,0,0,0,24,8,0,0,0,0,192,0,0,0,0,0,0,4,0,0
GRD,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
GRL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
HND,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,0,8,8,0,0,6,0,0,0,0,0,18,2,0,0,0,4,0,0,0,0,0,6,2,0,6,0,0,0,4,0,0,0,0,2,8,0,10,0,0,0,0,0,10,4,0,8,0,4,0,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,4,0,2,0,0,4,8,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,4,0,2,0,0,0,0,0,0,6,0,0,0,0,0,10,2,0,4,0,4,0,0,0,0,8,8,0,0,0,2,2,0,0,0,0,8,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,6,6,0,0,0,0,28,0,0,4,0,0,0,2,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0
HUN,0,0,0,0,0,0,8,12,0,0,20,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,12,16,0,4,0,0,0,0,0,0,0,0,20,98,0,14,0,0,0,0,0,14,8,2,28,0,30,0,0,112,2,2,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,4,26,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,50,12,0,2,0,0,0,2,0,0,20,14,0,0,0,24,2,2,0,0,0,2,0,0,0,0,0,0,16,6,24,0,0,0,2,0,0,0,6,2,0,0,2,0,134,0,2,0,0,0,0,2,0,0
IDN,0,0,0,0,0,0,64,2,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,6,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,0,20,0,0,0,0,0,30,2,0,10,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,2,0,10,0,2,0,0,102,0,0,4,0,0,0,6,0,0
IND,2,0,0,6,4,0,50,20,0,0,16,0,0,4,2,2,0,4,0,0,0,8,0,0,2,4,0,108,48,12,36,0,0,0,2,0,0,4,2,0,88,0,10,4,0,0,2,0,18,0,4,8,0,46,0,0,250,0,4,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,8,0,0,6,16,0,0,32,0,4,0,0,8,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,0,14,0,0,0,6,0,74,28,4,18,2,8,0,10,6,0,6,10,0,0,0,2,2,0,6,2,0,34,0,0,0,0,0,0,8,2,10,0,0,0,12,0,2,0,10,6,0,2,0,2,448,0,6,0,0,0,0,30,0,2
IRL,0,0,0,2,0,0,104,16,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,26,6,24,0,0,0,0,0,0,0,2,6,76,0,22,0,0,0,2,0,52,0,0,18,0,32,0,0,522,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,0,4,0,4,0,8,8,38,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,80,16,0,12,0,2,0,0,2,0,4,14,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,4,0,8,26,0,0,0,4,0,0,0,8,4,0,2,0,0,256,0,0,0,0,0,0,14,0,0
IRN,0,0,0,0,4,4,40,0,4,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,20,6,2,10,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,2,0,8,0,0,12,0,10,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,4,0,0,4,2,8,0,0,2,0,4,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,122,0,0,0,0,0,16,6,0,4,2,2,0,2,8,0,4,4,0,0,0,4,0,0,2,0,0,6,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,18,2,0,0,0,0,72,0,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,10,2,2,0,0,0,0,0,0,0,0,0,10,0,22,0,0,0,0,0,8,0,0,8,0,4,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,4,0,0,0,0,62,0,0,0,0,0,0,0,0,0
ISR,0,0,0,0,0,0,64,22,0,0,14,0,0,4,0,0,4,0,0,0,0,8,0,0,0,0,0,104,30,4,36,0,0,0,6,0,0,0,4,0,102,0,24,0,0,0,8,0,48,4,2,22,0,54,0,0,240,2,0,0,0,0,12,0,0,0,0,0,0,4,0,4,0,6,8,2,0,0,0,46,0,2,6,0,2,0,0,16,0,0,2,0,0,0,0,2,0,6,2,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,6,0,0,0,4,0,124,18,0,12,0,4,0,2,0,0,2,20,0,0,0,6,8,0,0,0,2,24,0,0,0,0,0,0,0,6,18,0,0,0,4,0,0,0,12,6,0,2,0,0,992,0,0,4,0,0,0,4,0,0
ITA,0,0,2,2,24,0,150,86,0,0,206,0,0,0,4,0,2,2,0,0,0,24,0,0,0,0,0,192,188,16,60,0,0,0,14,0,0,4,6,20,424,0,82,0,0,0,4,0,276,18,6,62,0,394,0,0,982,0,0,0,2,0,42,0,0,0,0,0,0,8,0,26,2,16,38,8,0,0,46,0,0,2,54,0,8,0,2,14,4,0,4,0,0,0,0,0,0,12,8,12,2,0,0,0,34,4,0,0,0,0,0,0,0,0,8,0,0,0,8,0,370,82,2,90,2,6,0,4,6,0,32,84,0,0,2,32,12,2,0,0,0,6,0,0,0,2,0,8,2,18,120,0,0,0,6,0,0,2,20,8,6,0,0,2,1248,0,34,6,0,0,0,20,4,0
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,22,0,0,0,0,0,0,2,0,0
JOR,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
JPN,2,0,0,0,4,2,172,20,2,0,20,0,0,12,0,0,0,0,0,0,0,12,0,0,0,0,0,158,24,4,164,0,0,0,6,0,0,2,2,6,106,0,26,2,0,0,0,0,38,4,0,26,0,52,0,0,246,0,12,0,0,0,4,0,0,0,0,0,0,2,0,2,20,32,10,2,0,0,6,54,0,0,0,0,12,0,0,64,0,0,6,0,0,0,0,4,0,2,0,0,2,0,0,0,14,0,0,0,0,2,2,0,0,0,28,0,0,0,6,0,84,12,2,34,0,0,0,4,30,0,8,14,0,0,0,2,10,0,0,0,0,20,0,0,0,0,0,6,0,2,32,0,0,0,22,2,0,2,10,38,0,8,0,0,704,2,4,16,0,0,0,16,2,2
KAZ,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
KEN,0,0,0,0,4,0,8,10,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,20,12,0,14,0,2,0,2,0,0,0,2,0,22,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,80,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,8,0,2,12,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,4,0,0,0,0,8,0,14,10,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,8,0,0,2,2,0,0,0,0,2,6,8,0,0,124,0,0,0,0,0,0,22,2,2
KGZ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
KHM,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
KOR,0,0,0,0,6,0,84,12,0,0,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,76,18,4,116,0,0,0,4,0,0,0,0,2,58,0,12,0,2,0,2,0,22,4,0,12,0,28,0,0,134,0,2,0,0,0,2,0,0,0,0,0,0,6,0,0,2,8,2,12,0,4,16,14,0,0,64,0,4,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,14,0,0,0,2,0,34,2,0,30,0,8,0,0,8,0,2,6,0,0,2,4,6,2,4,0,0,46,0,0,0,0,0,4,0,4,4,0,0,0,4,0,0,2,14,50,0,0,0,0,1210,0,0,6,0,0,0,4,0,0
KWT,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,28,0,0,0,0,0,0,0,0,0
LAO,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LBN,0,0,0,8,0,0,6,6,0,0,6,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,12,6,2,8,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,4,0,8,0,0,0,0,12,0,0,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,8,2,0,0,0,0,64,0,0,0,0,0,0,0,0,0
LBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
