,ABW,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,CPV,CRI,CUB,CUW,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TLS,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VAT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
BIH,0,0,0,1,0,0,1,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,1,0,0,0,0,0,1,1,0,1,0,2,0,0,15,0,1,0,0,0,0,2,0,0,0,0,0,0,22,0,4,0,0,2,1,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,0,0,7,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,6,0,0,0,0,1,0,0,0,0,1,1,0
BRA,0,0,3,2,0,1,40,0,0,61,11,0,0,29,0,0,0,8,0,0,1,1,0,2,0,0,0,0,0,0,75,26,33,37,2,4,0,0,0,37,0,5,1,0,0,7,76,0,0,43,1,0,5,1,0,103,4,2,9,0,72,0,0,291,3,7,0,0,0,0,6,0,0,1,0,0,1,4,0,8,9,20,5,3,3,3,14,60,0,0,20,0,7,1,0,0,0,12,1,0,9,0,0,0,0,0,0,2,0,1,0,0,0,0,0,41,0,0,0,0,0,0,3,2,0,12,3,0,1,10,1,52,13,1,0,14,3,6,1,15,5,0,17,0,145,0,0,22,10,17,1,3,0,2,5,0,0,2,0,2,0,3,1,13,0,0,0,0,0,4,0,0,0,1,18,7,0,5,0,9,439,0,0,0,2,0,0,0,0,0,24,4,4
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
BRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,0,19,0,0,0,0,0,0,0,0,0,18,2,4
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,1,0,52,20,2,0,617,71,0,0,119,0,5,12,5,2,2,4,1,0,1,75,11,1,1,4,0,0,195,28,437,3,4,1,0,0,21,0,7,4,1,12,17,390,0,0,72,0,3,10,8,0,204,7,2,81,4,395,0,2,1251,1,16,0,0,0,0,29,0,0,1,0,0,0,8,1,19,24,64,66,25,1,10,73,218,6,1,102,1,29,3,3,0,1,68,6,2,9,3,0,0,0,6,0,8,5,1,6,2,0,0,0,49,1,3,8,1,0,2,1,2,4,33,0,0,0,21,0,276,105,10,0,114,7,25,2,7,6,1,27,0,55,0,1,11,13,41,2,24,0,2,99,0,1,0,1,8,0,6,7,139,0,0,1,0,0,21,0,0,22,16,62,51,7,7,2,4,2909,0,1,0,0,4,0,0,2,0,84,0,4
CHE,0,0,0,2,0,8,12,0,0,144,103,0,0,129,0,1,2,10,1,0,2,2,0,2,26,1,0,0,2,0,195,0,10,82,5,1,4,0,0,32,0,5,0,0,8,20,700,0,0,56,0,0,4,3,0,126,7,3,47,0,310,0,0,650,11,4,0,0,1,0,28,0,0,1,0,0,0,9,1,25,11,70,34,10,1,3,41,206,1,2,25,1,20,1,4,0,0,15,0,2,8,2,0,0,11,5,0,7,11,2,1,1,0,1,0,22,3,1,4,2,1,0,2,1,2,10,0,1,0,9,1,202,72,10,0,19,1,20,0,31,11,0,43,0,32,0,0,3,16,18,2,8,3,3,70,0,1,0,1,10,0,3,9,92,0,0,0,0,0,2,0,0,0,6,19,11,3,5,0,2,824,0,0,0,1,3,0,1,1,0,32,3,2
CHL,0,0,0,0,0,0,47,0,0,42,7,0,0,16,1,0,0,1,0,0,1,0,0,1,33,0,0,0,0,0,28,10,0,18,0,4,0,0,0,51,0,1,1,0,0,2,43,0,0,8,0,2,8,1,0,191,1,3,10,0,39,0,0,111,2,5,0,0,0,0,2,0,0,3,0,0,1,0,0,3,2,9,0,2,0,2,3,21,0,0,8,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,24,11,0,0,6,3,2,0,13,3,0,4,0,13,0,0,0,3,3,0,2,0,1,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,1,9,1,0,3,0,7,219,0,0,0,5,0,0,0,0,0,3,2,0
CHN,0,0,0,2,0,20,11,0,0,690,52,1,0,81,0,0,14,10,1,0,2,1,0,1,37,0,1,2,0,0,437,82,18,0,0,7,1,0,0,17,0,0,1,0,2,13,256,0,0,68,0,0,2,3,0,71,8,4,43,0,135,0,0,898,3,18,0,0,0,0,20,0,0,0,0,0,0,6,0,15,22,67,20,8,5,3,38,103,1,6,183,3,11,0,3,0,0,135,3,1,13,1,0,0,0,5,0,7,0,0,0,0,0,0,0,15,0,0,1,0,0,2,0,0,0,63,3,0,0,11,0,250,36,3,0,107,3,37,1,7,44,1,25,0,41,0,2,10,20,43,1,16,0,1,340,0,1,0,0,4,0,4,4,66,1,0,0,0,0,52,0,0,0,3,39,313,1,4,1,2,2569,1,0,0,1,11,0,0,0,1,35,2,3
CIV,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0
CMR,0,0,0,0,0,0,4,0,0,3,0,0,1,5,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,4,1,4,7,0,0,1,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,4,1,2,1,0,19,0,0,14,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,7,0,0,0,2,0,6,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,3,2,0,0,4,3,0,0,2,2,0,1,0,0,0,0,0,2,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,3,0,0,18,0,0,0,0,0,0,0,0,0,3,2,0
COD,0,0,0,0,0,0,0,0,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0
COG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,1,0,3,48,0,0,39,1,0,0,12,0,0,0,5,0,1,0,0,0,0,37,0,0,0,0,0,21,32,51,17,0,3,0,0,0,0,0,5,1,1,2,0,33,0,0,5,0,0,3,2,0,172,0,1,6,0,32,0,0,60,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,3,3,7,0,0,3,1,2,25,0,4,8,0,8,0,1,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,30,0,1,0,0,0,0,0,0,0,4,1,0,0,5,0,28,11,0,0,10,1,1,3,41,11,0,5,0,19,0,0,0,5,2,1,4,0,0,2,0,0,0,0,0,0,0,1,13,0,0,0,0,0,6,0,0,1,0,6,2,0,1,0,4,199,0,0,0,6,0,0,0,0,0,8,1,1
CPV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,5,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,2,1,0,1,0,0,9,0,0,1,0,7,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
CUW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,0,0,0,0,0,1,0,0,0,15,8,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,2,0,0,0,0,0,2,0,0,0,0,0,3,20,0,0,9,0,0,0,0,0,13,6,0,10,0,9,0,0,87,0,1,0,0,0,0,59,0,0,0,0,0,0,3,0,1,0,2,6,1,0,0,11,21,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,2,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,23,6,0,0,0,0,0,0,0,1,0,7,0,12,0,0,0,3,0,0,2,0,0,1,0,0,0,0,4,0,1,0,14,0,0,0,0,0,1,0,0,0,1,14,0,0,0,1,0,43,0,0,0,0,1,0,0,0,0,2,0,0
CZE,0,0,0,2,0,2,0,1,0,10,25,2,0,16,0,0,0,14,0,0,5,0,0,0,7,0,0,0,0,0,17,20,2,13,0,0,0,0,0,0,0,0,0,0,3,0,64,0,0,27,0,0,1,1,0,31,11,0,16,0,17,0,0,84,0,1,0,0,1,0,6,0,0,0,0,0,0,3,0,17,1,2,5,3,0,2,1,33,0,0,4,4,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,19,13,1,0,2,0,1,0,1,0,0,41,0,12,0,1,0,8,26,0,0,0,0,2,0,0,0,0,6,0,141,11,20,0,0,0,0,0,2,2,0,0,0,10,3,0,0,3,0,75,1,0,0,0,3,0,0,0,0,2,0,0
DEU,0,0,0,3,0,42,25,2,0,485,471,0,1,331,2,0,12,48,1,0,6,1,0,1,76,0,0,1,2,0,390,700,43,256,4,4,2,0,0,33,0,3,0,0,20,64,0,0,0,236,0,2,6,28,0,315,32,9,152,4,493,1,1,1591,7,4,0,1,2,0,69,0,0,1,0,0,0,19,0,74,19,125,80,8,1,7,109,452,4,6,83,10,27,2,7,0,0,62,0,1,30,1,0,0,13,8,1,19,65,28,4,0,2,0,0,53,5,1,8,0,4,0,1,2,1,20,4,0,0,8,0,735,174,4,0,70,5,18,0,6,17,1,110,0,114,0,0,6,56,82,10,19,2,1,64,0,1,0,0,18,0,31,24,310,0,0,1,0,0,52,0,0,1,8,87,31,4,5,13,3,1910,1,1,0,3,6,1,0,1,1,85,3,0
DJI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,1,0,4,7,1,0,107,48,0,0,68,0,0,0,3,0,0,1,0,0,1,43,0,0,0,0,0,72,56,8,68,0,3,0,0,0,5,0,2,0,0,9,27,236,0,0,0,0,2,0,1,0,62,17,3,95,0,102,0,0,488,2,2,0,0,1,0,19,0,5,1,0,0,0,8,0,9,5,19,34,2,0,9,21,108,0,2,38,0,10,0,0,0,0,9,0,1,2,0,0,0,2,2,0,10,3,2,0,0,0,0,0,14,1,1,5,0,0,0,1,0,2,6,3,0,0,2,0,151,145,5,0,16,3,2,0,4,2,0,21,0,28,0,0,10,7,16,0,0,0,1,16,0,0,0,0,5,0,10,3,193,0,0,1,0,0,6,0,0,0,1,15,4,7,11,1,0,424,0,0,0,1,2,0,0,0,0,27,4,3
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ECU,0,0,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,10,4,8,2,0,0,1,0,0,3,0,1,1,0,0,1,6,0,0,0,0,0,0,1,0,59,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,26,0,0,0,2,0,0,0,0,0,1,0,0
