,AFG,ALB,ARE,ARG,ARM,AUS,AUT,BEL,BFA,BGD,BGR,BHR,BLR,BOL,BRA,BRB,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,GAB,GBR,GEO,GHA,GMB,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LKA,LTU,LUX,MAR,MEX,MKD,MLI,MLT,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,POL,PRT,ROU,RUS,SAU,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SWZ,SYC,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
NGA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
NIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NLD,0,0,2,2,0,36,20,118,2,4,0,0,0,2,2,0,0,50,34,0,2,0,0,2,2,0,0,6,106,26,0,0,2,2,0,36,4,0,18,60,0,226,2,2,0,18,2,0,0,0,18,2,8,22,0,0,20,46,0,0,20,0,0,0,2,4,2,0,2,0,2,2,0,0,0,0,0,2,2,0,0,0,2,0,24,0,2,0,0,0,2,6,0,8,14,0,6,0,0,2,0,0,6,4,48,0,0,0,2,0,2,8,2,0,2,0,0,362,0,2,0,0,2,0,4
NOR,0,0,0,2,0,12,10,6,0,0,0,0,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,2,24,20,0,0,0,0,0,6,2,0,14,8,0,36,0,0,0,4,0,0,0,0,2,2,0,2,0,2,6,10,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,6,0,4,0,0,0,0,0,2,2,38,0,0,0,0,0,0,4,2,0,0,0,0,100,0,0,0,0,0,0,0
NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
NZL,0,0,0,2,0,82,2,6,0,0,0,0,0,2,2,0,0,16,4,0,10,0,0,2,2,0,0,2,12,2,0,0,2,2,0,4,0,0,2,8,0,40,2,0,0,2,0,0,0,0,2,2,4,4,0,0,2,2,0,0,2,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,2,2,0,2,0,0,6,0,0,0,2,4,0,0,0,2,0,0,2,6,0,0,0,0,166,0,0,0,0,4,0,0
OMN,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0
PER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
PHL,0,0,0,2,0,6,2,0,0,2,0,0,0,2,2,0,0,4,2,0,4,0,0,2,2,0,0,2,2,2,0,0,2,2,0,2,0,0,2,2,0,2,2,0,0,2,0,0,0,0,2,2,2,2,0,0,2,2,0,0,8,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,2,2,0,0,0,4,0,0,2,2,0,0,0,0,14,0,0,0,0,2,0,0
PLW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
POL,0,0,0,2,0,4,4,0,0,0,0,0,0,2,2,0,0,4,2,0,2,0,0,2,2,0,0,4,4,2,0,0,2,2,0,2,0,0,4,4,0,14,2,0,0,6,0,0,0,0,4,2,2,2,0,0,4,6,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,8,4,0,2,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,2,2,4,0,0,0,2,0,0,2,2,0,0,0,0,46,0,0,0,0,2,0,0
PRT,0,0,0,4,0,4,2,6,0,0,0,0,0,2,6,0,0,4,8,0,2,0,0,2,2,0,0,2,14,8,0,0,2,2,0,16,0,0,6,10,0,32,2,0,0,4,0,0,0,2,2,2,2,10,0,0,6,8,0,0,2,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,14,6,0,2,0,0,0,0,2,0,2,0,0,4,0,0,2,0,0,0,2,12,0,0,0,2,0,0,4,2,0,0,0,0,40,0,0,0,0,2,0,0
ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUS,0,0,0,4,0,2,6,2,0,0,0,0,2,2,2,0,0,8,4,0,2,0,0,2,2,0,0,2,26,6,0,0,2,2,0,4,0,0,4,10,0,26,4,0,0,2,0,0,0,0,6,2,2,2,0,0,4,10,0,0,4,0,0,0,0,4,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,6,4,0,2,0,0,0,0,2,0,2,4,0,0,0,0,2,0,0,0,2,8,0,0,0,2,0,0,2,2,0,0,6,0,42,0,0,0,0,2,0,0
SAU,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
SEN,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
SGP,0,0,0,2,0,20,2,0,0,0,0,0,0,2,2,0,0,14,2,0,14,0,0,2,2,0,0,2,2,4,0,0,2,2,0,2,0,0,2,2,0,24,2,0,0,2,0,0,0,0,2,2,4,4,0,0,4,2,0,0,2,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,2,0,2,6,0,0,0,0,2,0,2,2,0,2,0,0,0,0,0,0,2,2,0,0,0,6,0,0,2,2,0,0,0,0,84,0,0,0,0,2,0,0
SLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SVK,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SVN,0,0,0,2,0,4,4,2,0,0,0,0,0,2,2,0,0,2,4,0,2,0,0,2,2,0,0,4,4,4,0,0,2,2,0,2,2,0,4,4,0,8,2,0,0,2,0,0,0,4,2,2,2,4,0,0,4,8,0,0,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,2,0,2,0,0,0,0,2,0,2,2,0,2,0,0,2,0,0,0,0,4,0,0,0,2,0,0,4,2,0,0,0,0,16,0,0,0,0,2,0,0
SWE,0,0,0,4,0,12,8,8,0,0,0,0,0,2,6,0,0,14,26,0,6,0,0,2,2,0,0,4,42,32,0,0,2,2,0,12,4,0,26,22,0,84,2,2,0,4,2,0,0,0,6,2,2,12,2,0,10,26,0,0,4,0,0,0,0,4,2,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,48,38,0,4,0,0,0,2,2,0,4,12,0,8,0,0,2,0,0,0,4,0,0,0,0,4,0,0,4,4,4,0,0,0,148,0,0,2,0,2,0,0
SWZ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THA,0,0,0,2,0,6,2,0,0,4,0,0,0,2,2,0,0,4,2,0,2,0,0,2,2,0,0,2,2,2,0,0,2,2,0,2,0,0,2,2,0,10,2,0,0,2,0,0,0,0,2,2,2,2,0,0,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,0,0,4,0,2,2,0,2,0,0,6,0,0,0,2,4,0,0,0,0,0,0,2,2,0,0,0,0,30,0,0,0,0,2,0,0
TTO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
TUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
TUR,0,0,0,2,0,8,4,4,0,0,2,0,0,2,2,0,0,16,4,0,2,0,0,2,2,0,0,2,8,10,0,0,2,6,0,2,2,0,4,8,0,18,2,0,0,4,0,0,0,0,2,2,2,4,0,0,8,4,0,0,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,8,4,0,2,0,0,0,0,2,0,2,4,0,2,0,0,2,0,0,0,4,4,0,0,0,2,0,2,0,2,0,0,2,0,76,0,0,0,0,2,0,0
TWN,0,0,0,2,0,10,2,0,0,0,0,0,2,2,2,0,0,8,2,0,20,0,0,2,2,0,0,2,4,2,0,0,2,2,0,2,0,0,4,4,0,6,2,0,0,2,0,0,0,0,2,2,2,6,0,0,2,2,0,0,6,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,6,0,0,0,0,2,0,2,2,0,2,0,0,2,0,0,0,2,4,0,0,0,2,0,0,2,0,0,0,0,0,146,0,0,0,0,2,0,0
TZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
UGA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
UKR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
URY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
USA,2,0,0,30,2,424,52,120,4,12,8,0,0,4,86,2,2,1040,128,20,322,2,0,20,2,2,6,36,486,70,4,0,6,10,2,160,16,12,84,312,0,1008,2,22,0,44,6,2,0,12,22,10,50,36,6,8,400,212,16,8,232,2,22,2,2,180,18,4,4,0,4,8,74,2,2,0,4,0,10,6,0,8,0,362,100,8,166,2,4,2,4,14,2,46,40,0,42,6,4,84,0,2,2,16,148,0,0,0,30,2,4,76,146,12,6,2,4,0,4,6,12,8,56,0,8
UZB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
VEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
VNM,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
YUG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ZAF,0,0,0,2,0,12,2,2,0,0,0,0,0,2,2,0,4,10,2,0,2,0,0,2,2,0,0,4,6,2,0,0,2,2,0,2,0,0,4,4,0,56,2,0,0,2,0,0,0,0,2,2,2,2,0,0,4,2,0,0,2,0,2,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,2,0,0,4,0,0,2,0,2,0,2,2,0,2,0,0,2,0,0,0,2,2,0,0,0,2,0,0,2,2,0,0,0,0,56,0,0,0,0,0,0,0
ZMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZWE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
