,AFG,ALB,ARE,ARG,ARM,AUS,AUT,BEL,BFA,BGD,BGR,BHR,BLR,BOL,BRA,BRB,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FRA,GAB,GBR,GEO,GHA,GMB,GRC,GTM,HKG,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LBN,LKA,LTU,LUX,MAR,MEX,MKD,MLI,MLT,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,POL,PRT,ROU,RUS,SAU,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SWZ,SYC,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
IDN,0,0,0,2,0,6,2,0,0,0,0,0,0,4,2,0,0,4,2,0,2,0,0,2,2,0,0,2,2,2,0,0,2,2,0,2,0,0,2,2,0,4,2,0,0,2,0,0,0,0,2,0,2,2,0,0,2,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,2,0,2,2,0,2,0,0,2,0,0,0,2,2,0,0,0,2,0,0,2,2,0,0,0,0,10,0,0,0,0,2,0,2
IND,0,0,0,2,0,8,6,4,0,0,0,0,0,2,2,0,0,14,4,0,8,0,0,2,2,0,0,2,4,2,0,0,2,2,0,2,0,0,4,8,0,28,2,0,0,2,0,0,0,0,2,2,0,2,0,0,6,2,0,0,8,0,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,8,0,0,4,0,0,0,0,2,0,2,2,0,2,0,0,4,0,0,0,2,2,0,0,0,2,0,0,2,2,0,0,0,0,50,0,0,0,0,2,0,0
IRL,0,0,0,2,0,6,4,12,0,0,0,0,0,2,2,0,0,6,12,0,2,0,0,2,2,0,0,2,16,12,0,0,2,2,0,10,2,0,8,12,0,94,2,0,0,2,0,0,0,0,2,2,2,0,0,0,4,16,0,0,4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,22,2,0,4,0,0,0,0,2,0,2,10,0,2,0,0,4,4,0,0,4,12,0,0,0,2,0,0,4,6,0,0,0,0,36,0,0,0,0,2,0,0
IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
ISR,0,0,0,4,0,12,4,8,0,0,0,0,0,2,2,0,0,58,8,0,12,0,0,2,2,0,0,2,24,6,0,0,2,2,0,14,2,0,6,24,0,42,2,0,0,8,0,0,0,0,2,2,6,4,0,0,0,14,0,0,8,0,0,0,0,10,2,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,20,6,0,2,0,0,0,0,2,0,4,6,0,4,0,0,4,0,0,0,4,10,0,0,0,2,0,0,8,2,0,0,0,0,400,0,0,0,0,4,0,0
ITA,0,0,0,4,0,26,16,22,0,0,0,0,0,2,4,0,0,16,24,0,2,0,0,2,2,0,2,4,88,22,0,0,2,2,0,26,2,0,14,58,2,176,2,0,0,4,2,0,0,2,8,2,2,16,0,0,14,0,0,0,14,0,0,0,0,4,2,0,0,0,2,2,4,0,0,0,0,0,2,0,0,0,0,46,10,0,2,0,0,0,0,2,0,6,8,0,10,0,0,2,0,0,0,8,26,0,0,0,2,0,0,4,2,0,0,0,0,212,0,0,0,0,2,0,0
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
JOR,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
JPN,0,0,0,2,0,20,8,2,0,0,0,0,0,2,2,0,0,60,8,0,12,0,0,2,2,0,0,2,20,4,0,0,2,2,0,12,2,0,8,14,0,52,2,0,0,4,0,0,0,0,4,2,8,4,0,0,8,14,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,20,2,0,2,0,0,0,0,8,0,2,2,0,4,0,0,2,0,0,0,4,4,0,0,0,2,0,0,4,6,0,0,0,0,232,0,0,0,0,2,0,0
