,ALB,ANT,ARE,ARG,AUS,AUT,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BMU,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GIN,GRC,GTM,GUF,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LBN,LBY,LKA,LTU,LUX,LVA,MAR,MDG,MEX,MLI,MLT,MOZ,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SOM,SRB,SVK,SVN,SWE,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
ARG,0,0,0,0,8,4,4,0,0,2,0,0,0,0,0,0,2,14,0,0,2,6,6,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,14,4,0,4,2,12,24,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,6,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,8,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,2,0,4,6,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,4,44,0,0,0,0,2,0,4
AUS,0,0,2,8,0,6,14,0,0,4,0,0,0,0,0,0,2,4,0,2,4,190,50,4,104,0,2,2,0,0,0,4,8,50,6,0,0,0,16,4,2,14,4,30,496,0,2,0,10,0,0,0,4,0,10,10,2,6,0,14,44,0,0,36,0,0,0,24,0,2,4,0,2,4,0,4,2,0,10,0,6,0,0,0,10,0,0,0,0,66,26,0,64,0,0,0,4,8,2,8,6,0,4,2,0,0,0,0,24,2,0,4,4,4,24,2,12,0,0,4,10,4,0,4,0,630,0,4,8,0,32,0,6
AUT,0,0,0,4,6,0,20,0,0,2,0,0,0,0,0,0,2,4,0,0,2,12,18,4,6,0,0,2,0,0,0,4,6,100,0,0,0,0,10,4,0,8,2,18,36,0,0,0,4,0,0,0,4,2,4,2,2,0,0,6,24,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,26,6,0,6,0,0,0,4,2,0,8,4,0,4,4,0,0,0,0,0,0,0,4,12,10,2,0,0,0,0,4,2,4,0,2,0,66,0,0,0,0,6,0,4
BEL,0,0,0,4,14,20,0,0,0,2,2,0,0,0,0,0,2,4,0,0,2,58,70,6,4,0,0,2,0,0,0,4,6,58,10,0,0,0,44,4,0,16,2,132,160,0,0,0,10,0,0,0,4,10,4,2,8,0,0,18,52,0,0,14,0,0,0,8,0,0,4,0,0,4,2,4,2,0,8,0,4,0,0,0,4,0,0,0,0,198,10,0,4,0,0,0,4,2,0,12,8,0,4,2,0,0,0,0,2,0,0,6,8,4,18,0,0,0,0,6,2,4,0,2,0,170,0,0,0,0,2,0,4
BEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
BGD,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,2,4,0,0,0,0,2,2,0,2,0,2,12,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,0,2,0,0,0,2,0,0,0,0,6,0,0,2,0,2,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,0,2,0,0,0,14,0,0,0,0,2,0,2
BGR,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,8,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BOL,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,0,2,2,2,4,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2,0,4,0,0,0,0,0,0,2
BRA,0,0,0,14,4,4,4,0,0,2,0,0,0,0,0,0,2,0,0,0,2,22,6,6,8,0,0,2,2,0,2,4,4,10,2,6,0,0,12,4,0,6,2,10,34,0,0,0,2,0,0,0,2,0,4,6,0,0,0,4,6,0,0,6,0,0,0,4,0,0,4,0,0,4,0,4,2,0,6,0,4,0,0,0,4,0,0,0,0,8,4,0,4,0,0,0,4,2,0,4,8,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,0,80,0,0,0,0,4,0,4
BRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
BRN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BWA,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,0,2,2,2,4,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2,0,4,0,0,0,0,4,0,2
CAN,0,0,4,6,190,12,58,0,2,2,0,0,0,0,0,0,2,22,2,0,2,0,52,6,88,2,0,2,2,0,2,16,6,96,12,0,0,0,46,4,0,30,2,148,466,0,4,2,8,0,0,0,2,6,10,6,8,4,0,54,56,0,0,44,0,0,0,16,0,2,6,0,0,4,0,4,2,0,22,0,4,0,0,0,4,0,0,0,2,88,12,0,54,4,0,0,4,4,0,8,6,0,4,4,0,0,0,0,18,0,0,8,4,8,54,0,6,0,0,14,10,4,0,4,2,1636,2,0,4,0,18,0,8
CHE,0,0,0,6,50,18,70,0,0,2,0,0,0,0,0,0,2,6,0,0,2,52,0,6,34,0,0,2,0,2,0,4,4,176,14,0,0,0,16,4,2,12,2,80,98,0,2,0,6,0,0,0,4,8,4,4,0,0,0,10,30,0,0,12,0,4,0,6,0,0,6,0,0,4,0,4,2,0,8,2,4,0,0,0,4,0,0,0,0,40,16,4,6,0,0,0,4,2,0,4,6,0,4,0,0,0,0,0,0,0,0,4,4,4,14,0,0,0,0,8,2,4,4,2,0,248,0,0,2,0,4,0,4
CHL,0,0,0,4,4,4,6,0,0,2,0,0,0,0,0,0,2,6,0,0,2,6,6,0,4,0,0,2,0,0,0,4,4,4,0,0,0,0,12,4,0,4,2,6,18,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,0,52,0,0,0,0,2,0,4
CHN,0,0,0,4,104,6,4,0,0,2,0,0,0,0,2,0,2,8,0,0,2,88,34,4,0,0,0,2,0,0,0,6,4,12,2,4,0,2,6,4,0,4,2,8,120,0,0,0,4,0,0,0,2,0,4,10,2,2,0,10,6,0,0,28,0,0,0,18,0,0,4,0,0,4,0,4,2,0,6,0,4,0,0,0,6,0,0,2,0,22,2,2,12,0,0,0,4,2,0,4,6,0,4,2,0,0,2,0,44,0,0,4,4,4,8,0,0,0,0,6,22,4,0,2,0,490,0,0,0,0,4,0,6
CIV,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0
CMR,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
COD,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,2,2,0,2,2,4,4,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2,0,2,0,0,0,0,0,0,2
COL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
CYP,0,0,0,4,4,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,16,4,4,6,0,0,2,0,0,0,0,4,6,0,0,0,0,4,4,0,6,2,4,22,0,0,0,16,0,0,0,2,0,4,2,0,0,0,4,6,0,0,4,0,0,0,4,0,0,6,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,2,0,6,4,0,4,0,0,0,0,0,0,0,0,6,4,4,0,0,0,0,0,4,2,4,0,2,0,22,0,0,0,0,2,0,4
CZE,0,0,0,4,8,6,6,0,0,2,0,0,0,0,0,0,2,4,0,0,2,6,4,4,4,0,0,2,0,0,0,4,0,14,0,0,0,0,8,4,0,6,2,6,30,0,0,0,2,0,0,0,4,6,4,2,2,0,0,6,6,0,0,6,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,8,2,0,4,0,0,0,4,2,0,6,4,0,4,0,0,0,0,0,0,0,0,4,10,8,2,0,0,0,0,4,2,4,0,2,0,34,0,0,0,0,2,0,4
DEU,0,0,2,4,50,100,58,0,4,4,4,0,0,6,0,0,2,10,0,0,2,96,176,4,12,0,0,2,0,0,0,6,14,0,40,0,0,0,56,4,4,42,2,108,478,4,0,0,26,0,0,0,4,20,6,12,12,0,0,38,90,0,0,32,0,4,0,12,2,0,4,0,0,8,6,4,2,0,10,0,4,0,0,0,4,0,0,0,0,182,22,2,24,0,0,0,6,2,0,34,12,0,8,12,0,0,0,0,6,0,0,4,8,8,56,0,0,0,0,14,4,4,0,4,0,740,0,4,2,0,4,0,4
DNK,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,14,0,2,0,0,0,0,0,0,0,0,40,0,0,0,0,10,0,0,18,0,14,68,0,2,0,6,0,0,0,0,4,0,0,4,0,0,4,16,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,30,2,6,0,0,0,0,0,0,4,8,0,0,2,0,0,0,2,0,0,0,0,0,0,46,0,0,0,0,2,0,0,0,0,0,96,0,0,0,0,2,0,0
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ECU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0
ESP,0,0,2,14,16,10,44,0,0,2,0,0,0,0,0,0,2,12,0,0,2,46,16,12,6,0,0,2,8,0,0,4,8,56,10,0,0,0,0,4,0,12,2,64,200,0,0,0,16,0,0,0,2,8,4,2,4,0,0,20,60,0,0,10,0,0,0,4,0,0,4,0,0,4,0,4,2,0,24,0,4,0,0,0,4,0,0,0,0,80,10,0,8,0,0,0,6,2,0,4,28,0,6,4,0,0,0,0,0,0,0,4,4,4,22,0,0,0,0,6,2,4,0,2,0,372,0,8,0,0,6,0,4
EST,0,0,0,4,4,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,4,4,4,4,0,0,2,0,0,0,4,4,4,0,0,0,0,4,0,0,8,2,4,16,2,0,0,2,0,0,0,2,2,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,4,2,0,6,4,0,4,2,0,0,0,0,0,0,0,4,4,4,6,0,0,0,0,4,2,4,0,2,0,10,0,0,0,0,2,0,4
ETH,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
FIN,0,0,0,4,14,8,16,0,0,2,0,0,0,0,0,0,2,6,0,0,2,30,12,4,4,0,0,2,0,0,0,6,6,42,18,0,0,0,12,8,0,0,2,4,88,0,0,0,8,0,0,0,2,8,6,2,2,0,0,18,18,0,0,12,0,0,0,6,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,2,0,32,30,0,6,2,0,0,4,2,0,8,10,0,4,12,0,0,0,0,0,0,0,6,4,4,54,0,2,0,0,4,2,4,0,2,0,178,0,0,0,0,2,0,4
FJI,0,0,0,2,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,0,2,0,2,4,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,2,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,2,2,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2,0,4,0,0,0,0,0,0,2
FRA,0,0,0,12,30,18,132,0,0,2,4,0,0,0,0,0,2,10,0,0,2,148,80,6,8,4,0,4,0,0,0,4,6,108,14,0,0,0,64,4,0,4,2,0,256,0,0,0,10,0,2,0,2,12,6,4,6,0,0,42,72,0,0,12,0,2,0,6,0,0,6,0,0,4,0,4,2,0,18,0,4,0,0,0,6,0,2,0,0,70,12,0,12,0,0,0,6,2,0,10,16,0,4,8,2,0,0,2,2,0,0,4,6,10,24,0,2,0,2,6,2,4,0,2,0,476,0,0,2,0,12,0,6
GBR,0,0,2,24,496,36,160,0,4,12,8,0,0,0,0,0,4,34,0,2,4,466,98,18,120,0,0,4,6,0,0,22,30,478,68,4,0,10,200,16,14,88,4,256,1640,2,6,0,106,0,0,0,8,38,14,38,96,12,8,76,258,0,4,64,2,10,0,28,0,0,8,0,2,10,0,10,4,0,28,2,8,0,2,4,18,2,0,8,0,406,82,0,134,0,8,2,8,8,0,26,66,0,10,36,0,14,0,4,38,0,2,12,16,24,142,2,10,6,0,42,16,16,4,20,0,1728,0,6,6,2,84,2,28
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
GHA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,4,0,0
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
GRC,0,0,0,2,10,4,10,0,0,0,2,0,0,0,0,0,2,2,0,0,2,8,6,2,4,0,0,2,0,0,0,16,2,26,6,0,0,0,16,2,0,8,2,10,106,0,0,0,0,0,0,0,2,4,2,0,0,0,0,2,16,0,0,6,0,0,0,4,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,28,0,0,2,0,0,0,2,2,0,6,8,0,2,0,0,0,0,0,2,0,0,4,2,2,10,0,0,0,0,2,2,2,0,2,0,70,0,2,0,0,2,0,2
