,ALB,ANT,ARE,ARG,AUS,AUT,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BMU,BOL,BRA,BRB,BRN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GEO,GHA,GIN,GRC,GTM,GUF,HND,HRV,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LBN,LBY,LKA,LTU,LUX,LVA,MAR,MDG,MEX,MLI,MLT,MOZ,MUS,MWI,MYS,NAM,NCL,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SOM,SRB,SVK,SVN,SWE,SYR,THA,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YUG,ZAF,ZMB,ZWE
NPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
NZL,0,0,0,4,64,6,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,54,6,4,12,0,0,2,0,0,0,4,4,24,6,0,0,0,8,4,0,6,4,12,134,0,0,0,2,0,0,0,2,2,4,2,2,0,0,8,12,0,0,8,0,0,0,6,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,4,4,0,6,4,0,4,0,0,0,0,0,4,0,0,4,4,4,4,0,0,0,0,8,4,4,0,2,0,180,0,0,0,0,2,0,4
OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
PAK,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,0
PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
PER,0,0,0,4,4,4,4,0,0,2,0,0,0,0,0,0,2,4,0,0,2,4,4,4,4,0,0,2,0,0,0,4,4,6,0,0,0,0,6,4,0,4,2,6,8,0,0,0,2,0,0,0,2,0,4,2,0,0,0,4,4,0,0,4,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,6,0,0,4,0,0,0,0,2,0,4,4,0,4,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,4,0,2,0,16,0,0,0,0,2,0,4
PHL,0,0,0,2,8,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,4,2,2,2,0,0,2,0,0,0,2,2,2,0,0,0,0,2,2,2,2,2,2,8,0,0,0,2,0,0,0,2,0,4,0,0,0,0,2,2,0,0,10,0,0,0,2,0,0,2,0,0,2,0,2,2,0,2,0,2,0,0,0,2,0,0,0,0,4,0,0,4,0,0,0,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2,0,2,0,16,0,0,0,0,0,0,2
PNG,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POL,0,0,0,4,8,8,12,0,0,2,0,0,0,0,2,0,2,4,0,0,2,8,4,4,4,0,0,2,0,0,0,6,6,34,4,0,0,0,4,6,0,8,2,10,26,2,0,0,6,0,0,0,2,8,4,2,0,0,0,6,10,0,0,10,0,0,0,4,0,0,6,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,14,2,0,6,0,0,0,4,2,0,0,4,0,4,2,0,0,0,0,2,0,0,4,4,6,4,0,0,0,0,4,2,4,0,2,0,42,0,0,0,0,2,0,4
PRT,0,0,0,6,6,4,8,0,0,2,0,0,0,0,0,0,2,8,0,0,2,6,6,4,6,0,0,2,0,0,0,4,4,12,8,0,0,0,28,4,0,10,2,16,66,0,0,0,8,0,0,0,2,0,4,2,2,0,0,10,18,0,0,8,0,0,0,4,0,0,4,0,0,4,0,4,2,0,4,0,4,0,0,0,4,0,0,0,0,26,6,0,4,0,0,0,4,2,0,4,0,0,4,0,0,0,0,0,0,0,0,4,4,4,12,0,0,0,0,4,2,4,0,2,0,56,0,0,0,0,2,0,4
