,AFG,ALB,ANT,ARE,ARG,ARM,AUS,AUT,BEL,BFA,BGD,BGR,BHR,BIH,BLR,BOL,BRA,BRN,BWA,CAN,CHE,CHL,CHN,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DNK,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GMB,GRC,GTM,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LAO,LBN,LBY,LKA,LSO,LTU,LUX,LVA,MAR,MDA,MDG,MEX,MLI,MLT,MMR,MNG,MOZ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLV,SRB,SVK,SVN,SWE,SWZ,SYR,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,VEN,VNM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANT,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ARE,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,0,0,0
ARG,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,16,0,0,4,4,8,0,0,0,4,2,2,0,0,2,2,0,4,0,0,18,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,2,0,0
ARM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AUS,0,0,2,8,4,0,0,18,24,0,4,0,0,0,0,0,8,10,0,226,46,4,114,0,0,0,0,0,0,0,86,44,0,0,0,0,20,4,0,10,0,86,0,806,0,0,0,14,0,0,0,0,4,14,52,24,4,0,0,14,42,0,0,50,0,0,0,20,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,0,0,116,18,0,130,0,0,0,0,8,0,6,6,0,0,0,0,0,0,0,54,0,4,0,0,70,0,0,2,0,0,0,12,18,0,0,0,0,730,2,8,16,0,0
AUT,0,0,0,0,0,0,18,0,14,0,0,6,0,0,0,0,6,2,0,18,36,2,2,0,0,2,0,0,0,2,166,14,0,0,0,0,16,2,0,10,0,14,0,70,0,0,0,8,0,0,0,0,4,2,0,6,0,0,0,0,24,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,46,2,0,4,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,2,0,2,10,0,10,0,0,0,0,0,0,2,0,0,0,0,0,94,0,0,2,0,0
BEL,0,0,0,0,0,0,24,14,0,0,0,2,0,0,0,2,6,0,0,64,68,0,4,0,0,0,0,2,0,2,94,34,0,0,0,0,46,2,2,4,0,170,0,214,0,2,0,2,0,0,0,0,0,2,0,6,0,0,0,8,68,0,0,16,0,4,0,4,0,0,0,2,0,0,2,6,0,4,0,0,10,0,0,0,0,0,0,0,2,0,0,0,2,0,262,10,0,4,0,0,0,2,0,0,10,10,0,0,2,2,0,0,0,2,0,0,4,6,42,0,0,0,0,0,2,2,0,0,2,0,0,278,0,0,16,0,0
BFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
BGD,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
BGR,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BLR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
BOL,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
BRA,0,0,0,0,16,0,8,6,6,0,0,0,0,0,0,0,0,0,0,24,8,6,4,0,0,4,2,0,0,4,8,0,0,0,0,0,12,4,0,8,0,16,0,44,0,0,0,0,0,0,0,0,2,2,6,2,4,0,0,2,4,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,0,4,0,0,0,2,0,0,2,16,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,2,0,0,144,0,4,6,0,0
BRN,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
BWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAN,0,0,0,2,4,0,226,18,64,2,2,0,0,0,4,0,24,0,0,0,44,6,112,0,0,6,2,4,4,2,164,12,0,0,0,0,60,4,0,30,0,156,0,648,0,4,0,16,0,2,0,0,4,0,8,18,2,0,4,70,42,0,0,62,0,6,0,34,0,0,2,0,0,0,0,0,0,2,0,0,18,0,2,0,2,0,0,0,0,0,0,0,0,0,128,24,0,64,0,2,0,4,2,0,12,8,0,0,0,8,2,0,4,32,0,4,0,0,72,0,0,10,0,0,6,10,16,0,2,0,2,2114,0,6,16,0,4
CHE,0,0,0,0,4,0,46,36,68,2,0,0,0,0,0,0,8,0,0,44,0,2,24,0,0,2,2,2,0,6,308,30,0,0,2,0,24,6,0,14,0,148,0,166,10,0,0,18,0,0,0,0,6,0,22,2,4,0,0,8,54,0,0,8,0,2,0,8,0,0,0,0,4,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,54,6,0,6,0,0,0,2,0,0,2,2,0,0,0,2,0,2,2,0,0,0,2,4,22,0,0,2,0,0,0,2,0,2,2,0,0,322,2,4,6,0,2
CHL,0,0,0,0,8,0,4,2,0,0,0,0,0,0,0,2,6,0,0,6,2,0,0,0,0,10,2,0,0,0,2,2,0,6,0,0,6,0,0,2,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
CHN,0,0,0,0,0,0,114,2,4,0,2,0,0,0,0,0,4,2,0,112,24,0,0,0,0,0,0,0,2,0,32,0,0,0,0,0,6,4,0,0,0,26,0,186,0,0,0,0,0,0,0,0,0,0,20,4,4,0,0,12,6,0,0,42,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,8,0,6,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,52,0,2,0,0,20,0,0,4,0,2,0,2,42,0,0,0,0,622,0,4,4,0,0
CMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
COD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
COL,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,4,0,0,6,2,10,0,0,0,0,2,0,0,0,2,4,0,6,0,0,6,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
CRI,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,0,0,0,2,0,2,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
CUB,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
CYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
CZE,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,2,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,4,0,8,0,18,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
DEU,0,0,0,0,2,0,86,166,94,2,0,10,0,0,2,0,8,0,0,164,308,2,32,0,0,2,6,2,0,10,0,54,0,2,0,0,80,6,0,50,0,158,0,638,6,0,0,28,0,0,2,0,22,4,14,34,0,0,0,64,154,0,0,74,0,2,0,26,2,0,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,0,0,4,0,0,0,0,0,292,40,2,18,0,0,0,0,0,0,36,20,0,0,32,14,0,0,0,4,0,2,0,6,64,0,0,2,0,0,2,22,2,0,0,4,0,948,0,0,26,0,2
DNK,0,0,0,0,2,0,44,14,34,0,0,0,0,0,0,2,0,0,0,12,30,2,0,0,0,4,0,0,0,0,54,0,0,2,0,0,22,2,0,6,0,16,0,96,0,0,0,2,2,0,0,0,0,2,0,4,0,0,4,6,22,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,0,8,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,2,0,0,0,0,76,0,0,2,0,0,0,0,0,2,0,2,0,140,0,2,8,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ECU,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
EGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ESP,0,0,0,0,18,0,20,16,46,0,0,0,0,0,0,2,12,0,0,60,24,6,6,0,0,6,2,4,2,4,80,22,0,0,0,0,0,2,0,12,0,66,0,216,0,0,0,14,0,0,0,0,2,2,2,14,0,0,0,22,98,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,78,6,0,6,0,0,0,0,0,0,6,38,0,0,2,4,0,0,0,2,2,4,0,0,14,0,0,2,0,0,0,4,0,0,0,2,2,350,6,0,4,0,0
EST,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,4,0,0,4,6,0,4,0,0,0,0,0,0,0,6,2,0,0,0,0,2,0,0,8,0,2,0,8,0,0,0,0,0,0,0,0,2,0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,4,0,0
ETH,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
FIN,0,0,0,0,0,0,10,10,4,0,0,2,0,0,0,0,8,0,0,30,14,2,0,0,0,0,0,0,0,4,50,6,0,0,0,0,12,8,2,0,0,26,0,122,0,0,0,8,0,0,0,0,10,2,2,4,0,2,2,6,24,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46,12,0,8,0,2,0,0,0,0,0,6,0,0,2,4,0,0,0,2,0,0,0,0,42,0,0,2,0,0,0,6,0,0,0,0,0,172,0,0,0,2,0
FJI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRA,0,0,0,0,4,0,86,14,170,0,0,0,2,0,2,0,16,0,0,156,148,6,26,2,0,4,0,0,0,8,158,16,0,0,0,0,66,2,0,26,0,0,0,352,0,0,0,20,0,0,0,0,14,2,34,12,4,0,0,28,134,0,0,32,0,0,0,2,2,2,4,0,0,0,2,4,2,6,0,0,6,0,0,0,0,0,0,0,2,0,0,2,0,0,94,10,0,14,0,0,0,0,4,0,18,36,0,0,6,10,0,2,0,12,0,2,0,0,34,0,0,2,0,2,10,16,2,0,0,0,2,556,2,6,10,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,0,2,0,4,10,2,806,70,214,0,10,4,2,0,0,6,44,2,0,648,166,10,186,0,0,10,0,0,10,18,638,96,2,0,8,2,216,8,4,122,0,352,0,2264,2,0,2,140,0,0,10,0,42,8,30,136,18,0,6,84,390,2,0,80,0,18,0,34,0,0,14,2,14,0,8,2,2,0,2,0,26,0,6,0,0,0,0,4,12,4,0,0,8,0,520,100,6,210,2,4,0,2,6,16,40,64,0,0,6,70,2,0,0,94,0,4,8,8,128,0,2,20,2,2,2,42,36,14,16,0,0,2190,4,4,130,2,4
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
GRC,0,0,0,0,0,0,14,8,2,0,0,0,0,0,0,0,0,0,0,16,18,0,0,0,0,0,0,0,10,0,28,2,0,0,0,0,14,0,0,8,0,20,0,140,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,16,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0,0,0,0,0,2,12,0,0,2,0,0,0,0,2,0,4,0,0,8,0,0,0,0,0,0,6,0,0,0,0,0,76,0,0,0,0,0
