,AFG,AGO,ALB,AND,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VGB,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
AFG,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,32,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,30,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,34,0,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,4,0,0,0,0
AND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,20,8,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,28,6,2,18,0,0,0,0,0,0,0,0,4,0,16,0,4,0,0,0,6,6,0,0,4,2,20,0,0,68,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,4,0,4,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,14,0,10,0,0,0,0,4,0,0,0,2,0,2,0,6,0,0,10,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0
ARG,0,0,0,0,0,0,0,16,8,2,0,16,0,0,0,0,0,0,0,0,0,0,8,50,0,0,0,0,0,40,26,66,8,0,0,0,0,38,0,4,4,0,6,20,0,6,0,0,0,0,76,2,0,0,0,20,0,0,86,0,0,0,0,6,0,0,2,0,0,0,2,0,8,0,0,4,4,0,0,16,44,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,16,10,0,10,0,0,6,6,4,0,4,6,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,2,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,2,10,324,0,2,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
AUS,0,0,0,0,20,16,2,0,82,2,0,174,0,0,24,4,0,0,4,0,0,0,2,66,2,6,0,6,0,858,208,28,774,0,6,0,0,20,0,4,2,18,16,544,0,112,0,0,0,20,190,12,2,92,20,208,0,0,2718,0,4,0,0,40,2,0,2,0,0,0,16,0,22,66,54,150,46,4,6,58,212,0,8,182,8,14,0,8,0,94,6,4,8,0,4,4,16,0,8,4,4,0,2,0,0,20,0,0,4,0,0,4,2,0,4,2,186,0,0,0,12,0,600,136,6,572,8,12,0,14,34,24,26,54,0,0,14,16,4,2,54,0,0,246,2,2,0,0,0,8,0,4,26,224,0,0,0,0,64,0,0,2,2,0,0,42,78,6,4,2,0,2530,2,2,0,42,0,2,0,0,166,0,4
AUT,0,0,0,0,8,8,0,82,0,0,0,58,0,0,0,2,0,0,4,0,0,0,2,14,0,0,0,0,0,68,118,6,58,0,0,0,0,10,0,0,0,8,18,718,0,48,0,0,0,0,116,12,0,34,0,102,0,0,384,0,0,0,0,18,0,0,0,0,0,0,12,0,36,4,12,38,10,0,6,56,170,0,2,8,0,4,0,0,0,8,0,0,4,0,0,10,0,0,8,4,2,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,178,46,0,58,2,0,0,0,2,0,38,24,0,0,2,18,14,0,0,2,0,8,0,2,0,0,0,2,0,22,22,88,0,0,0,0,0,0,0,0,0,0,0,16,8,0,2,0,0,414,0,0,0,0,0,0,0,0,4,0,0
AZE,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,12,2,0,0,0,0,0,0,0,2,0,0
