,AFG,AGO,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COL,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GMB,GRC,GTM,GUF,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBY,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MNE,MNG,MOZ,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SUR,SVK,SVN,SWE,SWZ,SYR,TGO,THA,TKM,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,Unnamed: 1,VEN,VGB,VNM,WSM,XKX,YEM,ZAF,ZMB,ZWE
CIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1
CMR,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,1,1
COD,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
COL,0,0,0,0,0,2,0,3,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,1,4,0,0,0,0,0,2,0,0,3,0,1,0,0,1,0,25,0,0,1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,3,0,5,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,28,0,0,1,0,0,0,0,0,1,0,0
CRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
CUB,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,3,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
CYP,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0
CZE,0,0,0,0,0,0,0,6,5,0,7,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,6,6,0,3,0,0,0,0,0,1,0,0,16,0,5,0,0,0,0,8,0,0,2,0,8,0,0,32,0,0,0,3,0,0,1,0,10,0,1,1,0,0,0,5,10,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,9,4,0,1,0,0,0,0,0,0,6,0,1,0,0,5,5,0,0,0,1,1,0,0,0,0,0,1,0,13,3,5,0,0,0,1,0,0,0,3,1,0,0,0,0,34,0,0,0,0,0,0,0,0,2,0,0
DEU,0,0,0,0,2,2,0,119,189,0,94,0,2,1,11,0,0,0,2,0,18,0,0,0,0,0,173,373,15,81,0,1,0,3,2,3,4,16,0,0,64,0,0,1,2,129,11,4,51,0,187,0,0,683,0,1,0,34,0,0,10,0,20,6,16,29,0,0,6,52,162,0,1,60,0,2,0,0,0,19,0,0,3,0,2,2,0,5,15,7,1,1,0,0,9,0,0,2,0,0,0,0,0,3,0,0,0,4,0,302,42,0,30,0,1,0,0,2,0,45,1,28,0,0,16,23,0,0,1,0,17,0,0,0,0,0,5,0,6,14,97,0,2,0,8,0,0,0,21,12,0,1,9,0,889,3,0,0,0,3,0,0,1,16,0,1
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,0,0,0,0,0,0,0,23,9,0,13,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,28,17,0,10,0,0,0,1,0,1,0,5,64,0,0,0,0,0,0,11,6,0,17,0,16,0,0,122,0,1,0,3,0,0,1,0,0,0,3,9,1,0,7,3,27,0,0,8,0,1,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,39,28,0,3,0,0,0,0,0,0,8,0,3,0,0,3,1,0,1,0,0,10,0,0,0,0,0,0,0,2,2,50,0,0,0,0,0,0,0,3,1,0,1,0,0,121,0,0,0,0,1,0,0,0,7,0,1
DOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
ECU,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
EGY,1,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,20,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0
ESP,0,0,0,0,0,20,0,38,12,1,53,0,0,0,3,0,0,0,0,7,38,0,0,0,0,0,54,26,33,10,0,0,1,25,2,7,1,8,129,0,11,0,0,1,1,0,0,0,14,0,87,0,0,261,0,0,1,17,2,0,5,0,5,2,10,10,1,0,0,12,93,0,0,11,0,0,0,0,0,3,0,0,2,0,0,0,0,2,1,1,0,1,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,2,0,108,17,0,9,0,0,1,3,0,0,12,0,54,0,0,4,3,0,1,0,0,6,0,0,3,0,0,0,0,2,4,23,0,0,0,1,1,0,2,8,6,2,1,3,7,338,0,0,10,0,0,0,0,0,8,0,0
EST,0,0,0,0,0,1,0,2,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,11,0,6,0,0,0,0,0,0,1,12,0,3,0,0,9,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,1,1,1,0,0,0,12,0,0,0,0,0,0,0,0,1,0,1
ETH,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,3,0,3,0,0,4,0,1,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,2,1,0,1,0,0,0,15,0,0,0,0,1,0,0,0,2,0,0
FIN,0,0,1,0,0,1,0,29,9,0,5,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,12,7,2,7,0,0,0,1,0,0,1,2,51,0,17,0,0,0,0,14,12,3,0,0,17,0,0,161,0,1,0,6,0,0,2,0,4,1,4,4,1,0,2,4,12,0,0,6,0,2,0,2,0,2,1,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,82,25,1,13,0,0,0,0,0,0,3,0,6,0,0,3,13,0,1,0,0,2,0,0,0,0,0,2,0,0,5,52,0,0,0,1,0,0,0,5,1,1,0,0,0,121,0,0,0,0,0,0,0,0,11,0,1
FJI,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
FRA,0,0,2,0,1,5,0,65,30,1,130,0,1,1,5,0,0,0,2,1,30,0,0,0,0,1,184,137,4,37,2,7,0,5,1,0,0,8,187,0,16,0,4,0,5,87,3,3,17,0,0,0,0,319,1,1,0,25,0,1,4,0,6,3,16,27,1,0,3,20,134,0,1,51,1,4,0,1,0,6,1,1,4,0,0,1,0,4,18,3,6,0,0,0,21,0,2,0,0,0,0,0,1,5,0,0,2,5,0,125,17,0,14,0,0,0,0,2,0,22,0,20,1,0,17,14,0,0,0,3,19,0,0,0,0,0,3,0,2,6,32,0,2,0,8,1,0,14,11,5,3,0,1,0,543,0,0,0,0,5,0,0,0,15,0,3
FSM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GBR,0,0,0,0,3,17,1,637,84,1,175,2,3,8,20,1,0,0,2,1,58,3,1,0,9,1,490,211,14,272,0,3,1,4,2,0,14,32,683,1,122,0,0,1,20,261,9,4,161,2,319,0,0,1822,1,21,2,117,0,0,12,0,44,12,55,147,13,0,17,79,357,2,12,90,3,22,1,1,1,57,5,0,9,0,0,4,0,8,3,5,4,0,0,0,29,0,2,8,1,0,0,0,7,29,1,0,0,17,1,520,134,2,142,0,12,1,9,12,0,47,0,64,0,2,14,27,2,5,8,2,61,1,0,0,0,1,11,0,15,27,172,0,0,0,28,0,6,1,55,44,17,9,11,2,2048,1,0,1,1,5,0,1,1,111,3,4
GEO,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
GHA,0,0,0,0,0,1,0,2,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,19,0,0,0,0,0,0,0,0,5,0,1
GMB,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,2,0,1,0,0,11,5,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,14,14,2,8,0,0,0,0,0,0,16,3,34,0,3,0,0,0,2,17,1,1,6,0,25,0,0,117,0,0,0,0,0,0,4,0,2,1,2,6,0,0,0,7,14,0,0,8,0,0,0,0,0,6,0,0,0,2,0,0,0,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,29,7,0,2,0,0,0,0,1,0,8,0,2,0,0,3,1,0,0,0,0,2,0,0,0,0,0,2,0,3,2,13,0,0,0,1,0,0,0,9,3,0,0,0,0,62,0,0,0,0,0,0,0,0,4,0,0
GTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
GUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,0,0,4,3,0,2,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1,10,0,1,0,0,0,1,5,1,1,2,0,4,0,0,12,0,0,0,4,0,0,0,0,4,1,0,3,1,0,0,2,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,9,5,0,0,0,1,0,0,0,3,1,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,1,0,0,0,0,5,7,0,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,8,6,0,4,0,0,0,0,0,0,0,10,20,0,0,0,1,0,0,5,0,1,4,0,6,0,0,44,0,0,0,2,0,0,4,0,0,0,2,2,0,0,0,4,13,0,0,1,0,1,1,0,0,0,2,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,16,3,0,2,0,0,0,0,1,0,10,0,1,0,0,9,4,0,0,0,1,0,0,0,0,0,0,0,0,5,2,9,0,0,0,1,0,0,0,8,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0
IDN,0,0,0,0,0,0,0,17,1,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,2,1,2,1,0,3,0,0,12,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,2,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,1,1,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1,3,1,0,0,0,22,0,0,0,0,0,0,0,0,3,0,1
IND,0,0,1,0,5,1,0,17,1,0,5,0,0,2,1,0,0,0,0,2,1,0,0,0,1,0,21,17,1,17,0,0,0,1,0,0,0,1,16,0,3,0,0,0,0,10,0,1,4,1,16,0,0,55,0,0,0,2,0,0,0,0,2,1,0,2,3,0,1,4,4,0,0,17,0,1,0,1,1,2,0,0,1,0,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,3,0,15,2,3,3,0,3,0,0,3,0,3,0,1,0,0,1,1,0,0,0,1,7,0,0,0,0,0,1,0,0,1,2,0,0,0,5,0,0,0,3,4,1,0,1,0,131,0,0,0,0,0,0,0,0,5,0,0
IRL,0,0,0,0,0,1,0,18,1,0,5,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,14,8,3,10,0,0,0,1,0,0,0,1,29,0,9,0,0,0,1,10,1,1,4,0,27,0,0,147,0,1,1,6,0,0,3,0,2,2,2,0,0,0,0,2,16,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,16,5,0,10,1,1,0,1,1,0,18,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,3,11,0,0,0,2,0,0,0,4,0,1,1,0,0,101,0,0,0,0,0,0,0,0,5,0,1
IRN,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,13,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,1,3,0,0,0,0,0,0,0,0,6,0,7,0,0,0,0,0,0,0,2,0,3,0,0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
