,AFG,ALB,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAN,CHE,CHL,CHN,CIV,CMR,COG,COK,COL,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MEX,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,SAU,SDN,SEN,SGP,SLB,SLV,SMR,SRB,SVK,SVN,SWE,SWZ,SYR,TGO,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,ZAF,ZMB,ZWE
IRN,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,2,0,4,0,0,0,0,0,0,0,0,1,4,0,4,0,0,0,0,0,2,0,0,6,0,1,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,5,1,0,0,0,0,15,0,0,0,0,0,0,0,0
IRQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,2,1,0,3,0,0,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,1,0,0,0,0,0
ISR,0,0,0,1,1,1,11,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,0,7,0,0,0,0,0,0,0,1,0,37,0,7,0,0,0,2,0,9,1,0,6,0,18,0,0,78,0,0,5,0,0,0,0,0,0,2,0,3,2,2,0,2,0,11,0,2,5,0,1,0,0,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,1,4,0,1,0,0,0,0,2,0,3,0,2,1,4,2,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,2,0,0,1,0,321,0,0,0,0,0,2,1,0
ITA,0,0,0,1,5,1,46,34,0,65,1,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,39,51,6,6,0,0,0,0,4,3,1,0,9,166,1,13,0,0,0,2,0,94,1,0,12,0,113,0,0,348,0,0,9,1,1,0,0,2,0,6,1,1,10,1,0,0,11,0,1,1,15,0,1,0,0,3,0,0,0,0,1,1,0,1,2,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,123,25,1,7,0,0,0,0,10,0,10,0,11,0,0,0,5,4,0,0,0,1,0,0,1,1,14,5,33,0,0,0,0,0,0,0,3,12,0,1,0,1,350,1,1,1,0,0,4,0,0
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0
JOR,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
JPN,0,0,0,2,3,0,34,3,0,8,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,44,7,1,44,1,0,0,0,1,0,0,0,0,35,0,7,0,0,0,0,0,7,0,0,7,0,21,0,0,72,0,2,4,0,0,0,0,1,0,2,5,8,3,4,0,2,5,15,0,0,0,0,1,0,1,20,1,0,0,0,0,0,0,3,1,0,1,0,0,1,3,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,21,5,0,7,0,0,0,0,9,0,7,0,2,0,0,0,6,6,0,0,0,8,0,0,0,0,0,1,8,0,0,0,7,0,0,0,7,13,0,0,0,0,233,0,0,0,0,0,4,1,0
KAZ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
KEN,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,26,0,0,0,0,0,3,1,0
