,ALB,ARE,ARG,AUS,AUT,BEL,BGD,BGR,BLZ,BOL,BRA,BRB,BWA,CAN,CHE,CHL,CHN,CIV,COG,COL,CRI,CYP,CZE,DEU,DNK,DOM,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GBR,GHA,GRC,GTM,HKG,HRV,HTI,HUN,IDN,IND,IRL,IRN,ISL,ISR,ITA,JAM,JOR,JPN,KEN,KOR,KWT,LBN,LKA,LSO,LTU,LUX,MEX,MNG,MWI,MYS,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PER,PHL,PNG,POL,PRT,ROU,RUS,RWA,SAU,SEN,SGP,SLB,SVK,SVN,SWE,THA,TUN,TUR,TWN,TZA,URY,USA,VEN,YUG,ZAF,ZMB,ZWE
HUN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,14,0,0,0,0,0
IND,0,0,2,6,0,10,0,0,0,0,0,0,0,10,10,0,2,0,4,2,0,0,0,2,0,0,0,8,6,0,0,2,0,2,20,2,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,4,2,2,4,0,0,0,4,0,0,4,0,0,4,0,2,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,38,0,0,2,0,0
IRL,0,0,0,4,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,2,0,0
IRN,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ISR,0,0,0,8,0,2,0,0,0,0,0,0,0,26,0,2,2,0,0,0,0,0,0,8,0,0,0,0,2,0,0,2,0,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,156,0,0,0,0,0
ITA,0,0,0,14,8,8,0,0,0,0,2,0,0,8,6,0,0,0,0,0,0,0,2,16,6,0,0,0,8,0,0,0,0,18,36,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,80,0,0,0,0,0
JAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
JPN,0,0,0,12,0,4,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,2,0,0,0,2,0,0,4,0,2,8,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,64,0,0,0,0,0
